Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Danny Ferry,720,3,4,0.75,1,2,0.5,0,0,,0,2,2,0,0,0,0,0,7,-2
0,Q2,Danny Ferry,476,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,0,0,-10
0,H1,Danny Ferry,1196,3,4,0.75,1,2,0.5,0,0,,0,3,3,0,1,0,0,0,7,-12
0,Q3,Danny Ferry,720,1,3,0.333,0,2,0.0,2,2,1.0,0,2,2,0,1,0,0,1,4,-1
0,Q4,Danny Ferry,720,2,2,1.0,1,1,1.0,0,0,,0,2,2,1,1,0,1,1,5,9
0,H2,Danny Ferry,1440,3,5,0.6,1,3,0.333,2,2,1.0,0,4,4,1,2,0,1,2,9,8
0,Q1,Terrell Brandon,720,2,5,0.4,1,1,1.0,0,0,,0,1,1,1,1,0,1,2,5,-2
0,Q2,Terrell Brandon,650,2,3,0.667,0,0,,4,5,0.8,0,0,0,1,0,0,1,0,8,-6
0,H1,Terrell Brandon,1370,4,8,0.5,1,1,1.0,4,5,0.8,0,1,1,2,1,0,2,2,13,-8
0,Q3,Terrell Brandon,493,1,5,0.2,1,2,0.5,0,0,,0,1,1,2,0,0,0,1,3,-4
0,Q4,Terrell Brandon,436,0,3,0.0,0,1,0.0,0,0,,1,0,1,2,1,0,0,1,0,4
0,H2,Terrell Brandon,929,1,8,0.125,1,3,0.333,0,0,,1,1,2,4,1,0,0,2,3,0
0,Q1,Tyrone Hill,689,0,0,,0,0,,2,2,1.0,4,0,4,1,0,1,1,0,2,-1
0,Q2,Tyrone Hill,480,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-3
0,H1,Tyrone Hill,1169,0,1,0.0,0,0,,2,2,1.0,4,1,5,1,0,1,1,1,2,-4
0,Q3,Tyrone Hill,720,0,1,0.0,0,0,,2,2,1.0,2,2,4,1,0,0,0,0,2,-1
0,Q4,Tyrone Hill,
0,H2,Tyrone Hill,720,0,1,0.0,0,0,,2,2,1.0,2,2,4,1,0,0,0,0,2,-1
0,Q1,Chris Mills,525,3,3,1.0,1,1,1.0,2,2,1.0,0,0,0,0,0,0,0,1,9,-4
0,Q2,Chris Mills,691,1,4,0.25,0,1,0.0,0,0,,1,1,2,1,0,1,0,1,2,-9
0,H1,Chris Mills,1216,4,7,0.571,1,2,0.5,2,2,1.0,1,1,2,1,0,1,0,2,11,-13
0,Q3,Chris Mills,367,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0
0,Q4,Chris Mills,219,1,3,0.333,0,0,,0,0,,1,2,3,1,0,0,2,1,2,3
0,H2,Chris Mills,586,2,4,0.5,0,0,,0,0,,1,2,3,1,0,0,3,1,4,3
0,Q1,Bobby Phills,327,0,2,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,1,3,0,-5
0,Q2,Bobby Phills,94,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1
0,H1,Bobby Phills,421,0,2,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,1,4,0,-6
0,Q3,Bobby Phills,535,4,7,0.571,2,3,0.667,1,1,1.0,0,0,0,1,0,0,0,1,11,3
0,Q4,Bobby Phills,678,2,4,0.5,1,3,0.333,1,2,0.5,0,3,3,2,0,0,0,1,6,7
0,H2,Bobby Phills,1213,6,11,0.545,3,6,0.5,2,3,0.667,0,3,3,3,0,0,0,2,17,10
0,Q1,Bob Sura,393,1,1,1.0,1,1,1.0,0,0,,0,1,1,2,0,0,0,0,3,3
0,Q2,Bob Sura,626,1,5,0.2,0,1,0.0,0,1,0.0,0,2,2,1,0,0,2,3,2,-10
0,H1,Bob Sura,1019,2,6,0.333,1,2,0.5,0,1,0.0,0,3,3,3,0,0,2,3,5,-7
0,Q3,Bob Sura,412,0,3,0.0,0,2,0.0,0,0,,0,0,0,1,0,0,0,0,0,-1
0,Q4,Bob Sura,209,1,1,1.0,0,0,,1,1,1.0,0,0,0,1,0,0,0,1,3,2
0,H2,Bob Sura,621,1,4,0.25,0,2,0.0,1,1,1.0,0,0,0,2,0,0,0,1,3,1
0,Q1,Donny Marshall,
0,Q2,Donny Marshall,
0,H1,Donny Marshall,
0,Q3,Donny Marshall,353,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-1
0,Q4,Donny Marshall,618,2,4,0.5,2,3,0.667,2,2,1.0,1,0,1,1,3,0,0,1,8,11
0,H2,Donny Marshall,971,2,6,0.333,2,4,0.5,2,2,1.0,1,0,1,1,3,0,0,1,8,10
0,Q1,Vitaly Potapenko,
