Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Clifford Robinson,720,1,5,0.2,1,1,1.0,4,4,1.0,1,2,3,2,2,1,1,0,7,-6
0,Q2,Clifford Robinson,596,0,4,0.0,0,2,0.0,2,2,1.0,0,0,0,2,0,0,0,0,2,7
0,H1,Clifford Robinson,1316,1,9,0.111,1,3,0.333,6,6,1.0,1,2,3,4,2,1,1,0,9,1
0,Q3,Clifford Robinson,720,2,6,0.333,1,2,0.5,0,0,,1,3,4,1,1,0,0,3,5,-3
0,Q4,Clifford Robinson,448,0,1,0.0,0,0,,1,4,0.25,0,3,3,1,1,0,0,2,1,4
0,H2,Clifford Robinson,1168,2,7,0.286,1,2,0.5,1,4,0.25,1,6,7,2,2,0,0,5,6,1
0,Q1,Isaiah Rider,720,3,5,0.6,0,0,,0,0,,1,1,2,1,0,0,1,0,6,-6
0,Q2,Isaiah Rider,461,0,3,0.0,0,0,,1,2,0.5,0,1,1,0,1,0,0,2,1,4
0,H1,Isaiah Rider,1181,3,8,0.375,0,0,,1,2,0.5,1,2,3,1,1,0,1,2,7,-2
0,Q3,Isaiah Rider,542,1,5,0.2,1,3,0.333,1,1,1.0,0,0,0,1,0,0,1,0,4,2
0,Q4,Isaiah Rider,720,2,4,0.5,1,2,0.5,0,0,,0,0,0,0,0,1,1,2,5,4
0,H2,Isaiah Rider,1262,3,9,0.333,2,5,0.4,1,1,1.0,0,0,0,1,0,1,2,2,9,6
0,Q1,Kenny Anderson,195,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,1,2,2,-3
0,Q2,Kenny Anderson,720,1,2,0.5,1,1,1.0,5,8,0.625,1,1,2,3,1,0,1,0,8,4
0,H1,Kenny Anderson,915,2,3,0.667,1,1,1.0,5,8,0.625,1,2,3,3,1,0,2,2,10,1
0,Q3,Kenny Anderson,688,2,6,0.333,1,3,0.333,0,0,,0,2,2,1,0,0,0,0,5,0
0,Q4,Kenny Anderson,720,4,7,0.571,0,2,0.0,3,4,0.75,0,1,1,0,1,0,2,3,11,4
0,H2,Kenny Anderson,1408,6,13,0.462,1,5,0.2,3,4,0.75,0,3,3,1,1,0,2,3,16,4
0,Q1,Gary Trent,346,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,2,0,0,-4
0,Q2,Gary Trent,518,4,5,0.8,0,0,,0,0,,1,1,2,0,0,0,0,1,8,8
0,H1,Gary Trent,864,4,6,0.667,0,0,,0,0,,1,2,3,0,0,0,2,1,8,4
0,Q3,Gary Trent,720,2,2,1.0,0,0,,3,3,1.0,0,2,2,0,0,1,0,1,7,-3
0,Q4,Gary Trent,666,3,4,0.75,0,0,,3,4,0.75,1,0,1,2,0,0,0,1,9,7
0,H2,Gary Trent,1386,5,6,0.833,0,0,,6,7,0.857,1,2,3,2,0,1,0,2,16,4
0,Q1,Chris Dudley,589,1,3,0.333,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-3
0,Q2,Chris Dudley,518,0,0,,0,0,,0,0,,1,2,3,0,0,0,1,1,0,8
0,H1,Chris Dudley,1107,1,3,0.333,0,0,,0,0,,1,2,3,0,0,0,2,2,2,5
0,Q3,Chris Dudley,435,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,2
0,Q4,Chris Dudley,250,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,2,0,-4
0,H2,Chris Dudley,685,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,4,0,-2
0,Q1,Dontonio Wingfield,374,0,0,,0,0,,0,0,,1,3,4,0,0,0,1,1,0,-2
0,Q2,Dontonio Wingfield,202,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-4
0,H1,Dontonio Wingfield,576,0,1,0.0,0,1,0.0,0,0,,1,3,4,0,0,0,1,1,0,-6
0,Q3,Dontonio Wingfield,285,0,3,0.0,0,0,,2,2,1.0,3,0,3,0,0,0,1,1,2,-5
0,Q4,Dontonio Wingfield,89,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,3
0,H2,Dontonio Wingfield,374,0,3,0.0,0,0,,2,2,1.0,3,0,3,0,0,0,1,1,2,-2
0,Q1,Jermaine O'Neal,127,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
0,Q2,Jermaine O'Neal,202,1,2,0.5,0,0,,0,1,0.0,0,0,0,0,0,0,0,0,2,-4
0,H1,Jermaine O'Neal,329,1,2,0.5,0,0,,0,1,0.0,0,0,0,0,0,0,0,0,2,-7
0,Q3,Jermaine O'Neal,
0,Q4,Jermaine O'Neal,524,3,5,0.6,0,0,,3,4,0.75,1,2,3,0,0,0,0,1,9,5
0,H2,Jermaine O'Neal,524,3,5,0.6,0,0,,3,4,0.75,1,2,3,0,0,0,0,1,9,5
0,Q1,Stacey Augmon,
0,Q2,Stacey Augmon,383,2,4,0.5,0,0,,0,0,,2,1,3,0,0,0,0,1,4,-3
0,H1,Stacey Augmon,383,2,4,0.5,0,0,,0,0,,2,1,3,0,0,0,0,1,4,-3
0,Q3,Stacey Augmon,178,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-5
0,Q4,Stacey Augmon,
0,H2,Stacey Augmon,178,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-5
0,Q1,Marcus Brown,426,1,2,0.5,0,0,,0,0,,0,0,0,1,0,0,0,3,2,-1
0,Q2,Marcus Brown,
0,H1,Marcus Brown,426,1,2,0.5,0,0,,0,0,,0,0,0,1,0,0,0,3,2,-1
0,Q3,Marcus Brown,32,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-3
0,Q4,Marcus Brown,18,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,2
0,H2,Marcus Brown,50,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-1
0,Q1,Mitchell Butler,4,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
0,Q2,Mitchell Butler,
0,H1,Mitchell Butler,4,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
0,Q3,Mitchell Butler,
0,Q4,Mitchell Butler,165,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-5
0,H2,Mitchell Butler,165,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-5
0,Q1,Ennis Whatley,99,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2
0,Q2,Ennis Whatley,
0,H1,Ennis Whatley,99,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2
0,Q3,Ennis Whatley,
0,Q4,Ennis Whatley,
0,H2,Ennis Whatley,
0,Q1,Ruben Nembhard,
0,Q2,Ruben Nembhard,
0,H1,Ruben Nembhard,
0,Q3,Ruben Nembhard,
0,Q4,Ruben Nembhard,
0,H2,Ruben Nembhard,
1,Q1,Tom Gugliotta,720,3,5,0.6,0,1,0.0,1,1,1.0,0,2,2,4,2,1,1,1,7,6
1,Q2,Tom Gugliotta,518,2,3,0.667,0,0,,1,2,0.5,0,1,1,0,0,0,1,0,5,-8
1,H1,Tom Gugliotta,1238,5,8,0.625,0,1,0.0,2,3,0.667,0,3,3,4,2,1,2,1,12,-2
