Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Chris Mills,720,3,4,0.75,2,3,0.667,0,0,,0,3,3,1,0,0,0,1,8,0
0,Q2,Chris Mills,520,0,1,0.0,0,1,0.0,1,2,0.5,0,0,0,1,1,0,0,0,1,-9
0,H1,Chris Mills,1240,3,5,0.6,2,4,0.5,1,2,0.5,0,3,3,2,1,0,0,1,9,-9
0,Q3,Chris Mills,720,1,3,0.333,0,0,,2,2,1.0,0,4,4,1,0,0,0,2,4,0
0,Q4,Chris Mills,720,1,1,1.0,0,0,,0,0,,0,2,2,1,1,0,0,2,2,15
0,H2,Chris Mills,1440,2,4,0.5,0,0,,2,2,1.0,0,6,6,2,1,0,0,4,6,15
0,Q1,Bobby Phills,578,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,0,1,0,0
0,Q2,Bobby Phills,444,2,2,1.0,0,0,,0,0,,0,0,0,0,0,0,0,1,4,-8
0,H1,Bobby Phills,1022,2,3,0.667,0,1,0.0,0,0,,0,0,0,1,0,0,0,2,4,-8
0,Q3,Bobby Phills,720,4,5,0.8,1,2,0.5,0,0,,0,2,2,0,0,0,0,0,9,0
0,Q4,Bobby Phills,720,3,6,0.5,0,1,0.0,4,4,1.0,0,1,1,1,1,0,1,0,10,15
0,H2,Bobby Phills,1440,7,11,0.636,1,3,0.333,4,4,1.0,0,3,3,1,1,0,1,0,19,15
0,Q1,Tyrone Hill,651,2,2,1.0,0,0,,3,4,0.75,3,3,6,0,0,1,1,2,7,2
0,Q2,Tyrone Hill,302,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,2,0,0,-3
0,H1,Tyrone Hill,953,2,3,0.667,0,0,,3,4,0.75,3,3,6,0,0,1,3,2,7,-1
0,Q3,Tyrone Hill,628,2,3,0.667,0,0,,1,2,0.5,2,2,4,3,0,0,0,1,5,0
0,Q4,Tyrone Hill,720,2,2,1.0,0,0,,2,2,1.0,1,6,7,0,0,0,0,1,6,15
0,H2,Tyrone Hill,1348,4,5,0.8,0,0,,3,4,0.75,3,8,11,3,0,0,0,2,11,15
0,Q1,Terrell Brandon,693,1,4,0.25,0,1,0.0,0,0,,0,0,0,2,0,0,0,2,2,2
