Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Antonio Davis,599,1,2,0.5,0,0,,2,2,1.0,0,0,0,1,0,0,1,0,4,-6
0,Q2,Antonio Davis,495,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-12
0,H1,Antonio Davis,1094,1,4,0.25,0,0,,2,2,1.0,0,0,0,1,0,0,2,1,4,-18
0,Q3,Antonio Davis,361,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,2,0,-1
0,Q4,Antonio Davis,343,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,1
0,H2,Antonio Davis,704,0,0,,0,0,,0,0,,0,3,3,0,0,0,1,3,0,0
0,Q1,Mark Jackson,599,1,4,0.25,0,1,0.0,0,0,,1,2,3,2,1,0,0,1,2,-6
0,Q2,Mark Jackson,511,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-10
0,H1,Mark Jackson,1110,2,5,0.4,0,1,0.0,0,0,,1,2,3,2,1,0,0,1,4,-16
0,Q3,Mark Jackson,612,2,4,0.5,0,0,,0,0,,0,1,1,2,1,0,1,1,4,-6
0,Q4,Mark Jackson,
0,H2,Mark Jackson,612,2,4,0.5,0,0,,0,0,,0,1,1,2,1,0,1,1,4,-6
0,Q1,Reggie Miller,599,0,4,0.0,0,1,0.0,2,2,1.0,1,2,3,1,0,0,0,1,2,-6
0,Q2,Reggie Miller,408,1,3,0.333,0,0,,0,0,,0,0,0,2,0,0,0,2,2,-9
0,H1,Reggie Miller,1007,1,7,0.143,0,1,0.0,2,2,1.0,1,2,3,3,0,0,0,3,4,-15
0,Q3,Reggie Miller,673,3,5,0.6,1,2,0.5,3,4,0.75,0,0,0,1,0,1,3,0,10,-6
0,Q4,Reggie Miller,
0,H2,Reggie Miller,673,3,5,0.6,1,2,0.5,3,4,0.75,0,0,0,1,0,1,3,0,10,-6
0,Q1,Rik Smits,720,3,6,0.5,0,0,,0,0,,0,2,2,0,0,2,2,0,6,-8
0,Q2,Rik Smits,408,1,3,0.333,0,0,,0,0,,0,0,0,1,0,0,1,0,2,-7
0,H1,Rik Smits,1128,4,9,0.444,0,0,,0,0,,0,2,2,1,0,2,3,0,8,-15
0,Q3,Rik Smits,359,0,2,0.0,0,0,,2,2,1.0,0,1,1,0,0,1,0,1,2,-3
0,Q4,Rik Smits,94,1,2,0.5,0,0,,2,2,1.0,0,0,0,0,0,0,0,1,4,3
0,H2,Rik Smits,453,1,4,0.25,0,0,,4,4,1.0,0,1,1,0,0,1,0,2,6,0
