Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Jayson Williams,720,0,2,0.0,0,0,,0,0,,0,3,3,0,0,0,0,1,0,2
0,Q2,Jayson Williams,597,1,2,0.5,0,0,,0,0,,2,5,7,1,0,0,0,0,2,8
0,H1,Jayson Williams,1317,1,4,0.25,0,0,,0,0,,2,8,10,1,0,0,0,1,2,10
0,Q3,Jayson Williams,687,3,4,0.75,0,0,,2,2,1.0,3,1,4,0,0,0,1,1,8,7
0,Q4,Jayson Williams,612,1,1,1.0,0,0,,1,2,0.5,2,1,3,0,1,1,0,0,3,-9
0,H2,Jayson Williams,1299,4,5,0.8,0,0,,3,4,0.75,5,2,7,0,1,1,1,1,11,-2
0,Q1,Sam Cassell,720,5,6,0.833,0,1,0.0,4,4,1.0,0,1,1,3,0,0,2,0,14,2
0,Q2,Sam Cassell,549,4,5,0.8,0,0,,1,1,1.0,0,0,0,2,1,0,2,0,9,6
0,H1,Sam Cassell,1269,9,11,0.818,0,1,0.0,5,5,1.0,0,1,1,5,1,0,4,0,23,8
0,Q3,Sam Cassell,439,0,2,0.0,0,1,0.0,2,2,1.0,0,0,0,1,0,0,1,0,2,0
0,Q4,Sam Cassell,589,1,7,0.143,1,1,1.0,1,2,0.5,0,0,0,1,0,0,0,0,4,-7
0,H2,Sam Cassell,1028,1,9,0.111,1,2,0.5,3,4,0.75,0,0,0,2,0,0,1,0,6,-7
0,Q1,Kendall Gill,606,2,5,0.4,0,0,,0,0,,0,1,1,0,1,0,1,1,4,3
0,Q2,Kendall Gill,457,4,7,0.571,0,0,,0,0,,2,0,2,0,0,0,0,1,8,1
0,H1,Kendall Gill,1063,6,12,0.5,0,0,,0,0,,2,1,3,0,1,0,1,2,12,4
0,Q3,Kendall Gill,454,1,3,0.333,0,1,0.0,0,0,,0,1,1,0,0,0,0,1,2,1
0,Q4,Kendall Gill,720,1,3,0.333,0,0,,1,4,0.25,0,1,1,0,0,0,0,1,3,-11
0,H2,Kendall Gill,1174,2,6,0.333,0,1,0.0,1,4,0.25,0,2,2,0,0,0,0,2,5,-10
0,Q1,Kerry Kittles,501,2,4,0.5,1,1,1.0,0,0,,0,0,0,1,1,0,1,0,5,-4
0,Q2,Kerry Kittles,452,2,6,0.333,0,1,0.0,1,1,1.0,0,1,1,1,0,0,0,0,5,-1
0,H1,Kerry Kittles,953,4,10,0.4,1,2,0.5,1,1,1.0,0,1,1,2,1,0,1,0,10,-5
0,Q3,Kerry Kittles,563,0,4,0.0,0,0,,2,2,1.0,1,0,1,1,0,0,0,0,2,3
0,Q4,Kerry Kittles,605,1,5,0.2,0,0,,0,0,,0,1,1,1,1,0,1,2,2,-10
0,H2,Kerry Kittles,1168,1,9,0.111,0,0,,2,2,1.0,1,1,2,2,1,0,1,2,4,-7
0,Q1,Michael Cage,543,0,0,,0,0,,0,0,,0,0,0,1,0,1,0,2,0,2
0,Q2,Michael Cage,280,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,1,0,3
0,H1,Michael Cage,823,0,0,,0,0,,0,0,,0,0,0,2,1,1,0,3,0,5
0,Q3,Michael Cage,541,0,0,,0,0,,0,0,,0,3,3,0,1,0,0,0,0,2
0,Q4,Michael Cage,471,0,1,0.0,0,0,,0,2,0.0,2,0,2,0,1,0,0,1,0,-4
0,H2,Michael Cage,1012,0,1,0.0,0,0,,0,2,0.0,2,3,5,0,2,0,0,1,0,-2
0,Q1,Sherman Douglas,333,0,0,,0,0,,0,0,,0,0,0,2,1,0,0,0,0,5
0,Q2,Sherman Douglas,439,0,0,,0,0,,0,0,,0,0,0,2,1,0,0,0,0,3
