Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Reggie Miller,587,0,4,0.0,0,0,,0,0,,0,0,0,0,1,0,1,1,0,1
0,Q2,Reggie Miller,299,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,-4
0,H1,Reggie Miller,886,0,5,0.0,0,1,0.0,0,0,,0,1,1,0,1,0,1,1,0,-3
0,Q3,Reggie Miller,720,6,9,0.667,2,4,0.5,0,1,0.0,0,2,2,2,0,0,1,1,14,2
0,Q4,Reggie Miller,550,1,3,0.333,0,0,,1,2,0.5,0,1,1,1,0,0,0,0,3,-5
0,H2,Reggie Miller,1270,7,12,0.583,2,4,0.5,1,3,0.333,0,3,3,3,0,0,1,1,17,-3
0,Q1,Mark Jackson,698,0,2,0.0,0,0,,2,2,1.0,0,3,3,4,1,0,1,1,2,3
0,Q2,Mark Jackson,160,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-4
0,H1,Mark Jackson,858,0,2,0.0,0,0,,2,2,1.0,0,3,3,5,1,0,1,1,2,-1
0,Q3,Mark Jackson,720,3,5,0.6,0,1,0.0,0,0,,1,0,1,5,2,0,1,1,6,2
0,Q4,Mark Jackson,307,1,2,0.5,0,0,,0,1,0.0,0,1,1,1,0,0,1,0,2,-2
0,H2,Mark Jackson,1027,4,7,0.571,0,1,0.0,0,1,0.0,1,1,2,6,2,0,2,1,8,0
0,Q1,Rik Smits,427,2,4,0.5,0,0,,2,2,1.0,0,2,2,0,0,0,1,0,6,6
0,Q2,Rik Smits,415,2,5,0.4,0,0,,2,2,1.0,1,1,2,0,0,0,1,0,6,-3
0,H1,Rik Smits,842,4,9,0.444,0,0,,4,4,1.0,1,3,4,0,0,0,2,0,12,3
0,Q3,Rik Smits,459,0,5,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,4
0,Q4,Rik Smits,397,1,3,0.333,0,0,,0,0,,0,1,1,0,0,0,0,1,2,-6
0,H2,Rik Smits,856,1,8,0.125,0,0,,0,0,,0,2,2,0,0,0,0,1,2,-2
0,Q1,Dale Davis,720,3,3,1.0,0,0,,0,0,,2,2,4,1,0,0,1,1,6,1
0,Q2,Dale Davis,132,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,0
0,H1,Dale Davis,852,3,3,1.0,0,0,,0,0,,2,2,4,1,0,0,1,3,6,1
0,Q3,Dale Davis,711,1,2,0.5,0,0,,0,0,,2,4,6,1,0,0,0,0,2,2
0,Q4,Dale Davis,14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
0,H2,Dale Davis,725,1,2,0.5,0,0,,0,0,,2,4,6,1,0,0,0,0,2,1
0,Q1,Chris Mullin,720,3,6,0.5,1,1,1.0,2,2,1.0,0,1,1,1,0,0,1,0,9,1
0,Q2,Chris Mullin,
0,H1,Chris Mullin,720,3,6,0.5,1,1,1.0,2,2,1.0,0,1,1,1,0,0,1,0,9,1
0,Q3,Chris Mullin,720,2,2,1.0,0,0,,0,0,,0,1,1,2,1,0,0,2,4,2
0,Q4,Chris Mullin,
0,H2,Chris Mullin,720,2,2,1.0,0,0,,0,0,,0,1,1,2,1,0,0,2,4,2
0,Q1,Antonio Davis,293,0,0,,0,0,,1,2,0.5,1,2,3,0,0,0,0,0,1,-5
0,Q2,Antonio Davis,588,0,1,0.0,0,0,,1,2,0.5,0,3,3,0,0,1,0,3,1,4
0,H1,Antonio Davis,881,0,1,0.0,0,0,,2,4,0.5,1,5,6,0,0,1,0,3,2,-1
0,Q3,Antonio Davis,261,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,1,0,2,-2
0,Q4,Antonio Davis,720,0,0,,0,0,,1,2,0.5,0,3,3,0,0,1,0,1,1,-7
0,H2,Antonio Davis,981,1,2,0.5,0,0,,1,2,0.5,0,3,3,0,0,1,1,1,3,-9
0,Q1,Jalen Rose,
0,Q2,Jalen Rose,720,5,7,0.714,0,1,0.0,0,0,,0,2,2,1,0,1,1,0,10,4
0,H1,Jalen Rose,720,5,7,0.714,0,1,0.0,0,0,,0,2,2,1,0,1,1,0,10,4
0,Q3,Jalen Rose,
0,Q4,Jalen Rose,557,1,4,0.25,0,0,,0,0,,0,0,0,0,1,0,0,3,2,-5
0,H2,Jalen Rose,557,1,4,0.25,0,0,,0,0,,0,0,0,0,1,0,0,3,2,-5
0,Q1,Travis Best,22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
0,Q2,Travis Best,560,1,3,0.333,0,0,,0,0,,0,1,1,2,2,0,0,1,2,8
0,H1,Travis Best,582,1,3,0.333,0,0,,0,0,,0,1,1,2,2,0,0,1,2,6
0,Q3,Travis Best,
0,Q4,Travis Best,413,2,3,0.667,0,0,,0,0,,0,1,1,1,0,0,1,2,4,-5
0,H2,Travis Best,413,2,3,0.667,0,0,,0,0,,0,1,1,1,0,0,1,2,4,-5
0,Q1,Fred Hoiberg,133,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
0,Q2,Fred Hoiberg,421,1,2,0.5,1,1,1.0,0,0,,1,2,3,1,0,0,1,0,3,8
0,H1,Fred Hoiberg,554,1,2,0.5,1,1,1.0,0,0,,1,2,3,1,0,0,1,0,3,8
0,Q3,Fred Hoiberg,
0,Q4,Fred Hoiberg,333,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-4
0,H2,Fred Hoiberg,333,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-4
0,Q1,Mark Pope,
0,Q2,Mark Pope,305,0,2,0.0,0,0,,0,0,,1,0,1,1,0,0,0,1,0,7
0,H1,Mark Pope,305,0,2,0.0,0,0,,0,0,,1,0,1,1,0,0,0,1,0,7
0,Q3,Mark Pope,9,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
0,Q4,Mark Pope,309,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
0,H2,Mark Pope,318,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
0,Q1,Austin Croshere,
0,Q2,Austin Croshere,
0,H1,Austin Croshere,
0,Q3,Austin Croshere,
0,Q4,Austin Croshere,
0,H2,Austin Croshere,
0,Q1,Mark West,
0,Q2,Mark West,
0,H1,Mark West,
0,Q3,Mark West,
0,Q4,Mark West,
0,H2,Mark West,
1,Q1,Jason Kidd,720,2,3,0.667,0,0,,0,0,,0,1,1,2,0,0,1,0,4,-1
1,Q2,Jason Kidd,431,1,1,1.0,0,0,,0,0,,0,1,1,1,0,0,0,0,2,4
1,H1,Jason Kidd,1151,3,4,0.75,0,0,,0,0,,0,2,2,3,0,0,1,0,6,3
1,Q3,Jason Kidd,720,1,2,0.5,1,2,0.5,0,0,,0,2,2,5,0,0,2,1,3,-2
1,Q4,Jason Kidd,510,2,4,0.5,0,1,0.0,0,1,0.0,0,1,1,3,0,0,1,1,4,9
1,H2,Jason Kidd,1230,3,6,0.5,1,3,0.333,0,1,0.0,0,3,3,8,0,0,3,2,7,7
1,Q1,Rex Chapman,720,2,6,0.333,0,1,0.0,0,0,,0,0,0,0,1,0,0,0,4,-1
1,Q2,Rex Chapman,505,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-4
1,H1,Rex Chapman,1225,2,6,0.333,0,1,0.0,0,0,,0,1,1,1,1,0,1,0,4,-5
1,Q3,Rex Chapman,720,2,3,0.667,0,0,,1,2,0.5,0,0,0,2,0,0,1,1,5,-2
1,Q4,Rex Chapman,478,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,6
1,H2,Rex Chapman,1198,2,5,0.4,0,0,,1,2,0.5,0,0,0,2,0,0,1,2,5,4
1,Q1,George McCloud,609,2,2,1.0,1,1,1.0,0,0,,0,2,2,0,2,0,0,2,5,1
1,Q2,George McCloud,93,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,4
1,H1,George McCloud,702,2,2,1.0,1,1,1.0,0,0,,0,4,4,0,2,0,0,2,5,5
1,Q3,George McCloud,454,0,2,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,-7
1,Q4,George McCloud,720,4,10,0.4,3,7,0.429,0,0,,2,3,5,1,1,0,0,1,11,7
1,H2,George McCloud,1174,4,12,0.333,3,8,0.375,0,0,,2,4,6,1,1,0,0,1,11,0
1,Q1,Hot Rod Williams,512,1,1,1.0,0,0,,2,2,1.0,1,0,1,0,0,0,0,1,4,-2
1,Q2,Hot Rod Williams,216,1,2,0.5,0,0,,0,0,,1,0,1,0,0,0,0,0,2,4
1,H1,Hot Rod Williams,728,2,3,0.667,0,0,,2,2,1.0,2,0,2,0,0,0,0,1,6,2
1,Q3,Hot Rod Williams,711,1,1,1.0,0,0,,1,1,1.0,2,4,6,1,1,0,0,1,3,-2
1,Q4,Hot Rod Williams,397,0,0,,0,0,,0,0,,1,0,1,0,0,1,0,1,0,6
1,H2,Hot Rod Williams,1108,1,1,1.0,0,0,,1,1,1.0,3,4,7,1,1,1,0,2,3,4
1,Q1,Antonio McDyess,427,0,4,0.0,0,0,,0,0,,1,0,1,2,0,0,1,0,0,-6
1,Q2,Antonio McDyess,338,1,2,0.5,0,0,,1,2,0.5,0,0,0,0,1,0,0,0,3,0
1,H1,Antonio McDyess,765,1,6,0.167,0,0,,1,2,0.5,1,0,1,2,1,0,1,0,3,-6
1,Q3,Antonio McDyess,238,1,3,0.333,0,0,,0,0,,0,0,0,1,0,0,0,0,2,-1
1,Q4,Antonio McDyess,
1,H2,Antonio McDyess,238,1,3,0.333,0,0,,0,0,,0,0,0,1,0,0,0,0,2,-1
1,Q1,Danny Manning,271,1,3,0.333,0,0,,0,0,,0,3,3,0,1,0,0,1,2,3
1,Q2,Danny Manning,588,4,7,0.571,0,0,,1,5,0.2,0,2,2,0,0,1,0,0,9,-4
1,H1,Danny Manning,859,5,10,0.5,0,0,,1,5,0.2,0,5,5,0,1,1,0,1,11,-1
1,Q3,Danny Manning,275,2,4,0.5,0,0,,0,0,,0,0,0,0,0,0,0,0,4,5
