Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Bryant Reeves,720,4,10,0.4,0,0,,0,0,,1,2,3,2,0,1,0,1,8,1
0,Q2,Bryant Reeves,445,1,2,0.5,0,0,,3,3,1.0,2,0,2,0,0,0,1,1,5,-6
0,H1,Bryant Reeves,1165,5,12,0.417,0,0,,3,3,1.0,3,2,5,2,0,1,1,2,13,-5
0,Q3,Bryant Reeves,720,3,6,0.5,0,0,,0,0,,1,1,2,2,1,0,1,1,6,4
0,Q4,Bryant Reeves,720,3,5,0.6,0,0,,5,6,0.833,0,1,1,0,0,0,1,1,11,-1
0,H2,Bryant Reeves,1440,6,11,0.545,0,0,,5,6,0.833,1,2,3,2,1,0,2,2,17,3
0,Q1,Shareef Abdur-Rahim,636,2,4,0.5,0,0,,1,2,0.5,1,0,1,2,0,0,0,0,5,1
0,Q2,Shareef Abdur-Rahim,386,2,5,0.4,0,0,,5,8,0.625,0,1,1,0,1,0,1,0,9,-1
0,H1,Shareef Abdur-Rahim,1022,4,9,0.444,0,0,,6,10,0.6,1,1,2,2,1,0,1,0,14,0
0,Q3,Shareef Abdur-Rahim,701,2,7,0.286,0,0,,1,2,0.5,3,1,4,0,0,1,1,2,5,2
0,Q4,Shareef Abdur-Rahim,319,1,2,0.5,0,0,,0,0,,0,0,0,1,0,0,1,1,2,-2
0,H2,Shareef Abdur-Rahim,1020,3,9,0.333,0,0,,1,2,0.5,3,1,4,1,0,1,2,3,7,0
0,Q1,Sam Mack,720,3,7,0.429,3,4,0.75,0,0,,1,1,2,1,1,0,0,0,9,1
0,Q2,Sam Mack,429,1,2,0.5,1,1,1.0,0,0,,0,0,0,1,0,0,0,0,3,-11
0,H1,Sam Mack,1149,4,9,0.444,4,5,0.8,0,0,,1,1,2,2,1,0,0,0,12,-10
0,Q3,Sam Mack,584,0,1,0.0,0,0,,0,0,,0,0,0,2,0,0,0,4,0,2
0,Q4,Sam Mack,259,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,2,0,0,0,3,-4
0,H2,Sam Mack,843,1,3,0.333,1,2,0.5,0,0,,0,0,0,2,2,0,0,4,3,-2
0,Q1,Lee Mayberry,636,1,2,0.5,1,1,1.0,0,0,,0,0,0,2,0,0,0,1,3,1
0,Q2,Lee Mayberry,291,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,1
0,H1,Lee Mayberry,927,1,2,0.5,1,1,1.0,0,0,,0,0,0,2,0,0,0,2,3,2
0,Q3,Lee Mayberry,720,1,6,0.167,1,5,0.2,0,0,,0,0,0,1,0,0,0,0,3,4
0,Q4,Lee Mayberry,259,0,0,,0,0,,0,0,,0,0,0,0,0,0,3,0,0,-4
0,H2,Lee Mayberry,979,1,6,0.167,1,5,0.2,0,0,,0,0,0,1,0,0,3,0,3,0
0,Q1,Michael Smith,720,0,0,,0,0,,0,0,,3,2,5,2,0,0,0,1,0,1
0,Q2,Michael Smith,
0,H1,Michael Smith,720,0,0,,0,0,,0,0,,3,2,5,2,0,0,0,1,0,1
0,Q3,Michael Smith,720,1,2,0.5,0,0,,3,6,0.5,2,6,8,0,0,0,0,0,5,4
0,Q4,Michael Smith,
0,H2,Michael Smith,720,1,2,0.5,0,0,,3,6,0.5,2,6,8,0,0,0,0,0,5,4
0,Q1,George Lynch,84,0,2,0.0,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0
0,Q2,George Lynch,720,2,6,0.333,0,0,,0,0,,4,1,5,3,0,0,1,2,4,-10
0,H1,George Lynch,804,2,8,0.25,0,0,,0,0,,5,1,6,3,0,0,1,2,4,-10
0,Q3,George Lynch,19,1,1,1.0,0,0,,0,0,,1,0,1,0,0,0,0,0,2,2
0,Q4,George Lynch,674,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-4
0,H2,George Lynch,693,1,2,0.5,0,0,,0,0,,1,1,2,0,0,0,0,1,2,-2
0,Q1,Pete Chilcutt,
0,Q2,Pete Chilcutt,438,0,4,0.0,0,4,0.0,0,0,,0,2,2,1,1,0,0,1,0,-8
0,H1,Pete Chilcutt,438,0,4,0.0,0,4,0.0,0,0,,0,2,2,1,1,0,0,1,0,-8
0,Q3,Pete Chilcutt,24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2
0,Q4,Pete Chilcutt,447,1,1,1.0,1,1,1.0,1,2,0.5,0,0,0,0,2,0,0,1,4,4
0,H2,Pete Chilcutt,471,1,1,1.0,1,1,1.0,1,2,0.5,0,0,0,0,2,0,0,1,4,6
0,Q1,Bobby Hurley,84,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
0,Q2,Bobby Hurley,334,1,3,0.333,0,0,,0,0,,0,0,0,0,1,0,1,3,2,-9
0,H1,Bobby Hurley,418,1,3,0.333,0,0,,0,0,,0,0,0,0,1,0,1,3,2,-9
0,Q3,Bobby Hurley,
0,Q4,Bobby Hurley,461,1,1,1.0,0,0,,0,2,0.0,0,1,1,4,0,0,0,0,2,3
0,H2,Bobby Hurley,461,1,1,1.0,0,0,,0,2,0.0,0,1,1,4,0,0,0,0,2,3
0,Q1,Antonio Daniels,
0,Q2,Antonio Daniels,282,0,0,,0,0,,1,2,0.5,0,0,0,0,0,0,0,0,1,-2
0,H1,Antonio Daniels,282,0,0,,0,0,,1,2,0.5,0,0,0,0,0,0,0,0,1,-2
0,Q3,Antonio Daniels,112,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,1,0,0
0,Q4,Antonio Daniels,461,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,2,0,3
0,H2,Antonio Daniels,573,0,0,,0,0,,0,0,,1,1,2,1,0,0,1,3,0,3
0,Q1,Tony Massenburg,
0,Q2,Tony Massenburg,275,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-4
0,H1,Tony Massenburg,275,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-4
0,Q3,Tony Massenburg,
0,Q4,Tony Massenburg,
0,H2,Tony Massenburg,
0,Q1,Blue Edwards,
0,Q2,Blue Edwards,
0,H1,Blue Edwards,
0,Q3,Blue Edwards,
0,Q4,Blue Edwards,
0,H2,Blue Edwards,
0,Q1,Ivano Newbill,
0,Q2,Ivano Newbill,
0,H1,Ivano Newbill,
0,Q3,Ivano Newbill,
0,Q4,Ivano Newbill,
0,H2,Ivano Newbill,
1,Q1,Michael Jordan,720,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-1
1,Q2,Michael Jordan,494,3,4,0.75,1,1,1.0,4,4,1.0,0,1,1,1,0,1,1,0,11,12
1,H1,Michael Jordan,1214,3,5,0.6,1,1,1.0,4,4,1.0,0,1,1,2,0,1,2,0,11,11
1,Q3,Michael Jordan,720,3,4,0.75,0,1,0.0,3,6,0.5,0,2,2,0,0,0,0,1,9,-4
1,Q4,Michael Jordan,431,2,4,0.5,0,0,,0,0,,0,1,1,1,0,0,1,0,4,6
1,H2,Michael Jordan,1151,5,8,0.625,0,1,0.0,3,6,0.5,0,3,3,1,0,0,1,1,13,2
1,Q1,Toni Kukoč,720,2,5,0.4,0,1,0.0,2,2,1.0,1,3,4,2,0,0,0,0,6,-1
1,Q2,Toni Kukoč,390,0,0,,0,0,,2,4,0.5,0,3,3,1,1,0,1,0,2,6
1,H1,Toni Kukoč,1110,2,5,0.4,0,1,0.0,4,6,0.667,1,6,7,3,1,0,1,0,8,5
1,Q3,Toni Kukoč,701,1,5,0.2,0,0,,2,2,1.0,0,4,4,0,0,0,0,1,4,-2
1,Q4,Toni Kukoč,484,1,2,0.5,0,1,0.0,2,2,1.0,0,0,0,0,1,0,1,0,4,-5
1,H2,Toni Kukoč,1185,2,7,0.286,0,1,0.0,4,4,1.0,0,4,4,0,1,0,1,1,8,-7
1,Q1,Scottie Pippen,720,4,5,0.8,0,1,0.0,0,0,,0,1,1,0,0,0,0,1,8,-1
1,Q2,Scottie Pippen,386,0,1,0.0,0,1,0.0,0,0,,0,1,1,1,0,1,0,1,0,1
1,H1,Scottie Pippen,1106,4,6,0.667,0,2,0.0,0,0,,0,2,2,1,0,1,0,2,8,0
1,Q3,Scottie Pippen,478,1,2,0.5,0,0,,2,2,1.0,0,1,1,0,1,0,1,2,4,1
1,Q4,Scottie Pippen,431,0,0,,0,0,,1,2,0.5,0,1,1,1,2,1,0,0,1,6
1,H2,Scottie Pippen,909,1,2,0.5,0,0,,3,4,0.75,0,2,2,1,3,1,1,2,5,7
1,Q1,Ron Harper,636,2,4,0.5,0,1,0.0,4,4,1.0,1,0,1,3,0,0,0,0,8,-1
1,Q2,Ron Harper,
1,H1,Ron Harper,636,2,4,0.5,0,1,0.0,4,4,1.0,1,0,1,3,0,0,0,0,8,-1
1,Q3,Ron Harper,695,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-2
1,Q4,Ron Harper,
1,H2,Ron Harper,695,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-2
1,Q1,Joe Kleine,636,1,3,0.333,0,0,,0,0,,0,1,1,2,0,0,0,2,2,-1
1,Q2,Joe Kleine,
1,H1,Joe Kleine,636,1,3,0.333,0,0,,0,0,,0,1,1,2,0,0,0,2,2,-1
1,Q3,Joe Kleine,445,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-1
1,Q4,Joe Kleine,
1,H2,Joe Kleine,445,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-1
1,Q1,Steve Kerr,
1,Q2,Steve Kerr,386,1,3,0.333,1,1,1.0,0,0,,0,1,1,1,0,0,0,1,3,1
1,H1,Steve Kerr,386,1,3,0.333,1,1,1.0,0,0,,0,1,1,1,0,0,0,1,3,1
1,Q3,Steve Kerr,
1,Q4,Steve Kerr,720,4,4,1.0,0,0,,2,2,1.0,0,0,0,0,0,0,0,2,10,1
1,H2,Steve Kerr,720,4,4,1.0,0,0,,2,2,1.0,0,0,0,0,0,0,0,2,10,1
1,Q1,Randy Brown,84,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0
1,Q2,Randy Brown,334,2,2,1.0,0,0,,0,0,,0,0,0,0,0,0,0,1,4,9
1,H1,Randy Brown,418,2,2,1.0,0,0,,0,0,,1,0,1,0,0,0,0,1,4,9
1,Q3,Randy Brown,25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
1,Q4,Randy Brown,525,1,1,1.0,0,0,,0,0,,0,0,0,2,0,0,1,1,2,1
1,H2,Randy Brown,550,1,1,1.0,0,0,,0,0,,0,0,0,2,0,0,1,1,2,-1
1,Q1,Dennis Rodman,84,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
1,Q2,Dennis Rodman,536,0,0,,0,0,,0,0,,0,1,1,2,0,0,0,1,0,6
1,H1,Dennis Rodman,620,0,0,,0,0,,0,0,,0,2,2,2,0,0,0,1,0,6
1,Q3,Dennis Rodman,275,0,1,0.0,0,0,,0,0,,2,0,2,0,0,0,0,0,0,-3
1,Q4,Dennis Rodman,
1,H2,Dennis Rodman,275,0,1,0.0,0,0,,0,0,,2,0,2,0,0,0,0,0,0,-3
1,Q1,Jud Buechler,
1,Q2,Jud Buechler,365,2,3,0.667,1,2,0.5,0,0,,0,0,0,1,0,0,0,1,5,3
1,H1,Jud Buechler,365,2,3,0.667,1,2,0.5,0,0,,0,0,0,1,0,0,0,1,5,3
1,Q3,Jud Buechler,19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
1,Q4,Jud Buechler,289,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-5
1,H2,Jud Buechler,308,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-7
1,Q1,Scott Burrell,
