Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Karl Malone,720,3,6,0.5,0,0,,1,2,0.5,1,4,5,2,0,1,1,0,7,-4
0,Q2,Karl Malone,396,4,6,0.667,0,0,,0,0,,2,1,3,1,1,0,0,1,8,-7
0,H1,Karl Malone,1116,7,12,0.583,0,0,,1,2,0.5,3,5,8,3,1,1,1,1,15,-11
0,Q3,Karl Malone,720,4,8,0.5,0,0,,4,6,0.667,2,1,3,1,0,0,2,0,12,4
0,Q4,Karl Malone,720,4,5,0.8,0,0,,2,3,0.667,0,1,1,1,1,0,2,0,10,-4
0,H2,Karl Malone,1440,8,13,0.615,0,0,,6,9,0.667,2,2,4,2,1,0,4,0,22,0
0,Q1,Adam Keefe,720,3,6,0.5,0,0,,0,0,,3,0,3,1,0,0,0,0,6,-4
0,Q2,Adam Keefe,
0,H1,Adam Keefe,720,3,6,0.5,0,0,,0,0,,3,0,3,1,0,0,0,0,6,-4
0,Q3,Adam Keefe,720,2,2,1.0,0,0,,3,3,1.0,1,4,5,0,0,0,0,1,7,4
0,Q4,Adam Keefe,720,1,1,1.0,0,0,,2,2,1.0,1,1,2,0,0,0,0,1,4,-4
0,H2,Adam Keefe,1440,3,3,1.0,0,0,,5,5,1.0,2,5,7,0,0,0,0,2,11,0
0,Q1,Jeff Hornacek,720,1,3,0.333,0,0,,0,0,,0,1,1,3,0,0,1,1,2,-4
0,Q2,Jeff Hornacek,235,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-6
0,H1,Jeff Hornacek,955,1,3,0.333,0,0,,0,0,,0,1,1,4,0,0,2,2,2,-10
0,Q3,Jeff Hornacek,720,0,2,0.0,0,0,,2,2,1.0,0,1,1,3,3,0,2,0,2,4
0,Q4,Jeff Hornacek,404,0,1,0.0,0,0,,1,1,1.0,1,0,1,1,0,0,0,1,1,-3
0,H2,Jeff Hornacek,1124,0,3,0.0,0,0,,3,3,1.0,1,1,2,4,3,0,2,1,3,1
0,Q1,John Stockton,419,1,3,0.333,0,1,0.0,0,0,,0,0,0,1,0,0,0,1,2,-3
0,Q2,John Stockton,379,1,1,1.0,0,0,,0,0,,0,0,0,1,0,0,0,0,2,-6
0,H1,John Stockton,798,2,4,0.5,0,1,0.0,0,0,,0,0,0,2,0,0,0,1,4,-9
0,Q3,John Stockton,428,1,2,0.5,0,0,,0,0,,0,0,0,1,0,0,1,1,2,1
0,Q4,John Stockton,453,3,7,0.429,1,3,0.333,3,5,0.6,0,0,0,1,1,0,1,1,10,-2
0,H2,John Stockton,881,4,9,0.444,1,3,0.333,3,5,0.6,0,0,0,2,1,0,2,2,12,-1
0,Q1,Greg Foster,607,1,1,1.0,0,0,,2,3,0.667,0,1,1,1,0,0,0,1,4,-4
0,Q2,Greg Foster,
