Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Bryon Russell,720,0,2,0.0,0,1,0.0,0,0,,0,1,1,0,2,0,0,1,0,-19
0,Q2,Bryon Russell,209,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-6
0,H1,Bryon Russell,929,0,3,0.0,0,1,0.0,0,0,,0,2,2,0,2,0,0,2,0,-25
0,Q3,Bryon Russell,720,2,3,0.667,1,1,1.0,1,2,0.5,0,1,1,0,1,0,0,1,6,-5
0,Q4,Bryon Russell,
0,H2,Bryon Russell,720,2,3,0.667,1,1,1.0,1,2,0.5,0,1,1,0,1,0,0,1,6,-5
0,Q1,Jeff Hornacek,720,1,4,0.25,0,1,0.0,0,0,,0,0,0,1,1,0,3,0,2,-19
0,Q2,Jeff Hornacek,
0,H1,Jeff Hornacek,720,1,4,0.25,0,1,0.0,0,0,,0,0,0,1,1,0,3,0,2,-19
0,Q3,Jeff Hornacek,678,3,6,0.5,1,1,1.0,1,1,1.0,1,3,4,2,0,0,1,2,8,-2
0,Q4,Jeff Hornacek,
0,H2,Jeff Hornacek,678,3,6,0.5,1,1,1.0,1,1,1.0,1,3,4,2,0,0,1,2,8,-2
0,Q1,Karl Malone,720,1,5,0.2,0,0,,1,1,1.0,2,1,3,1,0,0,0,1,3,-19
0,Q2,Karl Malone,412,0,2,0.0,0,0,,2,2,1.0,0,2,2,0,0,0,1,0,2,-8
0,H1,Karl Malone,1132,1,7,0.143,0,0,,3,3,1.0,2,3,5,1,0,0,1,1,5,-27
0,Q3,Karl Malone,136,0,0,,0,0,,2,2,1.0,0,0,0,0,0,0,1,0,2,0
0,Q4,Karl Malone,
0,H2,Karl Malone,136,0,0,,0,0,,2,2,1.0,0,0,0,0,0,0,1,0,2,0
0,Q1,Greg Ostertag,505,1,2,0.5,0,0,,2,2,1.0,1,1,2,0,0,0,1,2,4,-13
0,Q2,Greg Ostertag,114,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1
0,H1,Greg Ostertag,619,1,2,0.5,0,0,,2,2,1.0,1,1,2,0,0,0,2,2,4,-14
0,Q3,Greg Ostertag,524,0,1,0.0,0,0,,0,0,,1,0,1,0,0,1,0,0,0,-6
0,Q4,Greg Ostertag,
0,H2,Greg Ostertag,524,0,1,0.0,0,0,,0,0,,1,0,1,0,0,1,0,0,0,-6
0,Q1,John Stockton,386,1,2,0.5,0,0,,0,0,,0,0,0,1,0,0,1,1,2,-9
0,Q2,John Stockton,141,1,2,0.5,0,1,0.0,0,0,,0,1,1,1,0,0,0,2,2,-2
0,H1,John Stockton,527,2,4,0.5,0,1,0.0,0,0,,0,1,1,2,0,0,1,3,4,-11
0,Q3,John Stockton,387,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0
0,Q4,John Stockton,
0,H2,John Stockton,387,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0
0,Q1,Shandon Anderson,
0,Q2,Shandon Anderson,720,3,3,1.0,0,0,,1,1,1.0,1,2,3,0,0,0,1,0,7,-1
0,H1,Shandon Anderson,720,3,3,1.0,0,0,,1,1,1.0,1,2,3,0,0,0,1,0,7,-1
0,Q3,Shandon Anderson,42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-3
0,Q4,Shandon Anderson,720,0,3,0.0,0,0,,1,2,0.5,2,1,3,0,0,0,2,0,1,-1
0,H2,Shandon Anderson,762,0,3,0.0,0,0,,1,2,0.5,2,1,3,0,0,0,2,1,1,-4
0,Q1,Greg Foster,215,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,0,0,-6
0,Q2,Greg Foster,308,0,1,0.0,0,0,,2,4,0.5,0,2,2,0,1,0,0,1,2,7
0,H1,Greg Foster,523,0,1,0.0,0,0,,2,4,0.5,0,4,4,0,1,0,1,1,2,1
0,Q3,Greg Foster,196,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,0,0,1
0,Q4,Greg Foster,720,0,2,0.0,0,0,,0,0,,2,1,3,2,0,0,0,1,0,-1
0,H2,Greg Foster,916,0,2,0.0,0,0,,0,0,,2,2,4,3,0,0,1,1,0,0
0,Q1,Adam Keefe,
0,Q2,Adam Keefe,511,1,2,0.5,0,0,,1,2,0.5,0,2,2,0,0,0,0,2,3,5
0,H1,Adam Keefe,511,1,2,0.5,0,0,,1,2,0.5,0,2,2,0,0,0,0,2,3,5
0,Q3,Adam Keefe,
0,Q4,Adam Keefe,720,2,4,0.5,0,0,,0,0,,0,1,1,0,2,0,0,0,4,-1
0,H2,Adam Keefe,720,2,4,0.5,0,0,,0,0,,0,1,1,0,2,0,0,0,4,-1
0,Q1,Howard Eisley,334,1,4,0.25,0,1,0.0,0,0,,0,0,0,0,0,0,1,1,2,-10
0,Q2,Howard Eisley,579,0,3,0.0,0,0,,1,2,0.5,0,1,1,1,1,0,0,0,1,1
0,H1,Howard Eisley,913,1,7,0.143,0,1,0.0,1,2,0.5,0,1,1,1,1,0,1,1,3,-9
0,Q3,Howard Eisley,291,0,1,0.0,0,0,,0,0,,0,0,0,2,0,0,0,1,0,-2
0,Q4,Howard Eisley,
0,H2,Howard Eisley,291,0,1,0.0,0,0,,0,0,,0,0,0,2,0,0,0,1,0,-2
0,Q1,Todd Fuller,
0,Q2,Todd Fuller,209,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6
0,H1,Todd Fuller,209,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6
0,Q3,Todd Fuller,164,1,2,0.5,0,0,,0,0,,0,0,0,0,1,0,0,0,2,-2
0,Q4,Todd Fuller,720,4,6,0.667,0,0,,0,0,,0,1,1,0,0,1,0,2,8,-1
0,H2,Todd Fuller,884,5,8,0.625,0,0,,0,0,,0,1,1,0,1,1,0,2,10,-3
0,Q1,Thurl Bailey,
0,Q2,Thurl Bailey,397,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,1,0,2,6
0,H1,Thurl Bailey,397,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,1,0,2,6
0,Q3,Thurl Bailey,420,2,4,0.5,0,0,,0,0,,1,0,1,0,0,0,1,1,4,-3
0,Q4,Thurl Bailey,
0,H2,Thurl Bailey,420,2,4,0.5,0,0,,0,0,,1,0,1,0,0,0,1,1,4,-3
0,Q1,Jacque Vaughn,
0,Q2,Jacque Vaughn,
0,H1,Jacque Vaughn,
0,Q3,Jacque Vaughn,42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
0,Q4,Jacque Vaughn,720,3,4,0.75,0,0,,4,4,1.0,0,0,0,1,0,0,1,0,10,-1
0,H2,Jacque Vaughn,762,3,4,0.75,0,0,,4,4,1.0,0,0,0,1,0,0,1,0,10,-4
1,Q1,Tyrone Nesby,720,3,3,1.0,1,1,1.0,0,0,,0,1,1,1,1,0,1,1,7,19
1,Q2,Tyrone Nesby,558,1,3,0.333,0,1,0.0,5,5,1.0,0,3,3,0,1,0,0,0,7,7
1,H1,Tyrone Nesby,1278,4,6,0.667,1,2,0.5,5,5,1.0,0,4,4,1,2,0,1,1,14,26
1,Q3,Tyrone Nesby,678,0,1,0.0,0,0,,0,0,,0,1,1,2,0,0,0,3,0,2
1,Q4,Tyrone Nesby,398,1,1,1.0,0,0,,0,0,,2,0,2,1,1,0,1,2,2,1
1,H2,Tyrone Nesby,1076,1,2,0.5,0,0,,0,0,,2,1,3,3,1,0,1,5,2,3
1,Q1,Michael Olowokandi,720,3,4,0.75,0,0,,3,4,0.75,2,7,9,0,1,0,2,0,9,19
1,Q2,Michael Olowokandi,680,1,2,0.5,0,0,,0,0,,0,2,2,0,1,0,1,0,2,2
1,H1,Michael Olowokandi,1400,4,6,0.667,0,0,,3,4,0.75,2,9,11,0,2,0,3,0,11,21
1,Q3,Michael Olowokandi,718,2,5,0.4,0,0,,0,0,,0,2,2,0,1,1,0,1,4,5
1,Q4,Michael Olowokandi,
1,H2,Michael Olowokandi,718,2,5,0.4,0,0,,0,0,,0,2,2,0,1,1,0,1,4,5
1,Q1,Eric Piatkowski,720,1,4,0.25,1,1,1.0,5,6,0.833,0,0,0,0,2,0,0,0,8,19
