Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Isaiah Rider,558,2,5,0.4,0,1,0.0,0,0,,0,0,0,2,0,0,1,0,4,-11
0,Q2,Isaiah Rider,640,2,7,0.286,0,2,0.0,4,4,1.0,0,0,0,0,1,0,3,0,8,3
0,H1,Isaiah Rider,1198,4,12,0.333,0,3,0.0,4,4,1.0,0,0,0,2,1,0,4,0,12,-8
0,Q3,Isaiah Rider,720,4,5,0.8,1,1,1.0,2,2,1.0,0,0,0,2,0,0,0,0,11,5
0,Q4,Isaiah Rider,492,0,3,0.0,0,1,0.0,2,2,1.0,0,0,0,1,0,0,1,3,2,2
0,H2,Isaiah Rider,1212,4,8,0.5,1,2,0.5,4,4,1.0,0,0,0,3,0,0,1,3,13,7
0,Q1,Dikembe Mutombo,680,0,1,0.0,0,0,,0,0,,0,2,2,1,0,0,0,1,0,-16
0,Q2,Dikembe Mutombo,503,0,0,,0,0,,0,0,,0,3,3,0,0,0,0,1,0,-5
0,H1,Dikembe Mutombo,1183,0,1,0.0,0,0,,0,0,,0,5,5,1,0,0,0,2,0,-21
0,Q3,Dikembe Mutombo,507,2,2,1.0,0,0,,0,0,,1,0,1,0,0,0,0,1,4,0
0,Q4,Dikembe Mutombo,720,1,2,0.5,0,0,,4,4,1.0,1,3,4,0,1,0,1,1,6,6
0,H2,Dikembe Mutombo,1227,3,4,0.75,0,0,,4,4,1.0,2,3,5,0,1,0,1,2,10,6
0,Q1,Alan Henderson,720,1,4,0.25,0,0,,2,2,1.0,0,1,1,0,0,0,0,0,4,-14
0,Q2,Alan Henderson,267,0,0,,0,0,,5,8,0.625,1,0,1,0,0,0,0,0,5,-6
0,H1,Alan Henderson,987,1,4,0.25,0,0,,7,10,0.7,1,1,2,0,0,0,0,0,9,-20
0,Q3,Alan Henderson,720,3,6,0.5,0,0,,4,5,0.8,1,1,2,1,0,0,0,3,10,5
0,Q4,Alan Henderson,614,0,0,,0,0,,0,0,,1,2,3,2,0,1,1,3,0,11
0,H2,Alan Henderson,1334,3,6,0.5,0,0,,4,5,0.8,2,3,5,3,0,1,1,6,10,16
0,Q1,Jim Jackson,720,2,4,0.5,1,1,1.0,0,0,,0,1,1,0,0,0,3,1,5,-14
0,Q2,Jim Jackson,383,1,3,0.333,0,0,,0,0,,1,0,1,0,0,0,0,0,2,-3
0,H1,Jim Jackson,1103,3,7,0.429,1,1,1.0,0,0,,1,1,2,0,0,0,3,1,7,-17
0,Q3,Jim Jackson,573,2,3,0.667,2,2,1.0,0,0,,0,0,0,0,0,0,0,0,6,6
0,Q4,Jim Jackson,525,3,3,1.0,1,1,1.0,0,0,,0,0,0,1,0,0,0,1,7,5
0,H2,Jim Jackson,1098,5,6,0.833,3,3,1.0,0,0,,0,0,0,1,0,0,0,1,13,11
0,Q1,Bimbo Coles,608,1,2,0.5,0,0,,0,0,,0,0,0,2,0,0,0,2,2,-13
0,Q2,Bimbo Coles,
0,H1,Bimbo Coles,608,1,2,0.5,0,0,,0,0,,0,0,0,2,0,0,0,2,2,-13
0,Q3,Bimbo Coles,446,1,3,0.333,0,0,,0,0,,0,1,1,2,0,0,0,2,2,5
0,Q4,Bimbo Coles,
0,H2,Bimbo Coles,446,1,3,0.333,0,0,,0,0,,0,1,1,2,0,0,0,2,2,5
0,Q1,LaPhonso Ellis,162,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-3
0,Q2,LaPhonso Ellis,617,2,3,0.667,0,0,,0,0,,1,1,2,0,0,0,0,1,4,-1
0,H1,LaPhonso Ellis,779,2,3,0.667,0,0,,0,0,,1,1,2,0,0,0,0,2,4,-4
0,Q3,LaPhonso Ellis,147,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,0,0,-1
0,Q4,LaPhonso Ellis,529,2,4,0.5,0,0,,0,0,,1,1,2,1,0,0,0,1,4,0
0,H2,LaPhonso Ellis,676,2,4,0.5,0,0,,0,0,,1,1,2,1,0,1,1,1,4,-1
0,Q1,Jason Terry,112,0,0,,0,0,,1,2,0.5,0,0,0,1,0,0,0,0,1,-1
