Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Sam Cassell,525,1,5,0.2,0,0,,0,0,,0,1,1,1,0,0,1,0,2,1
0,Q2,Sam Cassell,596,1,5,0.2,0,2,0.0,4,4,1.0,0,0,0,3,0,0,0,2,6,-2
0,H1,Sam Cassell,1121,2,10,0.2,0,2,0.0,4,4,1.0,0,1,1,4,0,0,1,2,8,-1
0,Q3,Sam Cassell,720,1,3,0.333,0,0,,0,0,,1,1,2,2,1,0,2,1,2,2
0,Q4,Sam Cassell,477,4,5,0.8,1,1,1.0,2,2,1.0,0,1,1,1,0,0,0,1,11,11
0,H2,Sam Cassell,1197,5,8,0.625,1,1,1.0,2,2,1.0,1,2,3,3,1,0,2,2,13,13
0,Q1,Ray Allen,720,2,5,0.4,0,0,,2,2,1.0,0,2,2,3,1,0,2,0,6,-5
0,Q2,Ray Allen,341,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-5
0,H1,Ray Allen,1061,2,6,0.333,0,1,0.0,2,2,1.0,0,2,2,3,1,0,2,0,6,-10
0,Q3,Ray Allen,637,4,6,0.667,1,2,0.5,0,0,,0,0,0,1,0,0,0,0,9,0
0,Q4,Ray Allen,581,0,1,0.0,0,0,,0,0,,0,1,1,1,2,1,1,0,0,6
0,H2,Ray Allen,1218,4,7,0.571,1,2,0.5,0,0,,0,1,1,2,2,1,1,0,9,6
0,Q1,Glenn Robinson,720,3,6,0.5,0,1,0.0,0,0,,1,1,2,1,0,0,1,1,6,-5
0,Q2,Glenn Robinson,416,2,4,0.5,0,0,,0,0,,0,2,2,0,0,0,1,0,4,-4
0,H1,Glenn Robinson,1136,5,10,0.5,0,1,0.0,0,0,,1,3,4,1,0,0,2,1,10,-9
0,Q3,Glenn Robinson,637,2,6,0.333,0,1,0.0,0,0,,0,2,2,2,2,0,1,0,4,0
0,Q4,Glenn Robinson,457,3,3,1.0,0,0,,5,5,1.0,0,0,0,0,0,2,0,0,11,1
0,H2,Glenn Robinson,1094,5,9,0.556,0,1,0.0,5,5,1.0,0,2,2,2,2,2,1,0,15,1
0,Q1,Scott Williams,720,2,5,0.4,0,0,,2,2,1.0,1,2,3,0,0,2,0,1,6,-5
0,Q2,Scott Williams,339,2,4,0.5,0,0,,0,0,,2,1,3,0,0,1,0,0,4,0
