Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Ray Allen,720,2,4,0.5,1,1,1.0,2,2,1.0,0,0,0,1,0,0,0,0,7,1
0,Q2,Ray Allen,454,3,4,0.75,2,3,0.667,0,0,,0,2,2,3,1,0,0,0,8,7
0,H1,Ray Allen,1174,5,8,0.625,3,4,0.75,2,2,1.0,0,2,2,4,1,0,0,0,15,8
0,Q3,Ray Allen,720,5,8,0.625,0,2,0.0,2,2,1.0,0,0,0,0,1,0,0,0,12,9
0,Q4,Ray Allen,720,0,4,0.0,0,2,0.0,2,4,0.5,1,2,3,3,0,0,2,0,2,-15
0,H2,Ray Allen,1440,5,12,0.417,0,4,0.0,4,6,0.667,1,2,3,3,1,0,2,0,14,-6
0,Q1,Sam Cassell,594,3,4,0.75,0,0,,0,0,,0,0,0,2,0,0,2,0,6,0
0,Q2,Sam Cassell,492,4,6,0.667,0,1,0.0,1,1,1.0,0,0,0,1,0,0,0,0,9,6
0,H1,Sam Cassell,1086,7,10,0.7,0,1,0.0,1,1,1.0,0,0,0,3,0,0,2,0,15,6
0,Q3,Sam Cassell,649,1,7,0.143,0,1,0.0,0,0,,0,2,2,2,0,1,0,0,2,9
0,Q4,Sam Cassell,720,2,6,0.333,0,0,,0,0,,0,1,1,0,0,0,0,2,4,-15
0,H2,Sam Cassell,1369,3,13,0.231,0,1,0.0,0,0,,0,3,3,2,0,1,0,2,6,-6
0,Q1,Glenn Robinson,594,3,5,0.6,0,1,0.0,0,0,,0,0,0,0,1,0,1,0,6,0
0,Q2,Glenn Robinson,420,0,2,0.0,0,0,,0,0,,0,0,0,1,1,0,1,0,0,-2
0,H1,Glenn Robinson,1014,3,7,0.429,0,1,0.0,0,0,,0,0,0,1,2,0,2,0,6,-2
0,Q3,Glenn Robinson,629,4,6,0.667,2,2,1.0,0,0,,1,1,2,0,0,0,1,0,10,6
0,Q4,Glenn Robinson,451,1,8,0.125,0,2,0.0,0,0,,0,0,0,0,0,0,0,0,2,-1
0,H2,Glenn Robinson,1080,5,14,0.357,2,4,0.5,0,0,,1,1,2,0,0,0,1,0,12,5
0,Q1,Mark Pope,499,1,1,1.0,0,0,,0,0,,1,2,3,1,0,0,1,2,2,1
0,Q2,Mark Pope,
0,H1,Mark Pope,499,1,1,1.0,0,0,,0,0,,1,2,3,1,0,0,1,2,2,1
0,Q3,Mark Pope,465,0,0,,0,0,,0,0,,0,3,3,0,0,0,0,0,0,4
0,Q4,Mark Pope,19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
0,H2,Mark Pope,484,0,0,,0,0,,0,0,,0,3,3,0,0,0,0,0,0,3
0,Q1,Jason Caffey,549,4,4,1.0,0,0,,0,0,,1,4,5,0,0,0,1,2,8,-1
0,Q2,Jason Caffey,98,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-6
0,H1,Jason Caffey,647,4,4,1.0,0,0,,0,0,,1,4,5,0,0,0,1,3,8,-7
0,Q3,Jason Caffey,182,0,1,0.0,0,0,,0,0,,1,1,2,0,0,0,0,2,0,-5
0,Q4,Jason Caffey,
0,H2,Jason Caffey,182,0,1,0.0,0,0,,0,0,,1,1,2,0,0,0,0,2,0,-5
0,Q1,Tim Thomas,221,1,1,1.0,1,1,1.0,1,2,0.5,0,0,0,1,1,0,0,0,4,0
0,Q2,Tim Thomas,526,6,8,0.75,3,4,0.75,1,1,1.0,0,0,0,0,0,0,1,1,16,15
0,H1,Tim Thomas,747,7,9,0.778,4,5,0.8,2,3,0.667,0,0,0,1,1,0,1,1,20,15
0,Q3,Tim Thomas,255,0,1,0.0,0,0,,0,0,,0,1,1,0,0,1,0,1,0,5
0,Q4,Tim Thomas,720,1,3,0.333,1,2,0.5,0,0,,1,3,4,0,0,0,0,1,3,-15
0,H2,Tim Thomas,975,1,4,0.25,1,2,0.5,0,0,,1,4,5,0,0,1,0,2,3,-10
0,Q1,Darvin Ham,126,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,1
0,Q2,Darvin Ham,544,0,1,0.0,0,0,,0,0,,2,2,4,1,0,0,1,1,0,3
0,H1,Darvin Ham,670,0,1,0.0,0,0,,0,0,,2,2,4,1,0,0,1,2,0,4
0,Q3,Darvin Ham,91,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,3
0,Q4,Darvin Ham,269,0,1,0.0,0,0,,0,0,,0,0,0,0,0,1,0,2,0,-14
0,H2,Darvin Ham,360,0,1,0.0,0,0,,0,0,,0,0,0,0,0,1,0,3,0,-11
0,Q1,Ervin Johnson,171,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2
0,Q2,Ervin Johnson,426,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,2,0,9
0,H1,Ervin Johnson,597,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,2,0,11
0,Q3,Ervin Johnson,410,0,0,,0,0,,0,0,,0,3,3,1,0,1,0,2,0,13
0,Q4,Ervin Johnson,
