Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Antoine Walker,587,1,4,0.25,0,2,0.0,0,0,,0,3,3,2,0,0,0,0,2,7
0,Q2,Antoine Walker,641,1,7,0.143,1,5,0.2,2,2,1.0,0,2,2,1,0,0,0,0,5,-8
0,H1,Antoine Walker,1228,2,11,0.182,1,7,0.143,2,2,1.0,0,5,5,3,0,0,0,0,7,-1
0,Q3,Antoine Walker,573,2,4,0.5,0,1,0.0,0,0,,0,1,1,2,0,0,2,0,4,14
0,Q4,Antoine Walker,720,2,6,0.333,1,2,0.5,2,2,1.0,1,3,4,0,0,0,1,0,7,-1
0,H2,Antoine Walker,1293,4,10,0.4,1,3,0.333,2,2,1.0,1,4,5,2,0,0,3,0,11,13
0,Q1,Paul Pierce,694,3,6,0.5,1,3,0.333,4,4,1.0,0,4,4,2,0,0,1,0,11,7
0,Q2,Paul Pierce,552,1,3,0.333,1,1,1.0,2,2,1.0,0,0,0,1,1,0,0,2,5,-1
0,H1,Paul Pierce,1246,4,9,0.444,2,4,0.5,6,6,1.0,0,4,4,3,1,0,1,2,16,6
0,Q3,Paul Pierce,549,3,4,0.75,1,1,1.0,0,1,0.0,1,4,5,1,0,0,1,0,7,14
0,Q4,Paul Pierce,668,1,6,0.167,0,1,0.0,5,6,0.833,0,1,1,1,0,0,1,1,7,-1
0,H2,Paul Pierce,1217,4,10,0.4,1,2,0.5,5,7,0.714,1,5,6,2,0,0,2,1,14,13
0,Q1,Kenny Anderson,561,3,4,0.75,0,0,,1,1,1.0,0,1,1,1,1,0,0,0,7,7
0,Q2,Kenny Anderson,555,2,3,0.667,0,1,0.0,0,0,,0,1,1,1,1,0,0,2,4,-8
0,H1,Kenny Anderson,1116,5,7,0.714,0,1,0.0,1,1,1.0,0,2,2,2,2,0,0,2,11,-1
0,Q3,Kenny Anderson,478,0,1,0.0,0,0,,1,1,1.0,0,1,1,2,0,0,0,0,1,12
0,Q4,Kenny Anderson,665,0,2,0.0,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-1
0,H2,Kenny Anderson,1143,0,3,0.0,0,0,,1,1,1.0,0,1,1,3,0,0,0,1,1,11
0,Q1,Joe Johnson,609,2,4,0.5,0,1,0.0,0,0,,1,1,2,0,1,0,1,0,4,6
0,Q2,Joe Johnson,470,0,0,,0,0,,2,2,1.0,0,0,0,1,0,0,1,0,2,-6
0,H1,Joe Johnson,1079,2,4,0.5,0,1,0.0,2,2,1.0,1,1,2,1,1,0,2,0,6,0
0,Q3,Joe Johnson,377,2,3,0.667,1,2,0.5,0,0,,0,0,0,0,0,0,0,2,5,8
0,Q4,Joe Johnson,
0,H2,Joe Johnson,377,2,3,0.667,1,2,0.5,0,0,,0,0,0,0,0,0,0,2,5,8
0,Q1,Tony Battie,516,1,4,0.25,0,0,,0,0,,1,0,1,0,0,0,0,2,2,9
0,Q2,Tony Battie,139,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
0,H1,Tony Battie,655,1,4,0.25,0,0,,0,0,,1,0,1,0,0,0,0,3,2,7
0,Q3,Tony Battie,161,0,0,,0,0,,2,2,1.0,0,1,1,0,0,0,0,0,2,1
0,Q4,Tony Battie,282,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-2
0,H2,Tony Battie,443,0,0,,0,0,,2,2,1.0,0,1,1,0,0,0,0,2,2,-1
0,Q1,Vitaly Potapenko,159,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0
