Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Baron Davis,720,0,3,0.0,0,0,,0,0,,0,2,2,4,0,0,0,1,0,-1
0,Q2,Baron Davis,457,3,6,0.5,0,2,0.0,0,0,,0,0,0,0,0,0,0,0,6,-4
0,H1,Baron Davis,1177,3,9,0.333,0,2,0.0,0,0,,0,2,2,4,0,0,0,1,6,-5
0,Q3,Baron Davis,720,3,8,0.375,2,5,0.4,0,2,0.0,0,1,1,0,1,0,1,0,8,-12
0,Q4,Baron Davis,600,0,4,0.0,0,1,0.0,0,2,0.0,0,1,1,3,0,0,1,0,0,-2
0,H2,Baron Davis,1320,3,12,0.25,2,6,0.333,0,4,0.0,0,2,2,3,1,0,2,0,8,-14
0,Q1,P.J. Brown,720,4,5,0.8,0,0,,1,1,1.0,4,1,5,1,0,1,0,0,9,-1
0,Q2,P.J. Brown,683,0,1,0.0,0,0,,6,6,1.0,1,0,1,0,1,0,1,0,6,-1
0,H1,P.J. Brown,1403,4,6,0.667,0,0,,7,7,1.0,5,1,6,1,1,1,1,0,15,-2
0,Q3,P.J. Brown,720,1,2,0.5,0,0,,0,0,,1,1,2,0,0,0,0,1,2,-12
0,Q4,P.J. Brown,
0,H2,P.J. Brown,720,1,2,0.5,0,0,,0,0,,1,1,2,0,0,0,0,1,2,-12
0,Q1,David Wesley,552,0,4,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,-3
0,Q2,David Wesley,636,1,2,0.5,0,0,,0,0,,0,1,1,2,0,0,0,0,2,-4
0,H1,David Wesley,1188,1,6,0.167,0,1,0.0,0,0,,0,2,2,2,0,0,0,0,2,-7
0,Q3,David Wesley,554,0,3,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-14
0,Q4,David Wesley,240,0,2,0.0,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-5
0,H2,David Wesley,794,0,5,0.0,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-19
0,Q1,Elden Campbell,552,4,6,0.667,0,0,,2,2,1.0,0,1,1,2,0,0,3,1,10,-3
0,Q2,Elden Campbell,720,2,7,0.286,0,0,,0,0,,0,1,1,0,1,1,0,0,4,-4
0,H1,Elden Campbell,1272,6,13,0.462,0,0,,2,2,1.0,0,2,2,2,1,1,3,1,14,-7
0,Q3,Elden Campbell,465,0,3,0.0,0,0,,2,2,1.0,1,0,1,0,0,0,0,3,2,-14
0,Q4,Elden Campbell,78,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,0
0,H2,Elden Campbell,543,0,3,0.0,0,0,,2,2,1.0,1,0,1,0,0,0,0,4,2,-14
0,Q1,Lee Nailon,720,1,5,0.2,0,0,,0,0,,0,1,1,1,0,0,0,1,2,-1
0,Q2,Lee Nailon,206,1,2,0.5,0,0,,2,2,1.0,1,0,1,0,0,0,0,1,4,-2
0,H1,Lee Nailon,926,2,7,0.286,0,0,,2,2,1.0,1,1,2,1,0,0,0,2,6,-3
0,Q3,Lee Nailon,283,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-3
0,Q4,Lee Nailon,410,2,2,1.0,0,0,,1,1,1.0,0,1,1,0,0,0,0,0,5,-2
0,H2,Lee Nailon,693,2,4,0.5,0,0,,1,1,1.0,0,1,1,0,0,0,0,2,5,-5
0,Q1,Jamaal Magloire,168,2,3,0.667,0,0,,3,3,1.0,1,1,2,0,0,0,0,2,7,2
0,Q2,Jamaal Magloire,230,0,1,0.0,0,0,,1,4,0.25,2,1,3,0,0,0,0,0,1,0
