Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Pau Gasol,670,2,4,0.5,0,0,,0,1,0.0,1,2,3,1,1,0,2,0,4,-10
0,Q2,Pau Gasol,270,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-16
0,H1,Pau Gasol,940,2,4,0.5,0,0,,0,1,0.0,1,2,3,1,1,0,3,0,4,-26
0,Q3,Pau Gasol,720,3,4,0.75,0,0,,2,2,1.0,1,0,1,1,0,0,1,2,8,-14
0,Q4,Pau Gasol,720,3,3,1.0,0,0,,0,0,,0,1,1,1,0,0,1,1,6,7
0,H2,Pau Gasol,1440,6,7,0.857,0,0,,2,2,1.0,1,1,2,2,0,0,2,3,14,-7
0,Q1,Rodney Buford,720,1,5,0.2,0,0,,0,0,,1,1,2,1,0,0,0,0,2,-11
0,Q2,Rodney Buford,504,1,3,0.333,0,0,,0,0,,0,1,1,0,0,0,1,1,2,-8
0,H1,Rodney Buford,1224,2,8,0.25,0,0,,0,0,,1,2,3,1,0,0,1,1,4,-19
0,Q3,Rodney Buford,720,1,5,0.2,0,0,,1,2,0.5,0,0,0,1,1,0,0,0,3,-14
0,Q4,Rodney Buford,175,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,0,2,3
0,H2,Rodney Buford,895,2,7,0.286,0,0,,1,2,0.5,0,0,0,1,1,0,0,0,5,-11
0,Q1,Jason Williams,658,1,4,0.25,0,0,,0,0,,0,0,0,2,1,0,0,0,2,-7
0,Q2,Jason Williams,720,1,5,0.2,1,3,0.333,0,0,,0,0,0,2,1,0,2,1,3,-20
0,H1,Jason Williams,1378,2,9,0.222,1,3,0.333,0,0,,0,0,0,4,2,0,2,1,5,-27
0,Q3,Jason Williams,720,2,4,0.5,0,1,0.0,0,0,,0,0,0,1,0,0,1,0,4,-14
0,Q4,Jason Williams,
0,H2,Jason Williams,720,2,4,0.5,0,1,0.0,0,0,,0,0,0,1,0,0,1,0,4,-14
0,Q1,Tony Massenburg,575,0,4,0.0,0,0,,2,2,1.0,0,2,2,0,0,0,1,1,2,-8
0,Q2,Tony Massenburg,582,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-20
0,H1,Tony Massenburg,1157,0,5,0.0,0,0,,2,2,1.0,0,2,2,0,0,0,1,2,2,-28
0,Q3,Tony Massenburg,219,0,1,0.0,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-8
0,Q4,Tony Massenburg,
0,H2,Tony Massenburg,219,0,1,0.0,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-8
0,Q1,Grant Long,670,3,3,1.0,0,0,,0,0,,1,1,2,0,0,0,0,2,6,-10
0,Q2,Grant Long,156,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-8
0,H1,Grant Long,826,3,4,0.75,0,0,,0,0,,1,1,2,0,0,0,0,2,6,-18
0,Q3,Grant Long,219,0,2,0.0,0,0,,0,0,,0,0,0,1,1,0,0,0,0,-8
0,Q4,Grant Long,
0,H2,Grant Long,219,0,2,0.0,0,0,,0,0,,0,0,0,1,1,0,0,0,0,-8
0,Q1,Stromile Swift,196,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-4
0,Q2,Stromile Swift,450,0,1,0.0,0,0,,2,2,1.0,1,1,2,0,0,0,2,2,2,-4
0,H1,Stromile Swift,646,0,2,0.0,0,0,,2,2,1.0,1,1,2,0,0,0,3,2,2,-8
0,Q3,Stromile Swift,501,1,2,0.5,0,0,,2,2,1.0,2,2,4,2,0,0,0,0,4,-6
0,Q4,Stromile Swift,720,2,5,0.4,0,0,,0,0,,1,2,3,1,1,1,0,0,4,7
0,H2,Stromile Swift,1221,3,7,0.429,0,0,,2,2,1.0,3,4,7,3,1,1,0,0,8,1
0,Q1,Brevin Knight,113,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-5
0,Q2,Brevin Knight,415,2,3,0.667,0,0,,0,0,,0,0,0,0,0,0,2,1,4,-17
0,H1,Brevin Knight,528,2,3,0.667,0,0,,0,0,,0,0,0,0,0,0,2,2,4,-22
0,Q3,Brevin Knight,357,2,3,0.667,0,0,,0,0,,0,0,0,0,0,0,0,0,4,-1
0,Q4,Brevin Knight,720,6,6,1.0,2,2,1.0,0,2,0.0,0,3,3,5,3,0,1,2,14,7
0,H2,Brevin Knight,1077,8,9,0.889,2,2,1.0,0,2,0.0,0,3,3,5,3,0,1,2,18,6
0,Q1,Antonis Fotsis,
