Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Stephon Marbury,720,3,6,0.5,1,1,1.0,0,0,,1,2,3,3,0,0,1,0,7,-7
0,Q2,Stephon Marbury,512,3,4,0.75,0,0,,1,2,0.5,0,0,0,2,0,0,0,1,7,2
0,H1,Stephon Marbury,1232,6,10,0.6,1,1,1.0,1,2,0.5,1,2,3,5,0,0,1,1,14,-5
0,Q3,Stephon Marbury,720,2,4,0.5,0,1,0.0,3,4,0.75,0,1,1,3,1,0,1,1,7,-2
0,Q4,Stephon Marbury,720,5,6,0.833,2,3,0.667,2,3,0.667,1,0,1,2,0,0,0,2,14,-3
0,H2,Stephon Marbury,1440,7,10,0.7,2,4,0.5,5,7,0.714,1,1,2,5,1,0,1,3,21,-5
0,Q1,Shawn Marion,720,1,6,0.167,0,0,,0,0,,3,0,3,0,0,0,0,0,2,-7
0,Q2,Shawn Marion,405,1,2,0.5,0,0,,4,4,1.0,0,1,1,1,3,0,0,1,6,4
0,H1,Shawn Marion,1125,2,8,0.25,0,0,,4,4,1.0,3,1,4,1,3,0,0,1,8,-3
0,Q3,Shawn Marion,720,5,6,0.833,0,0,,0,0,,0,2,2,1,3,0,0,0,10,-2
0,Q4,Shawn Marion,542,2,9,0.222,1,1,1.0,0,0,,3,3,6,0,1,0,0,1,5,-1
0,H2,Shawn Marion,1262,7,15,0.467,1,1,1.0,0,0,,3,5,8,1,4,0,0,1,15,-3
0,Q1,Tom Gugliotta,720,4,6,0.667,0,0,,0,0,,1,4,5,1,0,0,3,0,8,-7
0,Q2,Tom Gugliotta,403,1,2,0.5,0,0,,0,0,,0,2,2,0,0,0,1,1,2,7
0,H1,Tom Gugliotta,1123,5,8,0.625,0,0,,0,0,,1,6,7,1,0,0,4,1,10,0
0,Q3,Tom Gugliotta,720,1,2,0.5,0,0,,0,0,,1,0,1,0,0,0,1,1,2,-2
0,Q4,Tom Gugliotta,519,1,4,0.25,0,0,,0,0,,0,0,0,0,0,0,0,2,2,-6
0,H2,Tom Gugliotta,1239,2,6,0.333,0,0,,0,0,,1,0,1,0,0,0,1,3,4,-8
0,Q1,Joe Johnson,720,1,3,0.333,0,1,0.0,0,0,,1,2,3,0,0,0,1,1,2,-7
0,Q2,Joe Johnson,416,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,1,0,0,8
0,H1,Joe Johnson,1136,1,4,0.25,0,1,0.0,0,0,,1,2,3,1,0,0,2,1,2,1
