Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Kevin Garnett,720,2,5,0.4,0,0,,2,4,0.5,3,2,5,2,0,0,0,0,6,-3
0,Q2,Kevin Garnett,579,3,6,0.5,0,0,,0,0,,1,3,4,1,0,0,1,0,6,2
0,H1,Kevin Garnett,1299,5,11,0.455,0,0,,2,4,0.5,4,5,9,3,0,0,1,0,12,-1
0,Q3,Kevin Garnett,720,3,4,0.75,1,1,1.0,0,0,,0,2,2,1,0,0,1,0,7,-10
0,Q4,Kevin Garnett,491,1,4,0.25,0,0,,0,1,0.0,0,2,2,0,0,1,0,0,2,-6
0,H2,Kevin Garnett,1211,4,8,0.5,1,1,1.0,0,1,0.0,0,4,4,1,0,1,1,0,9,-16
0,Q1,Rasho Nesterović,517,1,4,0.25,0,0,,2,2,1.0,1,2,3,0,0,0,0,1,4,3
0,Q2,Rasho Nesterović,636,2,4,0.5,0,0,,0,0,,0,0,0,2,1,1,0,0,4,4
0,H1,Rasho Nesterović,1153,3,8,0.375,0,0,,2,2,1.0,1,2,3,2,1,1,0,1,8,7
0,Q3,Rasho Nesterović,636,4,6,0.667,0,0,,0,0,,0,2,2,0,0,1,0,0,8,-12
0,Q4,Rasho Nesterović,192,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-4
0,H2,Rasho Nesterović,828,4,7,0.571,0,0,,0,0,,0,2,2,0,0,1,1,1,8,-16
0,Q1,Kendall Gill,619,0,4,0.0,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-1
0,Q2,Kendall Gill,138,0,0,,0,0,,0,2,0.0,1,2,3,1,0,0,0,2,0,2
0,H1,Kendall Gill,757,0,4,0.0,0,0,,0,2,0.0,2,2,4,1,0,0,0,3,0,1
0,Q3,Kendall Gill,428,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,-2
0,Q4,Kendall Gill,465,0,3,0.0,0,0,,2,2,1.0,0,1,1,0,0,0,0,2,2,-2
