Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Kevin Garnett,720,3,8,0.375,0,1,0.0,0,0,,5,4,9,1,0,0,2,0,6,-9
0,Q2,Kevin Garnett,513,1,2,0.5,0,0,,0,0,,0,1,1,1,0,0,2,0,2,-8
0,H1,Kevin Garnett,1233,4,10,0.4,0,1,0.0,0,0,,5,5,10,2,0,0,4,0,8,-17
0,Q3,Kevin Garnett,661,3,5,0.6,0,0,,5,6,0.833,2,3,5,0,1,0,1,2,11,13
0,Q4,Kevin Garnett,593,1,2,0.5,1,1,1.0,2,2,1.0,0,1,1,2,0,0,2,1,5,2
0,H2,Kevin Garnett,1254,4,7,0.571,1,1,1.0,7,8,0.875,2,4,6,2,1,0,3,3,16,15
0,Q1,Troy Hudson,573,0,4,0.0,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-13
0,Q2,Troy Hudson,329,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-4
0,H1,Troy Hudson,902,0,5,0.0,0,0,,0,0,,0,0,0,1,0,0,1,2,0,-17
0,Q3,Troy Hudson,720,3,4,0.75,0,0,,2,2,1.0,0,1,1,0,0,0,1,0,8,13
0,Q4,Troy Hudson,556,1,4,0.25,0,2,0.0,0,0,,0,0,0,2,0,0,0,2,2,0
0,H2,Troy Hudson,1276,4,8,0.5,0,2,0.0,2,2,1.0,0,1,1,2,0,0,1,2,10,13
0,Q1,Rasho Nesterović,573,1,2,0.5,0,0,,0,0,,0,2,2,0,0,3,0,0,2,-13
0,Q2,Rasho Nesterović,245,2,2,1.0,0,0,,0,0,,0,1,1,0,0,1,1,1,4,-2
0,H1,Rasho Nesterović,818,3,4,0.75,0,0,,0,0,,0,3,3,0,0,4,1,1,6,-15
0,Q3,Rasho Nesterović,313,0,3,0.0,0,0,,0,0,,1,0,1,0,0,0,0,0,0,7
0,Q4,Rasho Nesterović,720,6,7,0.857,0,0,,1,1,1.0,0,3,3,1,0,1,2,1,13,1
0,H2,Rasho Nesterović,1033,6,10,0.6,0,0,,1,1,1.0,1,3,4,1,0,1,2,1,13,8
0,Q1,Kendall Gill,484,0,3,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,1,1,0,-9
0,Q2,Kendall Gill,329,0,3,0.0,0,0,,0,0,,1,1,2,0,1,0,1,0,0,-8
0,H1,Kendall Gill,813,0,6,0.0,0,1,0.0,0,0,,1,1,2,1,1,0,2,1,0,-17
0,Q3,Kendall Gill,500,0,1,0.0,0,0,,0,0,,0,2,2,0,0,0,0,2,0,14
0,Q4,Kendall Gill,203,1,1,1.0,0,0,,0,0,,0,0,0,1,0,0,0,1,2,3
0,H2,Kendall Gill,703,1,2,0.5,0,0,,0,0,,0,2,2,1,0,0,0,3,2,17
0,Q1,Gary Trent,368,1,2,0.5,0,0,,2,3,0.667,1,1,2,0,0,0,2,0,4,-6
0,Q2,Gary Trent,
0,H1,Gary Trent,368,1,2,0.5,0,0,,2,3,0.667,1,1,2,0,0,0,2,0,4,-6
0,Q3,Gary Trent,
0,Q4,Gary Trent,127,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
0,H2,Gary Trent,127,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
0,Q1,Rod Strickland,147,0,1,0.0,0,0,,0,0,,0,1,1,1,1,0,0,0,0,4
0,Q2,Rod Strickland,720,4,6,0.667,0,0,,0,0,,0,0,0,2,1,0,1,0,8,-10
0,H1,Rod Strickland,867,4,7,0.571,0,0,,0,0,,0,1,1,3,2,0,1,0,8,-6
0,Q3,Rod Strickland,503,2,2,1.0,0,0,,1,1,1.0,0,2,2,2,2,0,1,2,5,11
0,Q4,Rod Strickland,681,0,0,,0,0,,2,2,1.0,0,0,0,1,0,0,2,3,2,-1
