Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Clifford Robinson,469,3,5,0.6,0,0,,0,0,,0,0,0,0,0,0,1,2,6,-2
0,Q2,Clifford Robinson,483,1,2,0.5,0,0,,0,0,,0,0,0,1,0,0,0,0,2,0
0,H1,Clifford Robinson,952,4,7,0.571,0,0,,0,0,,0,0,0,1,0,0,1,2,8,-2
0,Q3,Clifford Robinson,720,0,2,0.0,0,0,,0,0,,0,1,1,0,0,1,1,1,0,-3
0,Q4,Clifford Robinson,539,1,4,0.25,1,2,0.5,0,0,,0,1,1,0,0,0,0,2,3,-1
0,H2,Clifford Robinson,1259,1,6,0.167,1,2,0.5,0,0,,0,2,2,0,0,1,1,3,3,-4
0,Q1,Richard Hamilton,720,2,3,0.667,0,0,,2,2,1.0,0,3,3,0,0,0,1,1,6,-4
0,Q2,Richard Hamilton,220,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-2
0,H1,Richard Hamilton,940,3,4,0.75,0,0,,2,2,1.0,0,3,3,0,0,0,1,2,8,-6
0,Q3,Richard Hamilton,720,3,8,0.375,0,1,0.0,0,0,,0,2,2,0,1,0,1,0,6,-3
0,Q4,Richard Hamilton,419,1,2,0.5,0,0,,0,0,,0,1,1,0,1,1,1,1,2,-2
0,H2,Richard Hamilton,1139,4,10,0.4,0,1,0.0,0,0,,0,3,3,0,2,1,2,1,8,-5
0,Q1,Mehmet Okur,720,1,3,0.333,0,1,0.0,1,2,0.5,1,2,3,1,0,1,0,0,3,-4
0,Q2,Mehmet Okur,382,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-3
0,H1,Mehmet Okur,1102,1,4,0.25,0,1,0.0,1,2,0.5,1,3,4,1,0,1,1,1,3,-7
0,Q3,Mehmet Okur,364,0,1,0.0,0,0,,0,0,,1,3,4,1,0,0,0,3,0,3
0,Q4,Mehmet Okur,521,0,1,0.0,0,0,,2,2,1.0,0,1,1,1,0,0,0,1,2,7
0,H2,Mehmet Okur,885,0,2,0.0,0,0,,2,2,1.0,1,4,5,2,0,0,0,4,2,10
0,Q1,Chauncey Billups,631,1,3,0.333,0,1,0.0,0,0,,0,0,0,3,3,0,2,1,2,-1
0,Q2,Chauncey Billups,291,1,2,0.5,0,0,,1,1,1.0,0,2,2,0,0,0,0,0,3,0
0,H1,Chauncey Billups,922,2,5,0.4,0,1,0.0,1,1,1.0,0,2,2,3,3,0,2,1,5,-1
0,Q3,Chauncey Billups,720,4,6,0.667,1,2,0.5,2,3,0.667,0,2,2,1,0,0,0,0,11,-3
0,Q4,Chauncey Billups,313,0,2,0.0,0,1,0.0,0,0,,0,2,2,0,0,1,0,2,0,-7
0,H2,Chauncey Billups,1033,4,8,0.5,1,3,0.333,2,3,0.667,0,4,4,1,0,1,0,2,11,-10
0,Q1,Michael Curry,557,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,0,2,2,-1
0,Q2,Michael Curry,
0,H1,Michael Curry,557,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,0,2,2,-1
0,Q3,Michael Curry,585,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-1
0,Q4,Michael Curry,225,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-9
0,H2,Michael Curry,810,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-10
0,Q1,Corliss Williamson,163,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
0,Q2,Corliss Williamson,720,4,7,0.571,0,0,,0,0,,1,1,2,1,0,0,2,1,8,0
0,H1,Corliss Williamson,883,4,8,0.5,0,0,,0,0,,1,1,2,1,0,0,2,1,8,-3
0,Q3,Corliss Williamson,272,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,3,2,0,-4
0,Q4,Corliss Williamson,690,5,7,0.714,0,0,,3,4,0.75,4,0,4,4,2,0,2,0,13,10
0,H2,Corliss Williamson,962,5,8,0.625,0,0,,3,4,0.75,4,1,5,4,2,0,5,2,13,6
0,Q1,Željko Rebrača,251,1,2,0.5,0,0,,2,2,1.0,0,1,1,0,0,0,0,0,4,-2
0,Q2,Željko Rebrača,575,1,1,1.0,0,0,,0,0,,0,2,2,0,0,0,0,1,2,3
0,H1,Željko Rebrača,826,2,3,0.667,0,0,,2,2,1.0,0,3,3,0,0,0,0,1,6,1
