Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Pau Gasol,514,1,4,0.25,0,0,,2,2,1.0,3,1,4,0,0,1,2,1,4,-4
0,Q2,Pau Gasol,422,1,1,1.0,0,0,,0,0,,0,1,1,1,0,0,1,0,2,-4
0,H1,Pau Gasol,936,2,5,0.4,0,0,,2,2,1.0,3,2,5,1,0,1,3,1,6,-8
0,Q3,Pau Gasol,559,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,0,1,2,11
0,Q4,Pau Gasol,720,2,5,0.4,0,0,,2,2,1.0,0,2,2,1,0,0,1,1,6,1
0,H2,Pau Gasol,1279,3,6,0.5,0,0,,2,2,1.0,0,3,3,1,0,0,1,2,8,12
0,Q1,Jason Williams,539,1,4,0.25,0,1,0.0,2,2,1.0,0,0,0,1,0,0,0,0,4,-4
0,Q2,Jason Williams,422,0,3,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-4
0,H1,Jason Williams,961,1,7,0.143,0,1,0.0,2,2,1.0,0,0,0,2,0,0,0,0,4,-8
0,Q3,Jason Williams,720,5,7,0.714,3,3,1.0,0,0,,0,2,2,2,0,0,0,1,13,17
0,Q4,Jason Williams,244,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-4
0,H2,Jason Williams,964,5,9,0.556,3,4,0.75,0,0,,0,2,2,2,0,0,0,1,13,13
0,Q1,Bonzi Wells,612,4,5,0.8,0,0,,0,0,,0,1,1,0,0,0,1,1,8,-7
0,Q2,Bonzi Wells,222,2,2,1.0,0,0,,0,0,,0,0,0,0,0,0,1,2,4,0
0,H1,Bonzi Wells,834,6,7,0.857,0,0,,0,0,,0,1,1,0,0,0,2,3,12,-7
0,Q3,Bonzi Wells,559,1,4,0.25,0,0,,0,2,0.0,0,0,0,1,3,0,0,1,2,11
0,Q4,Bonzi Wells,480,2,3,0.667,0,0,,0,0,,0,0,0,0,1,0,0,0,4,-1
0,H2,Bonzi Wells,1039,3,7,0.429,0,0,,0,2,0.0,0,0,0,1,4,0,0,1,6,10
0,Q1,James Posey,282,1,2,0.5,0,1,0.0,0,0,,0,1,1,0,0,0,0,2,2,-7
0,Q2,James Posey,503,2,2,1.0,0,0,,0,0,,1,1,2,0,0,0,1,1,4,-3
0,H1,James Posey,785,3,4,0.75,0,1,0.0,0,0,,1,2,3,0,0,0,1,3,6,-10
0,Q3,James Posey,48,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,0
0,Q4,James Posey,514,0,2,0.0,0,2,0.0,1,2,0.5,0,3,3,0,0,0,0,0,1,1
0,H2,James Posey,562,0,2,0.0,0,2,0.0,1,2,0.5,0,3,3,0,1,0,0,1,1,1
0,Q1,Jake Tsakalidis,388,0,1,0.0,0,0,,1,2,0.5,1,3,4,0,0,0,0,2,1,-5
0,Q2,Jake Tsakalidis,340,0,1,0.0,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-2
0,H1,Jake Tsakalidis,728,0,2,0.0,0,0,,1,2,0.5,1,4,5,1,0,0,0,2,1,-7
0,Q3,Jake Tsakalidis,241,0,2,0.0,0,0,,2,2,1.0,1,0,1,0,0,0,1,2,2,1
0,Q4,Jake Tsakalidis,
0,H2,Jake Tsakalidis,241,0,2,0.0,0,0,,2,2,1.0,1,0,1,0,0,0,1,2,2,1
0,Q1,Shane Battier,438,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,0,1,0,1,2,4
