Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Pau Gasol,639,3,6,0.5,0,0,,1,1,1.0,2,2,4,0,0,0,0,0,7,9
0,Q2,Pau Gasol,493,3,4,0.75,0,0,,3,4,0.75,1,1,2,0,1,0,1,1,9,0
0,H1,Pau Gasol,1132,6,10,0.6,0,0,,4,5,0.8,3,3,6,0,1,0,1,1,16,9
0,Q3,Pau Gasol,564,1,2,0.5,0,0,,2,2,1.0,1,0,1,0,0,1,1,1,4,2
0,Q4,Pau Gasol,535,0,1,0.0,0,0,,4,6,0.667,0,0,0,1,0,0,0,0,4,5
0,H2,Pau Gasol,1099,1,3,0.333,0,0,,6,8,0.75,1,0,1,1,0,1,1,1,8,7
0,Q1,Earl Watson,639,1,4,0.25,0,0,,0,0,,0,2,2,3,1,0,2,1,2,9
0,Q2,Earl Watson,493,1,1,1.0,0,0,,0,0,,0,0,0,2,2,0,0,0,2,0
0,H1,Earl Watson,1132,2,5,0.4,0,0,,0,0,,0,2,2,5,3,0,2,1,4,9
0,Q3,Earl Watson,606,0,2,0.0,0,2,0.0,0,0,,0,0,0,2,1,0,2,0,0,-2
0,Q4,Earl Watson,462,1,1,1.0,0,0,,5,6,0.833,0,1,1,0,0,0,1,3,7,5
0,H2,Earl Watson,1068,1,3,0.333,0,2,0.0,5,6,0.833,0,1,1,2,1,0,3,3,7,3
0,Q1,Mike Miller,572,1,3,0.333,1,1,1.0,0,0,,0,1,1,2,0,0,0,1,3,9
0,Q2,Mike Miller,335,1,1,1.0,0,0,,1,2,0.5,0,0,0,0,0,0,0,0,3,4
0,H1,Mike Miller,907,2,4,0.5,1,1,1.0,1,2,0.5,0,1,1,2,0,0,0,1,6,13
0,Q3,Mike Miller,509,2,2,1.0,0,0,,0,2,0.0,0,0,0,1,0,0,0,0,4,-2
0,Q4,Mike Miller,429,1,1,1.0,1,1,1.0,0,0,,0,2,2,2,0,0,1,0,3,7
0,H2,Mike Miller,938,3,3,1.0,1,1,1.0,0,2,0.0,0,2,2,3,0,0,1,0,7,5
0,Q1,Shane Battier,582,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,2,0,4
0,Q2,Shane Battier,257,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-1
0,H1,Shane Battier,839,0,1,0.0,0,0,,0,0,,0,1,1,1,0,0,1,2,0,3
0,Q3,Shane Battier,314,0,0,,0,0,,2,2,1.0,0,0,0,0,1,0,0,2,2,0
0,Q4,Shane Battier,493,1,3,0.333,0,1,0.0,0,0,,0,2,2,1,1,0,0,1,2,6
0,H2,Shane Battier,807,1,3,0.333,0,1,0.0,2,2,1.0,0,2,2,1,2,0,0,3,4,6
0,Q1,Lorenzen Wright,137,2,2,1.0,0,0,,0,0,,1,2,3,0,0,0,0,2,4,3
0,Q2,Lorenzen Wright,347,0,3,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,4
0,H1,Lorenzen Wright,484,2,5,0.4,0,0,,0,0,,1,3,4,0,0,0,0,2,4,7
0,Q3,Lorenzen Wright,485,2,3,0.667,0,0,,3,4,0.75,0,1,1,0,2,0,1,2,7,-4
0,Q4,Lorenzen Wright,
0,H2,Lorenzen Wright,485,2,3,0.667,0,0,,3,4,0.75,0,1,1,0,2,0,1,2,7,-4
0,Q1,Stromile Swift,531,3,3,1.0,0,0,,0,0,,0,3,3,0,0,4,0,2,6,4
0,Q2,Stromile Swift,92,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-4
0,H1,Stromile Swift,623,3,3,1.0,0,0,,0,0,,0,3,3,0,0,4,1,3,6,0
0,Q3,Stromile Swift,235,1,1,1.0,0,0,,2,2,1.0,1,0,1,1,0,0,0,0,4,-2
0,Q4,Stromile Swift,717,1,2,0.5,0,0,,1,1,1.0,0,2,2,0,0,1,0,1,3,7
0,H2,Stromile Swift,952,2,3,0.667,0,0,,3,3,1.0,1,2,3,1,0,1,0,1,7,5
0,Q1,James Posey,190,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-3
0,Q2,James Posey,720,0,2,0.0,0,2,0.0,2,2,1.0,0,0,0,0,0,0,0,1,2,1
0,H1,James Posey,910,0,3,0.0,0,2,0.0,2,2,1.0,0,1,1,0,0,0,1,1,2,-2
0,Q3,James Posey,406,0,5,0.0,0,1,0.0,0,0,,1,1,2,1,0,0,0,0,0,-6
0,Q4,James Posey,230,2,2,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,0,2,5,5
0,H2,James Posey,636,2,7,0.286,1,2,0.5,0,0,,1,1,2,1,0,0,0,2,5,-1
0,Q1,Bonzi Wells,148,0,3,0.0,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-5
0,Q2,Bonzi Wells,385,0,2,0.0,0,0,,2,2,1.0,0,2,2,0,2,0,1,1,2,-3
0,H1,Bonzi Wells,533,0,5,0.0,0,0,,2,2,1.0,1,2,3,0,2,0,1,1,2,-8
0,Q3,Bonzi Wells,211,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-4
0,Q4,Bonzi Wells,291,3,3,1.0,0,0,,0,0,,0,1,1,0,0,0,1,1,6,2
0,H2,Bonzi Wells,502,3,4,0.75,0,0,,0,0,,0,2,2,0,0,0,1,3,6,-2
0,Q1,Antonio Burks,81,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-5
0,Q2,Antonio Burks,227,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,0,0,2,1
0,H1,Antonio Burks,308,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,1,0,2,-4
0,Q3,Antonio Burks,114,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
0,Q4,Antonio Burks,258,1,2,0.5,0,0,,0,0,,0,0,0,3,0,0,0,0,2,4
0,H2,Antonio Burks,372,1,3,0.333,0,0,,0,0,,0,0,0,3,0,0,0,0,2,0
0,Q1,Jake Tsakalidis,81,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
0,Q2,Jake Tsakalidis,251,0,0,,0,0,,2,2,1.0,0,1,1,0,0,1,0,0,2,3
0,H1,Jake Tsakalidis,332,0,0,,0,0,,2,2,1.0,0,1,1,0,0,1,0,0,2,-2
0,Q3,Jake Tsakalidis,156,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-8
0,Q4,Jake Tsakalidis,185,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,4
0,H2,Jake Tsakalidis,341,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-4
0,Q1,Ryan Humphrey,
0,Q2,Ryan Humphrey,
0,H1,Ryan Humphrey,
0,Q3,Ryan Humphrey,
0,Q4,Ryan Humphrey,
0,H2,Ryan Humphrey,
0,Q1,Dahntay Jones,
0,Q2,Dahntay Jones,
0,H1,Dahntay Jones,
0,Q3,Dahntay Jones,
0,Q4,Dahntay Jones,
0,H2,Dahntay Jones,
1,Q1,Antoine Walker,582,1,5,0.2,0,0,,1,1,1.0,0,2,2,0,1,0,0,0,3,-4
1,Q2,Antoine Walker,720,2,3,0.667,1,1,1.0,4,4,1.0,0,0,0,0,0,0,3,0,9,-1
1,H1,Antoine Walker,1302,3,8,0.375,1,1,1.0,5,5,1.0,0,2,2,0,1,0,3,0,12,-5
1,Q3,Antoine Walker,720,5,6,0.833,2,3,0.667,2,3,0.667,0,4,4,0,0,0,0,1,14,6
1,Q4,Antoine Walker,720,1,6,0.167,0,2,0.0,3,4,0.75,2,1,3,0,0,0,1,1,5,-9
1,H2,Antoine Walker,1440,6,12,0.5,2,5,0.4,5,7,0.714,2,5,7,0,0,0,1,2,19,-3
1,Q1,Al Harrington,668,1,3,0.333,0,0,,0,0,,0,1,1,1,1,0,2,1,2,-7
1,Q2,Al Harrington,639,3,6,0.5,0,0,,2,2,1.0,1,1,2,0,0,0,0,1,8,5
1,H1,Al Harrington,1307,4,9,0.444,0,0,,2,2,1.0,1,2,3,1,1,0,2,2,10,-2
1,Q3,Al Harrington,606,3,5,0.6,0,0,,2,2,1.0,1,0,1,3,0,0,2,0,8,2
1,Q4,Al Harrington,647,3,4,0.75,0,0,,2,4,0.5,1,1,2,2,2,0,1,2,8,-5
1,H2,Al Harrington,1253,6,9,0.667,0,0,,4,6,0.667,2,1,3,5,2,0,3,2,16,-3
1,Q1,Boris Diaw,302,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,2,0,-5
1,Q2,Boris Diaw,
1,H1,Boris Diaw,302,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,2,0,-5
1,Q3,Boris Diaw,461,0,0,,0,0,,0,0,,0,0,0,1,2,0,0,2,0,4
1,Q4,Boris Diaw,117,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
1,H2,Boris Diaw,578,0,0,,0,0,,0,0,,0,0,0,1,2,0,0,2,0,0
1,Q1,Kenny Anderson,238,0,1,0.0,0,0,,1,2,0.5,0,0,0,0,0,0,0,0,1,-7
1,Q2,Kenny Anderson,335,0,1,0.0,0,0,,0,0,,0,1,1,1,0,0,1,1,0,-4
1,H1,Kenny Anderson,573,0,2,0.0,0,0,,1,2,0.5,0,1,1,1,0,0,1,1,1,-11
1,Q3,Kenny Anderson,273,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,2,0,0,1
1,Q4,Kenny Anderson,
1,H2,Kenny Anderson,273,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,2,0,0,1
1,Q1,Jason Collier,209,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-7
1,Q2,Jason Collier,132,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
1,H1,Jason Collier,341,0,3,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-8
