Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Baron Davis,720,2,3,0.667,1,1,1.0,0,0,,0,3,3,1,0,0,1,0,5,-3
0,Q2,Baron Davis,461,1,4,0.25,0,1,0.0,1,2,0.5,1,2,3,2,0,0,2,1,3,3
0,H1,Baron Davis,1181,3,7,0.429,1,2,0.5,1,2,0.5,1,5,6,3,0,0,3,1,8,0
0,Q3,Baron Davis,720,3,5,0.6,0,1,0.0,0,0,,0,1,1,2,0,0,2,2,6,-5
0,Q4,Baron Davis,510,1,4,0.25,0,0,,0,0,,1,0,1,1,1,0,1,2,2,-6
0,H2,Baron Davis,1230,4,9,0.444,0,1,0.0,0,0,,1,1,2,3,1,0,3,4,8,-11
0,Q1,Rodney Rogers,509,1,4,0.25,0,1,0.0,0,0,,0,0,0,1,0,0,1,0,2,-11
0,Q2,Rodney Rogers,720,1,4,0.25,0,0,,0,0,,0,0,0,1,0,0,0,1,2,-5
0,H1,Rodney Rogers,1229,2,8,0.25,0,1,0.0,0,0,,0,0,0,2,0,0,1,1,4,-16
0,Q3,Rodney Rogers,545,0,2,0.0,0,1,0.0,0,0,,0,2,2,0,0,0,1,0,0,-3
0,Q4,Rodney Rogers,316,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2
0,H2,Rodney Rogers,861,0,3,0.0,0,1,0.0,0,0,,0,3,3,0,0,0,1,0,0,-5
0,Q1,P.J. Brown,720,3,6,0.5,0,0,,0,0,,1,4,5,0,2,2,0,1,6,-3
0,Q2,P.J. Brown,236,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,2,2,1
0,H1,P.J. Brown,956,4,7,0.571,0,0,,0,0,,1,4,5,0,2,2,0,3,8,-2
0,Q3,P.J. Brown,720,2,4,0.5,0,0,,1,2,0.5,1,1,2,0,0,0,0,0,5,-5
0,Q4,P.J. Brown,
0,H2,P.J. Brown,720,2,4,0.5,0,0,,1,2,0.5,1,1,2,0,0,0,0,0,5,-5
0,Q1,Lee Nailon,509,2,5,0.4,0,0,,0,0,,1,0,1,0,0,0,0,1,4,-11
0,Q2,Lee Nailon,382,2,3,0.667,0,0,,0,0,,0,0,0,0,0,0,0,0,4,0
0,H1,Lee Nailon,891,4,8,0.5,0,0,,0,0,,1,0,1,0,0,0,0,1,8,-11
