Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,LeBron James,720,2,3,0.667,0,0,,0,0,,0,2,2,3,0,0,1,0,4,-10
0,Q2,LeBron James,545,2,6,0.333,0,0,,2,2,1.0,1,0,1,2,1,0,1,0,6,-6
0,H1,LeBron James,1265,4,9,0.444,0,0,,2,2,1.0,1,2,3,5,1,0,2,0,10,-16
0,Q3,LeBron James,720,3,6,0.5,0,0,,5,6,0.833,0,1,1,1,0,0,1,2,11,4
0,Q4,LeBron James,720,2,5,0.4,1,2,0.5,2,2,1.0,0,0,0,1,1,0,2,2,7,2
0,H2,LeBron James,1440,5,11,0.455,1,2,0.5,7,8,0.875,0,1,1,2,1,0,3,4,18,6
0,Q1,Jeff McInnis,720,2,6,0.333,0,1,0.0,0,0,,1,2,3,3,0,0,0,0,4,-10
0,Q2,Jeff McInnis,553,3,5,0.6,2,2,1.0,0,0,,0,0,0,0,1,0,0,0,8,5
0,H1,Jeff McInnis,1273,5,11,0.455,2,3,0.667,0,0,,1,2,3,3,1,0,0,0,12,-5
0,Q3,Jeff McInnis,720,3,6,0.5,1,3,0.333,2,2,1.0,2,1,3,2,0,0,1,1,9,4
0,Q4,Jeff McInnis,494,1,5,0.2,0,3,0.0,0,0,,1,0,1,0,0,0,0,1,2,-5
0,H2,Jeff McInnis,1214,4,11,0.364,1,6,0.167,2,2,1.0,3,1,4,2,0,0,1,2,11,-1
0,Q1,Zydrunas Ilgauskas,605,3,5,0.6,0,0,,0,0,,2,3,5,0,0,0,2,1,6,-8
0,Q2,Zydrunas Ilgauskas,613,0,3,0.0,0,0,,4,6,0.667,3,3,6,0,0,0,1,1,4,0
0,H1,Zydrunas Ilgauskas,1218,3,8,0.375,0,0,,4,6,0.667,5,6,11,0,0,0,3,2,10,-8
0,Q3,Zydrunas Ilgauskas,285,0,1,0.0,0,0,,2,2,1.0,1,0,1,0,0,0,2,2,2,-8
0,Q4,Zydrunas Ilgauskas,670,3,7,0.429,0,0,,2,2,1.0,4,2,6,0,0,0,0,1,8,4
0,H2,Zydrunas Ilgauskas,955,3,8,0.375,0,0,,4,4,1.0,5,2,7,0,0,0,2,3,10,-4
0,Q1,Ira Newble,686,0,2,0.0,0,0,,0,0,,2,0,2,0,0,0,2,0,0,-10
0,Q2,Ira Newble,239,1,1,1.0,0,0,,0,0,,1,0,1,0,0,0,1,1,2,5
0,H1,Ira Newble,925,1,3,0.333,0,0,,0,0,,3,0,3,0,0,0,3,1,2,-5
0,Q3,Ira Newble,195,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-6
0,Q4,Ira Newble,
0,H2,Ira Newble,195,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-6
0,Q1,Drew Gooden,654,3,5,0.6,0,0,,0,0,,0,1,1,0,0,0,1,2,6,-12
0,Q2,Drew Gooden,48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
0,H1,Drew Gooden,702,3,5,0.6,0,0,,0,0,,0,1,1,0,0,0,1,3,6,-14
0,Q3,Drew Gooden,50,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-4
0,Q4,Drew Gooden,276,0,0,,0,0,,0,0,,0,0,0,0,0,2,0,1,0,5
0,H2,Drew Gooden,326,0,0,,0,0,,0,0,,0,0,0,0,0,2,1,1,0,1
0,Q1,Robert Traylor,66,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2
0,Q2,Robert Traylor,672,2,3,0.667,0,0,,0,0,,0,1,1,0,0,0,0,1,4,0
0,H1,Robert Traylor,738,2,4,0.5,0,0,,0,0,,0,1,1,0,0,0,0,1,4,2
0,Q3,Robert Traylor,670,1,4,0.25,0,0,,2,4,0.5,1,5,6,1,1,1,1,0,4,8
0,Q4,Robert Traylor,494,1,1,1.0,0,0,,0,0,,2,3,5,0,1,1,1,2,2,-5
