Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Michael Redd,642,2,8,0.25,0,1,0.0,0,0,,0,0,0,0,0,0,1,2,4,-6
0,Q2,Michael Redd,379,2,6,0.333,0,1,0.0,1,1,1.0,0,0,0,2,0,0,0,1,5,0
0,H1,Michael Redd,1021,4,14,0.286,0,2,0.0,1,1,1.0,0,0,0,2,0,0,1,3,9,-6
0,Q3,Michael Redd,720,3,8,0.375,1,2,0.5,3,3,1.0,0,0,0,1,0,0,1,0,10,0
0,Q4,Michael Redd,580,1,3,0.333,0,0,,2,2,1.0,0,1,1,0,0,0,1,1,4,4
0,H2,Michael Redd,1300,4,11,0.364,1,2,0.5,5,5,1.0,0,1,1,1,0,0,2,1,14,4
0,Q1,Desmond Mason,720,5,7,0.714,0,0,,3,4,0.75,0,2,2,1,1,1,1,1,13,-7
0,Q2,Desmond Mason,346,0,3,0.0,0,0,,2,3,0.667,0,0,0,1,0,0,0,1,2,-2
0,H1,Desmond Mason,1066,5,10,0.5,0,0,,5,7,0.714,0,2,2,2,1,1,1,2,15,-9
0,Q3,Desmond Mason,598,2,3,0.667,0,0,,1,1,1.0,0,1,1,0,0,0,0,1,5,2
0,Q4,Desmond Mason,480,2,3,0.667,0,0,,0,0,,1,2,3,1,0,0,0,3,4,-8
0,H2,Desmond Mason,1078,4,6,0.667,0,0,,1,1,1.0,1,3,4,1,0,0,0,4,9,-6
0,Q1,Joe Smith,720,0,0,,0,0,,4,4,1.0,1,1,2,1,0,0,0,0,4,-7
0,Q2,Joe Smith,157,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-2
0,H1,Joe Smith,877,1,1,1.0,0,0,,4,4,1.0,1,1,2,1,0,0,0,0,6,-9
0,Q3,Joe Smith,720,1,3,0.333,0,0,,2,2,1.0,0,0,0,0,0,0,1,3,4,0
0,Q4,Joe Smith,395,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,1
0,H2,Joe Smith,1115,1,4,0.25,0,0,,2,2,1.0,0,0,0,1,0,0,1,3,4,1
0,Q1,Mo Williams,642,0,2,0.0,0,0,,0,0,,0,0,0,3,0,0,0,1,0,-6
0,Q2,Mo Williams,307,1,2,0.5,0,0,,0,0,,0,0,0,0,3,0,0,1,2,-5
0,H1,Mo Williams,949,1,4,0.25,0,0,,0,0,,0,0,0,3,3,0,0,2,2,-11
0,Q3,Mo Williams,390,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-4
0,Q4,Mo Williams,395,0,3,0.0,0,2,0.0,3,4,0.75,0,1,1,1,1,0,0,1,3,1
0,H2,Mo Williams,785,0,4,0.0,0,2,0.0,3,4,0.75,0,1,1,2,1,0,0,3,3,-3
0,Q1,Dan Gadzuric,720,1,3,0.333,0,0,,0,0,,4,2,6,1,0,1,0,0,2,-7
0,Q2,Dan Gadzuric,171,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-1
0,H1,Dan Gadzuric,891,1,3,0.333,0,0,,0,0,,4,3,7,1,0,1,0,1,2,-8
0,Q3,Dan Gadzuric,604,2,3,0.667,0,0,,2,4,0.5,3,2,5,0,0,0,1,1,6,-1
0,Q4,Dan Gadzuric,206,1,1,1.0,0,0,,0,0,,0,0,0,0,1,0,0,0,2,0
0,H2,Dan Gadzuric,810,3,4,0.75,0,0,,2,4,0.5,3,2,5,0,1,0,1,1,8,-1
0,Q1,Toni Kukoč,78,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,1,1,3,-1
0,Q2,Toni Kukoč,720,2,4,0.5,2,4,0.5,0,0,,0,0,0,0,0,0,0,0,6,-2
0,H1,Toni Kukoč,798,3,5,0.6,3,5,0.6,0,0,,0,0,0,0,0,0,1,1,9,-3
0,Q3,Toni Kukoč,122,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
0,Q4,Toni Kukoč,325,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,0,0,2,0,3,-3
0,H2,Toni Kukoč,447,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,0,0,2,0,3,-5
0,Q1,Anthony Goldwire,78,0,0,,0,0,,0,0,,0,1,1,0,1,0,1,0,0,-1
0,Q2,Anthony Goldwire,413,0,2,0.0,0,1,0.0,0,0,,0,0,0,3,0,0,0,1,0,3
0,H1,Anthony Goldwire,491,0,2,0.0,0,1,0.0,0,0,,0,1,1,3,1,0,1,1,0,2
0,Q3,Anthony Goldwire,330,0,0,,0,0,,0,0,,0,0,0,3,0,0,1,0,0,4
