Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,DeShawn Stevenson,536,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,1,0,2,1
0,Q2,DeShawn Stevenson,604,1,3,0.333,0,0,,2,2,1.0,0,1,1,3,0,0,1,0,4,-6
0,H1,DeShawn Stevenson,1140,2,5,0.4,0,0,,2,2,1.0,0,1,1,3,0,0,2,0,6,-5
0,Q3,DeShawn Stevenson,706,0,1,0.0,0,0,,1,2,0.5,0,3,3,0,0,0,1,1,1,6
0,Q4,DeShawn Stevenson,720,2,3,0.667,0,0,,2,2,1.0,1,0,1,0,0,0,0,1,6,-2
0,H2,DeShawn Stevenson,1426,2,4,0.5,0,0,,3,4,0.75,1,3,4,0,0,0,1,2,7,4
0,Q1,Steve Francis,625,2,4,0.5,1,1,1.0,2,2,1.0,0,1,1,2,0,0,2,0,7,6
0,Q2,Steve Francis,469,0,3,0.0,0,0,,0,0,,0,2,2,1,0,0,2,1,0,-4
0,H1,Steve Francis,1094,2,7,0.286,1,1,1.0,2,2,1.0,0,3,3,3,0,0,4,1,7,2
0,Q3,Steve Francis,720,3,6,0.5,0,0,,4,5,0.8,0,3,3,0,0,0,0,0,10,6
0,Q4,Steve Francis,552,2,6,0.333,1,2,0.5,2,2,1.0,2,0,2,1,0,0,1,2,7,-2
0,H2,Steve Francis,1272,5,12,0.417,1,2,0.5,6,7,0.857,2,3,5,1,0,0,1,2,17,4
0,Q1,Dwight Howard,720,2,3,0.667,0,0,,2,2,1.0,0,4,4,0,0,0,1,1,6,7
0,Q2,Dwight Howard,298,1,2,0.5,0,0,,0,0,,1,1,2,0,0,1,1,0,2,-4
0,H1,Dwight Howard,1018,3,5,0.6,0,0,,2,2,1.0,1,5,6,0,0,1,2,1,8,3
0,Q3,Dwight Howard,632,2,2,1.0,0,0,,2,4,0.5,2,4,6,1,0,0,0,2,6,10
0,Q4,Dwight Howard,544,0,1,0.0,0,0,,2,2,1.0,1,0,1,0,0,0,1,2,2,-2
0,H2,Dwight Howard,1176,2,3,0.667,0,0,,4,6,0.667,3,4,7,1,0,0,1,4,8,8
0,Q1,Hedo Türkoğlu,616,2,3,0.667,1,1,1.0,0,0,,0,2,2,1,0,0,2,2,5,6
0,Q2,Hedo Türkoğlu,385,0,0,,0,0,,2,2,1.0,0,0,0,0,0,0,0,0,2,-2
0,H1,Hedo Türkoğlu,1001,2,3,0.667,1,1,1.0,2,2,1.0,0,2,2,1,0,0,2,2,7,4
0,Q3,Hedo Türkoğlu,586,0,2,0.0,0,0,,2,2,1.0,0,1,1,1,0,0,0,2,2,8
0,Q4,Hedo Türkoğlu,4,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,2
0,H2,Hedo Türkoğlu,590,0,2,0.0,0,0,,2,2,1.0,0,2,2,1,0,0,0,2,2,10
