Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,David West,424,3,3,1.0,0,0,,0,0,,0,1,1,0,0,0,0,1,6,1
0,Q2,David West,720,5,7,0.714,0,0,,0,0,,2,1,3,0,0,0,0,0,10,-1
0,H1,David West,1144,8,10,0.8,0,0,,0,0,,2,2,4,0,0,0,0,1,16,0
0,Q3,David West,720,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,1,0,-6
0,Q4,David West,602,2,3,0.667,0,0,,2,2,1.0,2,2,4,0,0,0,1,0,6,3
0,H2,David West,1322,2,3,0.667,0,0,,2,2,1.0,2,3,5,0,1,0,1,1,6,-3
0,Q1,Desmond Mason,720,0,2,0.0,0,0,,0,0,,0,4,4,2,0,0,2,1,0,-3
0,Q2,Desmond Mason,465,1,4,0.25,0,0,,3,4,0.75,0,0,0,0,0,0,0,0,5,5
0,H1,Desmond Mason,1185,1,6,0.167,0,0,,3,4,0.75,0,4,4,2,0,0,2,1,5,2
0,Q3,Desmond Mason,720,1,1,1.0,0,0,,0,0,,2,1,3,0,0,1,3,0,2,-6
0,Q4,Desmond Mason,304,0,2,0.0,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-2
0,H2,Desmond Mason,1024,1,3,0.333,0,0,,0,0,,2,2,4,1,0,1,3,0,2,-8
0,Q1,P.J. Brown,720,3,3,1.0,0,0,,0,0,,1,0,1,0,1,0,0,0,6,-3
0,Q2,P.J. Brown,329,1,1,1.0,0,0,,0,0,,2,0,2,1,0,0,0,1,2,-2
0,H1,P.J. Brown,1049,4,4,1.0,0,0,,0,0,,3,0,3,1,1,0,0,1,8,-5
0,Q3,P.J. Brown,421,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-7
0,Q4,P.J. Brown,572,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1
0,H2,P.J. Brown,993,0,1,0.0,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-8
