Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Lamar Odom,590,2,5,0.4,0,1,0.0,0,0,,1,5,6,1,0,0,0,2,4,2
0,Q2,Lamar Odom,670,0,1,0.0,0,0,,3,4,0.75,0,3,3,2,0,0,1,0,3,2
0,H1,Lamar Odom,1260,2,6,0.333,0,1,0.0,3,4,0.75,1,8,9,3,0,0,1,2,7,4
0,Q3,Lamar Odom,720,3,4,0.75,1,1,1.0,1,2,0.5,1,2,3,1,0,0,1,0,8,-5
0,Q4,Lamar Odom,720,1,4,0.25,0,1,0.0,1,2,0.5,3,2,5,2,0,0,1,2,3,5
0,H2,Lamar Odom,1440,4,8,0.5,1,2,0.5,2,4,0.5,4,4,8,3,0,0,2,2,11,0
0,Q1,Kobe Bryant,720,4,9,0.444,1,2,0.5,0,0,,0,0,0,0,0,1,0,1,9,4
0,Q2,Kobe Bryant,484,0,5,0.0,0,1,0.0,7,8,0.875,0,0,0,0,1,0,1,0,7,4
0,H1,Kobe Bryant,1204,4,14,0.286,1,3,0.333,7,8,0.875,0,0,0,0,1,1,1,1,16,8
0,Q3,Kobe Bryant,720,1,8,0.125,0,2,0.0,4,4,1.0,3,2,5,1,0,0,1,1,6,-5
0,Q4,Kobe Bryant,712,7,11,0.636,1,1,1.0,3,4,0.75,1,0,1,0,2,0,0,0,18,6
0,H2,Kobe Bryant,1432,8,19,0.421,1,3,0.333,7,8,0.875,4,2,6,1,2,0,1,1,24,1
0,Q1,Smush Parker,720,3,5,0.6,0,2,0.0,0,0,,0,1,1,4,0,0,0,0,6,4
0,Q2,Smush Parker,359,1,1,1.0,0,0,,2,2,1.0,0,0,0,0,1,0,0,1,4,2
0,H1,Smush Parker,1079,4,6,0.667,0,2,0.0,2,2,1.0,0,1,1,4,1,0,0,1,10,6
0,Q3,Smush Parker,720,2,3,0.667,0,1,0.0,0,0,,0,0,0,0,1,0,2,0,4,-5
0,Q4,Smush Parker,398,1,1,1.0,0,0,,0,0,,0,0,0,3,3,0,1,0,2,3
0,H2,Smush Parker,1118,3,4,0.75,0,1,0.0,0,0,,0,0,0,3,4,0,3,0,6,-2
0,Q1,Chris Mihm,720,2,3,0.667,0,0,,0,0,,1,1,2,1,0,0,0,1,4,4
0,Q2,Chris Mihm,323,2,2,1.0,0,0,,0,0,,1,3,4,1,0,0,0,2,4,2
0,H1,Chris Mihm,1043,4,5,0.8,0,0,,0,0,,2,4,6,2,0,0,0,3,8,6
0,Q3,Chris Mihm,370,0,2,0.0,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-7
0,Q4,Chris Mihm,345,0,0,,0,0,,1,2,0.5,1,1,2,0,0,0,0,0,1,6
0,H2,Chris Mihm,715,0,2,0.0,0,0,,1,2,0.5,1,1,2,1,0,0,1,1,1,-1
0,Q1,Brian Cook,720,1,1,1.0,0,0,,0,0,,0,1,1,2,1,0,1,0,2,4
0,Q2,Brian Cook,359,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,0,0,0,2,3,2
0,H1,Brian Cook,1079,2,2,1.0,1,1,1.0,0,0,,0,2,2,2,1,0,1,2,5,6
0,Q3,Brian Cook,415,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,0,0,0,1,3,-7
0,Q4,Brian Cook,
0,H2,Brian Cook,415,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,0,0,0,1,3,-7
0,Q1,Luke Walton,
0,Q2,Luke Walton,411,2,2,1.0,0,0,,0,0,,1,0,1,2,0,0,1,1,4,0
0,H1,Luke Walton,411,2,2,1.0,0,0,,0,0,,1,0,1,2,0,0,1,1,4,0
0,Q3,Luke Walton,305,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,2
0,Q4,Luke Walton,720,1,1,1.0,0,0,,1,2,0.5,0,1,1,0,0,0,1,0,3,5
0,H2,Luke Walton,1025,1,1,1.0,0,0,,1,2,0.5,0,1,1,2,0,0,1,0,3,7
0,Q1,Kwame Brown,
0,Q2,Kwame Brown,397,0,0,,0,0,,1,2,0.5,1,0,1,0,0,1,1,2,1,0
0,H1,Kwame Brown,397,0,0,,0,0,,1,2,0.5,1,0,1,0,0,1,1,2,1,0
0,Q3,Kwame Brown,350,1,1,1.0,0,0,,0,0,,1,0,1,0,0,0,0,0,2,2
0,Q4,Kwame Brown,375,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-1
0,H2,Kwame Brown,725,1,1,1.0,0,0,,0,0,,2,0,2,0,0,0,0,1,2,1
0,Q1,Sasha Vujačić,130,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,0,0,3,2
0,Q2,Sasha Vujačić,361,1,3,0.333,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0
0,H1,Sasha Vujačić,491,2,4,0.5,1,1,1.0,0,0,,0,0,0,0,0,0,0,1,5,2
0,Q3,Sasha Vujačić,
0,Q4,Sasha Vujačić,330,1,1,1.0,1,1,1.0,2,2,1.0,0,0,0,0,0,0,0,0,5,1
0,H2,Sasha Vujačić,330,1,1,1.0,1,1,1.0,2,2,1.0,0,0,0,0,0,0,0,0,5,1
0,Q1,Jim Jackson,
0,Q2,Jim Jackson,236,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,1,0,2,-2
0,H1,Jim Jackson,236,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,1,0,2,-2
0,Q3,Jim Jackson,
0,Q4,Jim Jackson,
0,H2,Jim Jackson,
0,Q1,Andrew Bynum,
0,Q2,Andrew Bynum,
0,H1,Andrew Bynum,
0,Q3,Andrew Bynum,
0,Q4,Andrew Bynum,
0,H2,Andrew Bynum,
0,Q1,Devin Green,
0,Q2,Devin Green,
0,H1,Devin Green,
0,Q3,Devin Green,
0,Q4,Devin Green,
0,H2,Devin Green,
0,Q1,Ronny Turiaf,
0,Q2,Ronny Turiaf,
0,H1,Ronny Turiaf,
0,Q3,Ronny Turiaf,
0,Q4,Ronny Turiaf,
0,H2,Ronny Turiaf,
1,Q1,David West,720,4,8,0.5,0,0,,0,0,,0,1,1,0,0,0,0,0,8,-4
1,Q2,David West,359,0,0,,0,0,,1,2,0.5,0,0,0,0,0,1,0,0,1,-2
1,H1,David West,1079,4,8,0.5,0,0,,1,2,0.5,0,1,1,0,0,1,0,0,9,-6
1,Q3,David West,720,7,10,0.7,0,0,,0,0,,1,1,2,0,0,0,1,1,14,5
1,Q4,David West,720,1,3,0.333,0,0,,0,0,,2,0,2,0,0,0,0,2,2,-5
1,H2,David West,1440,8,13,0.615,0,0,,0,0,,3,1,4,0,0,0,1,3,16,0
1,Q1,Chris Paul,720,2,5,0.4,0,0,,0,0,,1,3,4,1,0,0,1,0,4,-4
