Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Kevin Garnett,720,2,4,0.5,0,0,,0,0,,0,5,5,0,0,0,0,1,4,-1
0,Q2,Kevin Garnett,518,1,1,1.0,0,0,,0,0,,0,3,3,1,1,0,0,0,2,9
0,H1,Kevin Garnett,1238,3,5,0.6,0,0,,0,0,,0,8,8,1,1,0,0,1,6,8
0,Q3,Kevin Garnett,720,2,3,0.667,0,1,0.0,2,2,1.0,0,3,3,2,0,0,0,1,6,-3
0,Q4,Kevin Garnett,720,0,4,0.0,0,1,0.0,1,2,0.5,0,5,5,0,0,0,1,2,1,-11
0,H2,Kevin Garnett,1440,2,7,0.286,0,2,0.0,3,4,0.75,0,8,8,2,0,0,1,3,7,-14
0,Q1,Ricky Davis,720,4,6,0.667,0,1,0.0,0,0,,0,0,0,3,0,0,2,1,8,-1
0,Q2,Ricky Davis,720,4,6,0.667,0,1,0.0,2,2,1.0,1,0,1,1,1,0,0,0,10,7
0,H1,Ricky Davis,1440,8,12,0.667,0,2,0.0,2,2,1.0,1,0,1,4,1,0,2,1,18,6
0,Q3,Ricky Davis,669,1,1,1.0,0,0,,0,0,,0,0,0,2,2,0,0,1,2,-3
0,Q4,Ricky Davis,527,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,1,1,0,0,-13
0,H2,Ricky Davis,1196,1,3,0.333,0,1,0.0,0,0,,0,0,0,2,2,1,1,1,2,-16
0,Q1,Mark Blount,720,4,6,0.667,0,0,,2,2,1.0,0,1,1,0,1,1,1,1,10,-1
0,Q2,Mark Blount,464,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,0,1,2,-4
0,H1,Mark Blount,1184,5,8,0.625,0,0,,2,2,1.0,0,2,2,0,1,1,1,2,12,-5
0,Q3,Mark Blount,720,2,5,0.4,0,0,,0,0,,0,2,2,0,0,0,0,1,4,-3
0,Q4,Mark Blount,720,0,1,0.0,0,0,,2,2,1.0,1,1,2,0,0,0,1,2,2,-11
0,H2,Mark Blount,1440,2,6,0.333,0,0,,2,2,1.0,1,3,4,0,0,0,1,3,6,-14
0,Q1,Trenton Hassell,432,0,1,0.0,0,0,,1,2,0.5,0,0,0,1,0,0,0,2,1,5
0,Q2,Trenton Hassell,530,3,4,0.75,1,1,1.0,0,0,,0,2,2,0,0,0,0,1,7,3
0,H1,Trenton Hassell,962,3,5,0.6,1,1,1.0,1,2,0.5,0,2,2,1,0,0,0,3,8,8
0,Q3,Trenton Hassell,569,1,4,0.25,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0
0,Q4,Trenton Hassell,393,1,1,1.0,0,0,,1,2,0.5,0,0,0,0,0,0,1,1,3,-5
0,H2,Trenton Hassell,962,2,5,0.4,0,0,,1,2,0.5,0,0,0,0,0,0,2,1,5,-5
0,Q1,Marcus Banks,518,0,2,0.0,0,1,0.0,0,0,,1,0,1,5,1,0,0,0,0,3
0,Q2,Marcus Banks,201,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
0,H1,Marcus Banks,719,0,4,0.0,0,1,0.0,0,0,,1,0,1,5,1,0,0,0,0,2
0,Q3,Marcus Banks,520,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-2
0,Q4,Marcus Banks,
0,H2,Marcus Banks,520,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-2
0,Q1,Marko Jarić,288,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,0,0,-6
0,Q2,Marko Jarić,519,1,2,0.5,0,1,0.0,0,0,,1,0,1,1,0,0,0,1,2,8
0,H1,Marko Jarić,807,1,2,0.5,0,1,0.0,0,0,,1,0,1,1,1,0,1,1,2,2
0,Q3,Marko Jarić,200,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,2,-1
0,Q4,Marko Jarić,720,2,6,0.333,0,1,0.0,3,4,0.75,0,1,1,1,2,0,1,1,7,-11
0,H2,Marko Jarić,920,3,8,0.375,0,2,0.0,3,4,0.75,0,1,1,1,2,0,1,1,9,-12
0,Q1,Justin Reed,
0,Q2,Justin Reed,458,0,3,0.0,0,0,,2,2,1.0,1,1,2,0,0,0,0,2,2,9
0,H1,Justin Reed,458,0,3,0.0,0,0,,2,2,1.0,1,1,2,0,0,0,0,2,2,9
0,Q3,Justin Reed,151,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-3
0,Q4,Justin Reed,327,0,1,0.0,0,0,,2,2,1.0,0,0,0,0,0,0,0,1,2,-6
0,H2,Justin Reed,478,0,1,0.0,0,0,,2,2,1.0,0,0,0,0,0,0,0,2,2,-9
0,Q1,Rashad McCants,202,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,1,0,2,0,-4
0,Q2,Rashad McCants,190,2,3,0.667,1,2,0.5,1,1,1.0,0,2,2,0,0,0,0,1,6,4
0,H1,Rashad McCants,392,2,4,0.5,1,3,0.333,1,1,1.0,0,3,3,0,0,1,0,3,6,0
0,Q3,Rashad McCants,52,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,0
0,Q4,Rashad McCants,193,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2
0,H2,Rashad McCants,245,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,2
0,Q1,Anthony Carter,
0,Q2,Anthony Carter,
0,H1,Anthony Carter,
0,Q3,Anthony Carter,
0,Q4,Anthony Carter,
0,H2,Anthony Carter,
0,Q1,Eddie Griffin,
0,Q2,Eddie Griffin,
0,H1,Eddie Griffin,
0,Q3,Eddie Griffin,
0,Q4,Eddie Griffin,
0,H2,Eddie Griffin,
0,Q1,Mark Madsen,
0,Q2,Mark Madsen,
0,H1,Mark Madsen,
0,Q3,Mark Madsen,
0,Q4,Mark Madsen,
0,H2,Mark Madsen,
1,Q1,Chris Kaman,720,2,5,0.4,0,0,,6,6,1.0,0,7,7,0,2,0,1,1,10,1
1,Q2,Chris Kaman,492,1,3,0.333,0,0,,1,2,0.5,0,1,1,0,0,2,0,0,3,-1
1,H1,Chris Kaman,1212,3,8,0.375,0,0,,7,8,0.875,0,8,8,0,2,2,1,1,13,0
1,Q3,Chris Kaman,720,1,4,0.25,0,0,,1,2,0.5,2,4,6,0,2,1,0,0,3,3
1,Q4,Chris Kaman,720,3,3,1.0,0,0,,2,2,1.0,2,7,9,1,0,0,0,3,8,11
1,H2,Chris Kaman,1440,4,7,0.571,0,0,,3,4,0.75,4,11,15,1,2,1,0,3,11,14
1,Q1,Elton Brand,720,3,4,0.75,0,0,,0,0,,0,1,1,0,0,0,0,1,6,1
1,Q2,Elton Brand,429,0,2,0.0,0,0,,0,0,,2,3,5,1,0,0,0,0,0,-5
1,H1,Elton Brand,1149,3,6,0.5,0,0,,0,0,,2,4,6,1,0,0,0,1,6,-4
