Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Leandro Barbosa,720,0,4,0.0,0,1,0.0,2,2,1.0,0,0,0,3,0,0,1,1,2,-3
0,Q2,Leandro Barbosa,415,0,0,,0,0,,0,0,,0,0,0,2,0,0,3,0,0,-8
0,H1,Leandro Barbosa,1135,0,4,0.0,0,1,0.0,2,2,1.0,0,0,0,5,0,0,4,1,2,-11
0,Q3,Leandro Barbosa,720,3,4,0.75,0,1,0.0,5,5,1.0,0,1,1,4,0,0,2,2,11,16
0,Q4,Leandro Barbosa,720,1,5,0.2,0,0,,0,0,,0,0,0,2,0,1,1,2,2,-11
0,H2,Leandro Barbosa,1440,4,9,0.444,0,1,0.0,5,5,1.0,0,1,1,6,0,1,3,4,13,5
0,Q1,Shawn Marion,720,4,9,0.444,1,3,0.333,3,3,1.0,1,1,2,0,0,1,1,1,12,-3
0,Q2,Shawn Marion,415,1,3,0.333,0,0,,0,0,,0,0,0,0,1,1,0,0,2,-8
0,H1,Shawn Marion,1135,5,12,0.417,1,3,0.333,3,3,1.0,1,1,2,0,1,2,1,1,14,-11
0,Q3,Shawn Marion,552,1,2,0.5,0,1,0.0,4,4,1.0,0,1,1,0,0,1,0,1,6,8
0,Q4,Shawn Marion,514,2,2,1.0,0,0,,2,2,1.0,0,1,1,0,0,0,0,0,6,-11
0,H2,Shawn Marion,1066,3,4,0.75,0,1,0.0,6,6,1.0,0,2,2,0,0,1,0,1,12,-3
0,Q1,Raja Bell,489,0,2,0.0,0,1,0.0,1,2,0.5,0,0,0,0,0,0,0,0,1,-2
0,Q2,Raja Bell,588,3,4,0.75,1,1,1.0,2,3,0.667,0,1,1,1,0,0,1,4,9,-1
0,H1,Raja Bell,1077,3,6,0.5,1,2,0.5,3,5,0.6,0,1,1,1,0,0,1,4,10,-3
0,Q3,Raja Bell,720,2,2,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,0,0,5,16
0,Q4,Raja Bell,339,1,2,0.5,0,0,,3,3,1.0,0,0,0,0,0,0,1,2,5,-4
0,H2,Raja Bell,1059,3,4,0.75,1,1,1.0,3,3,1.0,0,0,0,0,0,0,1,2,10,12
0,Q1,Amar'e Stoudemire,489,2,3,0.667,0,0,,1,2,0.5,2,3,5,0,0,0,2,1,5,-2
0,Q2,Amar'e Stoudemire,720,2,4,0.5,0,0,,4,5,0.8,0,2,2,0,0,0,1,1,8,-2
0,H1,Amar'e Stoudemire,1209,4,7,0.571,0,0,,5,7,0.714,2,5,7,0,0,0,3,2,13,-4
0,Q3,Amar'e Stoudemire,438,2,3,0.667,0,0,,0,0,,1,1,2,0,0,1,0,1,4,8
0,Q4,Amar'e Stoudemire,466,1,1,1.0,0,0,,0,0,,1,2,3,0,0,0,1,3,2,-8
0,H2,Amar'e Stoudemire,904,3,4,0.75,0,0,,0,0,,2,3,5,0,0,1,1,4,6,0
0,Q1,Boris Diaw,416,0,0,,0,0,,0,0,,1,0,1,1,1,0,0,3,0,0
0,Q2,Boris Diaw,
0,H1,Boris Diaw,416,0,0,,0,0,,0,0,,1,0,1,1,1,0,0,3,0,0
0,Q3,Boris Diaw,424,1,2,0.5,0,0,,0,0,,0,0,0,1,0,0,0,2,2,12
0,Q4,Boris Diaw,236,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,0,0,-4
0,H2,Boris Diaw,660,1,2,0.5,0,0,,0,0,,0,0,0,1,0,0,2,2,2,8
0,Q1,Kurt Thomas,351,1,1,1.0,0,0,,0,0,,0,2,2,0,0,0,1,0,2,-5
