Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Dahntay Jones,646,0,1,0.0,0,0,,0,0,,0,0,0,0,0,1,0,0,0,-5
0,Q2,Dahntay Jones,618,1,4,0.25,0,0,,2,2,1.0,0,0,0,1,0,0,2,0,4,16
0,H1,Dahntay Jones,1264,1,5,0.2,0,0,,2,2,1.0,0,0,0,1,0,1,2,0,4,11
0,Q3,Dahntay Jones,665,4,4,1.0,0,0,,0,0,,0,0,0,0,0,0,1,0,8,8
0,Q4,Dahntay Jones,611,2,3,0.667,0,0,,2,2,1.0,1,1,2,0,1,0,0,2,6,-8
0,H2,Dahntay Jones,1276,6,7,0.857,0,0,,2,2,1.0,1,1,2,0,1,0,1,2,14,0
0,Q1,Mike Miller,720,0,4,0.0,0,2,0.0,2,2,1.0,0,1,1,1,0,0,0,0,2,-9
0,Q2,Mike Miller,527,1,4,0.25,0,0,,0,0,,1,2,3,3,0,1,0,1,2,6
0,H1,Mike Miller,1247,1,8,0.125,0,2,0.0,2,2,1.0,1,3,4,4,0,1,0,1,4,-3
0,Q3,Mike Miller,720,2,2,1.0,1,1,1.0,0,0,,0,2,2,3,0,0,0,1,5,6
0,Q4,Mike Miller,546,1,3,0.333,1,2,0.5,0,0,,0,1,1,1,1,0,0,1,3,-9
0,H2,Mike Miller,1266,3,5,0.6,2,3,0.667,0,0,,0,3,3,4,1,0,0,2,8,-3
0,Q1,Chucky Atkins,537,1,3,0.333,0,0,,2,2,1.0,0,0,0,0,0,0,0,0,4,-6
0,Q2,Chucky Atkins,608,2,4,0.5,1,2,0.5,5,5,1.0,0,1,1,1,1,0,0,1,10,16
0,H1,Chucky Atkins,1145,3,7,0.429,1,2,0.5,7,7,1.0,0,1,1,1,1,0,0,1,14,10
0,Q3,Chucky Atkins,697,0,2,0.0,0,1,0.0,3,4,0.75,0,1,1,4,2,0,0,1,3,8
0,Q4,Chucky Atkins,533,1,3,0.333,0,0,,0,0,,0,0,0,1,0,0,2,0,2,-9
0,H2,Chucky Atkins,1230,1,5,0.2,0,1,0.0,3,4,0.75,0,1,1,5,2,0,2,1,5,-1
0,Q1,Hakim Warrick,537,2,5,0.4,0,0,,0,0,,0,0,0,0,0,0,1,1,4,-6
0,Q2,Hakim Warrick,618,1,2,0.5,0,0,,0,0,,1,1,2,0,1,0,0,0,2,16
0,H1,Hakim Warrick,1155,3,7,0.429,0,0,,0,0,,1,1,2,0,1,0,1,1,6,10
0,Q3,Hakim Warrick,720,2,6,0.333,0,1,0.0,2,2,1.0,0,0,0,0,1,0,0,0,6,6
0,Q4,Hakim Warrick,187,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,3
0,H2,Hakim Warrick,907,2,6,0.333,0,1,0.0,2,2,1.0,0,1,1,0,1,0,0,0,6,9
0,Q1,Stromile Swift,73,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,0
0,Q2,Stromile Swift,202,1,2,0.5,0,0,,0,0,,0,1,1,0,0,1,0,1,2,3
0,H1,Stromile Swift,275,1,2,0.5,0,0,,0,0,,0,1,1,0,0,1,0,3,2,3
0,Q3,Stromile Swift,533,1,2,0.5,0,0,,2,2,1.0,0,1,1,0,0,1,0,0,4,6
0,Q4,Stromile Swift,
0,H2,Stromile Swift,533,1,2,0.5,0,0,,2,2,1.0,0,1,1,0,0,1,0,0,4,6
0,Q1,Lawrence Roberts,418,0,1,0.0,0,0,,3,4,0.75,0,0,0,0,0,0,0,0,3,-4
0,Q2,Lawrence Roberts,518,2,2,1.0,0,0,,3,3,1.0,2,2,4,0,2,0,0,1,7,8
0,H1,Lawrence Roberts,936,2,3,0.667,0,0,,6,7,0.857,2,2,4,0,2,0,0,1,10,4
0,Q3,Lawrence Roberts,187,0,0,,0,0,,2,2,1.0,0,0,0,0,0,0,0,0,2,0
0,Q4,Lawrence Roberts,530,0,0,,0,0,,6,6,1.0,2,1,3,0,0,0,0,1,6,6
0,H2,Lawrence Roberts,717,0,0,,0,0,,8,8,1.0,2,1,3,0,0,0,0,1,8,6
0,Q1,Rudy Gay,183,0,1,0.0,0,0,,2,2,1.0,1,0,1,0,0,0,1,1,2,-3
0,Q2,Rudy Gay,295,0,2,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
0,H1,Rudy Gay,478,0,3,0.0,0,0,,2,2,1.0,1,1,2,0,0,0,1,1,2,-3
0,Q3,Rudy Gay,55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
0,Q4,Rudy Gay,720,3,5,0.6,0,0,,0,0,,0,3,3,1,1,0,0,1,6,-6
0,H2,Rudy Gay,775,3,5,0.6,0,0,,0,0,,0,3,3,1,1,0,0,1,6,-8
0,Q1,Damon Stoudamire,183,1,1,1.0,0,0,,0,0,,1,0,1,0,0,0,1,1,2,-3
0,Q2,Damon Stoudamire,112,0,0,,0,0,,0,1,0.0,0,0,0,0,0,0,0,0,0,-5
0,H1,Damon Stoudamire,295,1,1,1.0,0,0,,0,1,0.0,1,0,1,0,0,0,1,1,2,-8
0,Q3,Damon Stoudamire,23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
0,Q4,Damon Stoudamire,473,0,2,0.0,0,0,,1,1,1.0,0,0,0,1,0,0,3,2,1,-7
0,H2,Damon Stoudamire,496,0,2,0.0,0,0,,1,1,1.0,0,0,0,1,0,0,3,3,1,-9
0,Q1,Jake Tsakalidis,229,0,0,,0,0,,2,2,1.0,0,1,1,0,0,0,0,2,2,-5
0,Q2,Jake Tsakalidis,
0,H1,Jake Tsakalidis,229,0,0,,0,0,,2,2,1.0,0,1,1,0,0,0,0,2,2,-5
0,Q3,Jake Tsakalidis,
0,Q4,Jake Tsakalidis,
0,H2,Jake Tsakalidis,
0,Q1,Brian Cardinal,74,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
0,Q2,Brian Cardinal,102,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-5
0,H1,Brian Cardinal,176,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-9
0,Q3,Brian Cardinal,
0,Q4,Brian Cardinal,
0,H2,Brian Cardinal,
0,Q1,Alexander Johnson,
0,Q2,Alexander Johnson,
0,H1,Alexander Johnson,
0,Q3,Alexander Johnson,
0,Q4,Alexander Johnson,
0,H2,Alexander Johnson,
0,Q1,Tarence Kinsey,
0,Q2,Tarence Kinsey,
0,H1,Tarence Kinsey,
0,Q3,Tarence Kinsey,
0,Q4,Tarence Kinsey,
0,H2,Tarence Kinsey,
1,Q1,Paul Pierce,626,3,6,0.5,1,2,0.5,2,2,1.0,0,2,2,1,0,0,2,1,9,5
1,Q2,Paul Pierce,477,1,4,0.25,0,2,0.0,2,2,1.0,0,1,1,0,0,0,2,1,4,-13
1,H1,Paul Pierce,1103,4,10,0.4,1,4,0.25,4,4,1.0,0,3,3,1,0,0,4,2,13,-8
1,Q3,Paul Pierce,665,1,2,0.5,0,0,,3,3,1.0,0,0,0,3,0,0,4,1,5,-8
1,Q4,Paul Pierce,607,2,5,0.4,1,1,1.0,2,2,1.0,0,0,0,0,0,0,1,1,7,10
1,H2,Paul Pierce,1272,3,7,0.429,1,1,1.0,5,5,1.0,0,0,0,3,0,0,5,2,12,2
1,Q1,Al Jefferson,537,1,3,0.333,0,0,,3,4,0.75,1,3,4,0,0,1,0,2,5,6
1,Q2,Al Jefferson,425,1,1,1.0,0,0,,2,2,1.0,2,2,4,0,0,0,0,0,4,-11
1,H1,Al Jefferson,962,2,4,0.5,0,0,,5,6,0.833,3,5,8,0,0,1,0,2,9,-5
1,Q3,Al Jefferson,665,0,0,,0,0,,0,0,,1,2,3,0,0,1,1,2,0,-8
1,Q4,Al Jefferson,371,0,1,0.0,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-2
1,H2,Al Jefferson,1036,0,1,0.0,0,0,,0,0,,2,2,4,0,0,1,1,3,0,-10
1,Q1,Sebastian Telfair,593,1,2,0.5,0,1,0.0,1,2,0.5,0,0,0,0,1,0,0,1,3,5
1,Q2,Sebastian Telfair,366,0,3,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-9
1,H1,Sebastian Telfair,959,1,5,0.2,0,2,0.0,1,2,0.5,0,0,0,0,1,0,0,1,3,-4
1,Q3,Sebastian Telfair,356,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-4
1,Q4,Sebastian Telfair,190,0,1,0.0,0,1,0.0,2,2,1.0,0,0,0,2,1,0,0,0,2,12
1,H2,Sebastian Telfair,546,0,2,0.0,0,1,0.0,2,2,1.0,0,1,1,2,1,0,1,1,2,8
1,Q1,Ryan Gomes,203,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,1
1,Q2,Ryan Gomes,55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1
1,H1,Ryan Gomes,258,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,3,0,0
1,Q3,Ryan Gomes,720,6,6,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,12,-6
1,Q4,Ryan Gomes,428,0,2,0.0,0,0,,0,0,,0,1,1,2,0,0,0,1,0,-5
1,H2,Ryan Gomes,1148,6,8,0.75,0,0,,0,0,,0,1,1,2,0,0,0,1,12,-11
1,Q1,Tony Allen,537,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,1,0,6
1,Q2,Tony Allen,353,0,3,0.0,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-9
1,H1,Tony Allen,890,0,3,0.0,0,0,,0,0,,1,0,1,0,0,0,2,1,0,-3
1,Q3,Tony Allen,246,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,0
1,Q4,Tony Allen,4,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
1,H2,Tony Allen,250,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-2
1,Q1,Delonte West,183,1,2,0.5,0,0,,0,0,,0,0,0,0,0,1,0,1,2,3
1,Q2,Delonte West,367,0,3,0.0,0,1,0.0,0,0,,0,0,0,0,1,0,2,0,0,-2
1,H1,Delonte West,550,1,5,0.2,0,1,0.0,0,0,,0,0,0,0,1,1,2,1,2,1
1,Q3,Delonte West,364,2,3,0.667,1,1,1.0,0,0,,0,1,1,4,0,0,0,0,5,-2
1,Q4,Delonte West,720,2,4,0.5,0,1,0.0,1,1,1.0,0,1,1,3,0,0,1,0,5,6
1,H2,Delonte West,1084,4,7,0.571,1,2,0.5,1,1,1.0,0,2,2,7,0,0,1,0,10,4
1,Q1,Gerald Green,94,0,0,,0,0,,2,2,1.0,0,0,0,0,0,0,1,0,2,4
1,Q2,Gerald Green,256,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,1,0,3,2
1,H1,Gerald Green,350,1,1,1.0,1,1,1.0,2,2,1.0,0,0,0,0,0,0,2,0,5,6
1,Q3,Gerald Green,474,0,2,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,1,2,0,-6
1,Q4,Gerald Green,720,6,7,0.857,2,3,0.667,2,2,1.0,0,1,1,0,0,1,0,0,16,6
1,H2,Gerald Green,1194,6,9,0.667,2,4,0.5,2,2,1.0,0,1,1,1,0,1,1,2,16,0
1,Q1,Brian Scalabrine,517,3,3,1.0,1,1,1.0,0,0,,2,3,5,1,0,0,0,0,7,8
1,Q2,Brian Scalabrine,652,1,2,0.5,1,2,0.5,0,0,,0,3,3,0,0,0,0,3,3,-10
1,H1,Brian Scalabrine,1169,4,5,0.8,2,3,0.667,0,0,,2,6,8,1,0,0,0,3,10,-2
1,Q3,Brian Scalabrine,55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,2
1,Q4,Brian Scalabrine,109,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-2
1,H2,Brian Scalabrine,164,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,3,0,0
1,Q1,Rajon Rondo,127,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,0,0,4
1,Q2,Rajon Rondo,354,0,1,0.0,0,0,,0,0,,0,1,1,2,1,0,0,1,0,-2
1,H1,Rajon Rondo,481,0,1,0.0,0,0,,0,0,,0,1,1,3,2,0,0,1,0,2
1,Q3,Rajon Rondo,55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2
