Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Gilbert Arenas,720,2,2,1.0,1,1,1.0,6,8,0.75,0,1,1,4,1,0,2,0,11,11
0,Q2,Gilbert Arenas,544,2,2,1.0,1,1,1.0,2,2,1.0,0,2,2,1,0,0,2,1,7,2
0,H1,Gilbert Arenas,1264,4,4,1.0,2,2,1.0,8,10,0.8,0,3,3,5,1,0,4,1,18,13
0,Q3,Gilbert Arenas,720,3,7,0.429,1,1,1.0,4,4,1.0,0,2,2,1,0,0,1,2,11,-11
0,Q4,Gilbert Arenas,720,3,8,0.375,2,4,0.5,2,2,1.0,0,1,1,2,0,0,1,1,10,8
0,H2,Gilbert Arenas,1440,6,15,0.4,3,5,0.6,6,6,1.0,0,3,3,3,0,0,2,3,21,-3
0,Q1,Caron Butler,720,5,6,0.833,0,0,,1,1,1.0,0,1,1,0,0,0,1,1,11,11
0,Q2,Caron Butler,631,1,2,0.5,0,1,0.0,1,2,0.5,1,1,2,2,1,0,3,1,3,-2
0,H1,Caron Butler,1351,6,8,0.75,0,1,0.0,2,3,0.667,1,2,3,2,1,0,4,2,14,9
0,Q3,Caron Butler,623,2,2,1.0,0,0,,0,0,,0,2,2,0,0,0,0,1,4,-9
0,Q4,Caron Butler,720,2,4,0.5,0,0,,3,4,0.75,0,1,1,0,0,0,0,1,7,8
0,H2,Caron Butler,1343,4,6,0.667,0,0,,3,4,0.75,0,3,3,0,0,0,0,2,11,-1
0,Q1,Antawn Jamison,668,4,6,0.667,1,1,1.0,0,1,0.0,1,3,4,0,0,0,0,1,9,10
0,Q2,Antawn Jamison,417,0,3,0.0,0,2,0.0,4,5,0.8,0,2,2,1,0,0,0,1,4,3
0,H1,Antawn Jamison,1085,4,9,0.444,1,3,0.333,4,6,0.667,1,5,6,1,0,0,0,2,13,13
0,Q3,Antawn Jamison,641,0,2,0.0,0,2,0.0,0,0,,0,3,3,0,0,0,1,1,0,-11
0,Q4,Antawn Jamison,529,1,3,0.333,0,0,,2,3,0.667,1,1,2,1,1,1,0,0,4,5
0,H2,Antawn Jamison,1170,1,5,0.2,0,2,0.0,2,3,0.667,1,4,5,1,1,1,1,1,4,-6
0,Q1,DeShawn Stevenson,668,1,1,1.0,0,0,,0,0,,0,1,1,2,0,0,1,0,2,10
0,Q2,DeShawn Stevenson,429,1,3,0.333,0,1,0.0,2,4,0.5,0,0,0,0,0,0,0,0,4,1
0,H1,DeShawn Stevenson,1097,2,4,0.5,0,1,0.0,2,4,0.5,0,1,1,2,0,0,1,0,6,11
0,Q3,DeShawn Stevenson,720,0,4,0.0,0,1,0.0,1,2,0.5,0,1,1,0,0,0,1,1,1,-11
0,Q4,DeShawn Stevenson,134,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
0,H2,DeShawn Stevenson,854,0,5,0.0,0,1,0.0,1,2,0.5,0,1,1,0,0,0,1,1,1,-14
0,Q1,Brendan Haywood,631,3,3,1.0,0,0,,0,0,,0,1,1,1,0,0,0,1,6,11
0,Q2,Brendan Haywood,123,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,0,2,2,1
0,H1,Brendan Haywood,754,4,4,1.0,0,0,,0,0,,0,2,2,1,0,0,0,3,8,12
0,Q3,Brendan Haywood,373,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,1,2,0,1
0,Q4,Brendan Haywood,406,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,6
0,H2,Brendan Haywood,779,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,1,2,0,7
0,Q1,Jarvis Hayes,53,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1
0,Q2,Jarvis Hayes,720,2,2,1.0,0,0,,0,0,,0,0,0,0,1,0,1,2,4,-1
0,H1,Jarvis Hayes,773,2,2,1.0,0,0,,0,0,,0,0,0,0,2,0,1,2,4,0
0,Q3,Jarvis Hayes,342,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-11
0,Q4,Jarvis Hayes,191,1,1,1.0,1,1,1.0,2,2,1.0,0,1,1,0,0,0,0,0,5,3
0,H2,Jarvis Hayes,533,1,2,0.5,1,1,1.0,2,2,1.0,0,1,1,0,0,0,1,0,5,-8
0,Q1,Antonio Daniels,53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1
0,Q2,Antonio Daniels,299,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-2
0,H1,Antonio Daniels,352,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-1
0,Q3,Antonio Daniels,
0,Q4,Antonio Daniels,610,1,1,1.0,0,0,,4,4,1.0,0,2,2,1,0,0,1,0,6,12
0,H2,Antonio Daniels,610,1,1,1.0,0,0,,4,4,1.0,0,2,2,1,0,0,1,0,6,12
0,Q1,Calvin Booth,89,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
0,Q2,Calvin Booth,261,1,1,1.0,0,0,,1,2,0.5,0,0,0,0,0,0,0,2,3,-4
0,H1,Calvin Booth,350,1,1,1.0,0,0,,1,2,0.5,0,0,0,0,0,0,0,2,3,-4
0,Q3,Calvin Booth,
0,Q4,Calvin Booth,
0,H2,Calvin Booth,
0,Q1,Andray Blatche,
0,Q2,Andray Blatche,
0,H1,Andray Blatche,
0,Q3,Andray Blatche,31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
0,Q4,Andray Blatche,290,0,1,0.0,0,0,,0,2,0.0,1,3,4,0,0,0,0,1,0,1
0,H2,Andray Blatche,321,0,1,0.0,0,0,,0,2,0.0,1,3,4,0,0,0,0,1,0,-1
0,Q1,Roger Mason,
0,Q2,Roger Mason,176,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-3
0,H1,Roger Mason,176,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-3
0,Q3,Roger Mason,
0,Q4,Roger Mason,
0,H2,Roger Mason,
0,Q1,James Lang,
0,Q2,James Lang,
0,H1,James Lang,
0,Q3,James Lang,150,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1
0,Q4,James Lang,
0,H2,James Lang,150,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1
0,Q1,Donell Taylor,
0,Q2,Donell Taylor,
0,H1,Donell Taylor,
