Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Andre Iguodala,712,4,6,0.667,0,2,0.0,0,0,,1,1,2,2,0,0,1,1,8,-8
0,Q2,Andre Iguodala,556,1,3,0.333,0,1,0.0,0,0,,0,0,0,1,1,0,1,0,2,-11
0,H1,Andre Iguodala,1268,5,9,0.556,0,3,0.0,0,0,,1,1,2,3,1,0,2,1,10,-19
0,Q3,Andre Iguodala,720,2,3,0.667,0,0,,5,5,1.0,0,0,0,1,1,0,1,0,9,-14
0,Q4,Andre Iguodala,
0,H2,Andre Iguodala,720,2,3,0.667,0,0,,5,5,1.0,0,0,0,1,1,0,1,0,9,-14
0,Q1,Samuel Dalembert,720,4,6,0.667,0,0,,0,0,,1,1,2,1,0,0,0,0,8,-8
0,Q2,Samuel Dalembert,525,1,4,0.25,0,0,,1,2,0.5,4,4,8,0,0,0,0,0,3,-7
0,H1,Samuel Dalembert,1245,5,10,0.5,0,0,,1,2,0.5,5,5,10,1,0,0,0,0,11,-15
0,Q3,Samuel Dalembert,506,1,5,0.2,0,0,,0,0,,1,0,1,0,0,0,0,1,2,-9
0,Q4,Samuel Dalembert,
0,H2,Samuel Dalembert,506,1,5,0.2,0,0,,0,0,,1,0,1,0,0,0,0,1,2,-9
0,Q1,Andre Miller,617,2,4,0.5,0,0,,0,0,,0,0,0,1,0,0,0,0,4,-6
0,Q2,Andre Miller,556,1,4,0.25,0,0,,0,0,,0,0,0,1,0,0,0,0,2,-11
0,H1,Andre Miller,1173,3,8,0.375,0,0,,0,0,,0,0,0,2,0,0,0,0,6,-17
0,Q3,Andre Miller,506,0,1,0.0,0,0,,0,0,,0,1,1,0,1,0,2,1,0,-9
0,Q4,Andre Miller,
0,H2,Andre Miller,506,0,1,0.0,0,0,,0,0,,0,1,1,0,1,0,2,1,0,-9
0,Q1,Rodney Carney,505,0,2,0.0,0,0,,1,2,0.5,0,1,1,0,0,0,0,0,1,-4
0,Q2,Rodney Carney,114,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1
0,H1,Rodney Carney,619,0,2,0.0,0,0,,1,2,0.5,0,1,1,0,0,0,0,0,1,-3
0,Q3,Rodney Carney,276,1,3,0.333,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-3
0,Q4,Rodney Carney,654,4,5,0.8,0,0,,0,1,0.0,1,1,2,0,0,1,0,1,8,15
0,H2,Rodney Carney,930,5,8,0.625,0,0,,0,1,0.0,1,1,2,0,0,1,0,2,10,12
0,Q1,Steven Hunter,366,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,2,0,-1
0,Q2,Steven Hunter,213,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-6
0,H1,Steven Hunter,579,0,0,,0,0,,0,0,,0,2,2,0,0,1,1,3,0,-7
0,Q3,Steven Hunter,506,0,4,0.0,0,0,,0,0,,2,2,4,1,0,0,0,0,0,-9
0,Q4,Steven Hunter,
0,H2,Steven Hunter,506,0,4,0.0,0,0,,0,0,,2,2,4,1,0,0,0,0,0,-9
0,Q1,Kyle Korver,215,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,2,1,0,-4
0,Q2,Kyle Korver,388,0,2,0.0,0,0,,2,2,1.0,0,0,0,0,0,0,1,0,2,-8
0,H1,Kyle Korver,603,0,3,0.0,0,0,,2,2,1.0,0,1,1,0,0,0,3,1,2,-12
0,Q3,Kyle Korver,444,2,5,0.4,0,2,0.0,0,0,,1,0,1,1,0,0,1,0,4,-11
0,Q4,Kyle Korver,720,4,5,0.8,2,2,1.0,0,0,,0,2,2,0,1,0,0,0,10,17
0,H2,Kyle Korver,1164,6,10,0.6,2,4,0.5,0,0,,1,2,3,1,1,0,1,0,14,6
0,Q1,Joe Smith,354,0,1,0.0,0,0,,0,0,,0,0,0,0,1,0,0,1,0,-7
0,Q2,Joe Smith,393,0,2,0.0,0,0,,0,0,,1,0,1,0,0,0,2,1,0,-11
0,H1,Joe Smith,747,0,3,0.0,0,0,,0,0,,1,0,1,0,1,0,2,2,0,-18
0,Q3,Joe Smith,214,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,1,0,-5
0,Q4,Joe Smith,720,0,3,0.0,0,0,,2,2,1.0,0,5,5,0,0,1,0,0,2,17
0,H2,Joe Smith,934,0,3,0.0,0,0,,2,2,1.0,1,6,7,0,0,1,0,1,2,12
0,Q1,Lou Williams,103,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-2
0,Q2,Lou Williams,164,1,1,1.0,0,0,,0,1,0.0,0,1,1,0,0,0,0,0,2,-5
0,H1,Lou Williams,267,1,1,1.0,0,0,,0,1,0.0,0,1,1,1,0,0,0,0,2,-7
0,Q3,Lou Williams,214,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-5
0,Q4,Lou Williams,720,4,5,0.8,0,1,0.0,1,1,1.0,0,1,1,3,1,0,1,1,9,17
0,H2,Lou Williams,934,4,5,0.8,0,1,0.0,1,1,1.0,0,1,1,3,1,0,2,1,9,12
0,Q1,Bobby Jones,8,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
0,Q2,Bobby Jones,
0,H1,Bobby Jones,8,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
0,Q3,Bobby Jones,
0,Q4,Bobby Jones,720,0,4,0.0,0,1,0.0,2,2,1.0,0,2,2,3,0,0,0,1,2,17
0,H2,Bobby Jones,720,0,4,0.0,0,1,0.0,2,2,1.0,0,2,2,3,0,0,0,1,2,17
0,Q1,Willie Green,
0,Q2,Willie Green,496,1,6,0.167,0,2,0.0,0,0,,0,0,0,0,0,0,0,0,2,-13
0,H1,Willie Green,496,1,6,0.167,0,2,0.0,0,0,,0,0,0,0,0,0,0,0,2,-13
0,Q3,Willie Green,
0,Q4,Willie Green,
0,H2,Willie Green,
0,Q1,Alan Henderson,
0,Q2,Alan Henderson,195,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-9
0,H1,Alan Henderson,195,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-9
0,Q3,Alan Henderson,214,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-5
0,Q4,Alan Henderson,66,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,1,2,2
0,H2,Alan Henderson,280,1,2,0.5,0,0,,0,0,,0,0,0,1,0,0,0,1,2,-3
0,Q1,Kevin Ollie,
0,Q2,Kevin Ollie,
0,H1,Kevin Ollie,
0,Q3,Kevin Ollie,
0,Q4,Kevin Ollie,
0,H2,Kevin Ollie,
1,Q1,Rafer Alston,720,3,6,0.5,2,5,0.4,0,0,,0,0,0,5,0,0,2,0,8,8
1,Q2,Rafer Alston,569,1,2,0.5,0,1,0.0,0,0,,0,0,0,2,0,0,0,1,2,10
1,H1,Rafer Alston,1289,4,8,0.5,2,6,0.333,0,0,,0,0,0,7,0,0,2,1,10,18
1,Q3,Rafer Alston,720,1,2,0.5,0,1,0.0,0,0,,0,0,0,2,3,0,4,1,2,14
1,Q4,Rafer Alston,
1,H2,Rafer Alston,720,1,2,0.5,0,1,0.0,0,0,,0,0,0,2,3,0,4,1,2,14
1,Q1,Juwan Howard,720,5,8,0.625,0,0,,0,0,,0,1,1,1,0,0,0,0,10,8
1,Q2,Juwan Howard,382,1,1,1.0,0,0,,0,0,,1,2,3,2,0,1,0,0,2,12
1,H1,Juwan Howard,1102,6,9,0.667,0,0,,0,0,,1,3,4,3,0,1,0,0,12,20
1,Q3,Juwan Howard,720,4,6,0.667,0,0,,0,0,,1,5,6,3,0,0,0,2,8,14
1,Q4,Juwan Howard,
1,H2,Juwan Howard,720,4,6,0.667,0,0,,0,0,,1,5,6,3,0,0,0,2,8,14
1,Q1,Tracy McGrady,720,2,4,0.5,0,2,0.0,3,3,1.0,0,1,1,3,0,0,1,1,7,8
1,Q2,Tracy McGrady,340,1,2,0.5,1,2,0.5,0,0,,0,1,1,1,0,0,1,0,3,4
1,H1,Tracy McGrady,1060,3,6,0.5,1,4,0.25,3,3,1.0,0,2,2,4,0,0,2,1,10,12
1,Q3,Tracy McGrady,720,5,8,0.625,1,2,0.5,4,4,1.0,0,2,2,1,2,0,0,0,15,14
1,Q4,Tracy McGrady,
1,H2,Tracy McGrady,720,5,8,0.625,1,2,0.5,4,4,1.0,0,2,2,1,2,0,0,0,15,14
1,Q1,Dikembe Mutombo,720,1,1,1.0,0,0,,0,0,,2,5,7,0,0,0,1,1,2,8
1,Q2,Dikembe Mutombo,
1,H1,Dikembe Mutombo,720,1,1,1.0,0,0,,0,0,,2,5,7,0,0,0,1,1,2,8
1,Q3,Dikembe Mutombo,720,0,0,,0,0,,2,2,1.0,1,1,2,0,0,2,0,1,2,14
1,Q4,Dikembe Mutombo,
1,H2,Dikembe Mutombo,720,0,0,,0,0,,2,2,1.0,1,1,2,0,0,2,0,1,2,14
1,Q1,Shane Battier,505,1,1,1.0,0,0,,0,0,,0,1,1,1,0,0,0,0,2,4
1,Q2,Shane Battier,340,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,0,0,0,0,3,4
1,H1,Shane Battier,845,2,3,0.667,1,2,0.5,0,0,,0,1,1,1,0,0,0,0,5,8
1,Q3,Shane Battier,506,2,3,0.667,0,0,,0,0,,1,3,4,0,0,1,0,0,4,9
1,Q4,Shane Battier,
1,H2,Shane Battier,506,2,3,0.667,0,0,,0,0,,1,3,4,0,0,1,0,0,4,9
1,Q1,Chuck Hayes,
1,Q2,Chuck Hayes,718,1,1,1.0,0,0,,2,2,1.0,0,2,2,1,0,1,1,2,4,16
1,H1,Chuck Hayes,718,1,1,1.0,0,0,,2,2,1.0,0,2,2,1,0,1,1,2,4,16
1,Q3,Chuck Hayes,
1,Q4,Chuck Hayes,720,1,1,1.0,0,0,,1,1,1.0,2,5,7,0,0,0,0,3,3,-17
1,H2,Chuck Hayes,720,1,1,1.0,0,0,,1,1,1.0,2,5,7,0,0,0,0,3,3,-17
1,Q1,Luther Head,215,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,4
1,Q2,Luther Head,533,4,8,0.5,3,5,0.6,0,0,,0,1,1,1,1,0,1,1,11,18
1,H1,Luther Head,748,4,8,0.5,3,5,0.6,0,0,,0,1,1,2,1,0,1,1,11,22
1,Q3,Luther Head,214,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,0,0,0,5
1,Q4,Luther Head,395,0,2,0.0,0,2,0.0,0,0,,0,0,0,1,0,0,1,0,0,-11
1,H2,Luther Head,609,0,3,0.0,0,3,0.0,0,0,,0,0,0,2,0,0,1,0,0,-6
1,Q1,Bonzi Wells,
1,Q2,Bonzi Wells,718,2,4,0.5,0,0,,0,0,,0,4,4,1,0,1,0,1,4,16
1,H1,Bonzi Wells,718,2,4,0.5,0,0,,0,0,,0,4,4,1,0,1,0,1,4,16
1,Q3,Bonzi Wells,
1,Q4,Bonzi Wells,515,0,2,0.0,0,0,,1,2,0.5,0,1,1,0,0,0,2,0,1,-14
1,H2,Bonzi Wells,515,0,2,0.0,0,0,,1,2,0.5,0,1,1,0,0,0,2,0,1,-14
1,Q1,Steve Novak,
1,Q2,Steve Novak,
1,H1,Steve Novak,
1,Q3,Steve Novak,
1,Q4,Steve Novak,720,2,4,0.5,2,4,0.5,0,0,,0,2,2,1,0,0,0,2,6,-17
1,H2,Steve Novak,720,2,4,0.5,2,4,0.5,0,0,,0,2,2,1,0,0,0,2,6,-17
1,Q1,John Lucas III,
1,Q2,John Lucas III,
1,H1,John Lucas III,
1,Q3,John Lucas III,
1,Q4,John Lucas III,720,1,7,0.143,1,4,0.25,1,2,0.5,0,0,0,2,1,0,1,3,4,-17
1,H2,John Lucas III,720,1,7,0.143,1,4,0.25,1,2,0.5,0,0,0,2,1,0,1,3,4,-17
1,Q1,Vassilis Spanoulis,
1,Q2,Vassilis Spanoulis,
1,H1,Vassilis Spanoulis,
1,Q3,Vassilis Spanoulis,
1,Q4,Vassilis Spanoulis,325,1,3,0.333,0,2,0.0,0,0,,1,1,2,0,0,0,2,0,2,-6
1,H2,Vassilis Spanoulis,325,1,3,0.333,0,2,0.0,0,0,,1,1,2,0,0,0,2,0,2,-6
1,Q1,Scott Padgett,
1,Q2,Scott Padgett,
1,H1,Scott Padgett,
1,Q3,Scott Padgett,
1,Q4,Scott Padgett,205,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-3
1,H2,Scott Padgett,205,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-3
