Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Ronald Murray,651,2,4,0.5,1,1,1.0,0,0,,0,0,0,2,1,0,2,0,5,-1
0,Q2,Ronald Murray,309,0,3,0.0,0,1,0.0,0,0,,1,0,1,0,0,0,0,0,0,-5
0,H1,Ronald Murray,960,2,7,0.286,1,2,0.5,0,0,,1,0,1,2,1,0,2,0,5,-6
0,Q3,Ronald Murray,720,2,3,0.667,0,0,,0,0,,0,1,1,2,0,0,3,1,4,6
0,Q4,Ronald Murray,669,2,6,0.333,0,1,0.0,3,4,0.75,0,0,0,1,2,0,0,1,7,4
0,H2,Ronald Murray,1389,4,9,0.444,0,1,0.0,3,4,0.75,0,1,1,3,2,0,3,2,11,10
0,Q1,Carlos Delfino,720,2,3,0.667,0,1,0.0,1,2,0.5,1,3,4,1,0,0,0,0,5,-3
0,Q2,Carlos Delfino,411,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,1,0,0,4
0,H1,Carlos Delfino,1131,2,4,0.5,0,1,0.0,1,2,0.5,1,3,4,1,0,0,1,0,5,1
0,Q3,Carlos Delfino,720,1,3,0.333,0,2,0.0,2,2,1.0,0,3,3,2,1,0,1,0,4,6
0,Q4,Carlos Delfino,51,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
0,H2,Carlos Delfino,771,1,4,0.25,0,2,0.0,2,2,1.0,0,3,3,2,1,0,1,0,4,2
0,Q1,Dale Davis,533,1,4,0.25,0,0,,0,0,,2,0,2,0,0,0,0,0,2,-1
0,Q2,Dale Davis,
0,H1,Dale Davis,533,1,4,0.25,0,0,,0,0,,2,0,2,0,0,0,0,0,2,-1
0,Q3,Dale Davis,337,0,2,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,5
0,Q4,Dale Davis,154,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,0,2,2
0,H2,Dale Davis,491,1,4,0.25,0,0,,0,0,,0,1,1,0,0,0,0,0,2,7
0,Q1,Tayshaun Prince,651,1,3,0.333,0,0,,0,0,,0,1,1,0,0,0,1,1,2,-1
0,Q2,Tayshaun Prince,
0,H1,Tayshaun Prince,651,1,3,0.333,0,0,,0,0,,0,1,1,0,0,0,1,1,2,-1
0,Q3,Tayshaun Prince,
0,Q4,Tayshaun Prince,
0,H2,Tayshaun Prince,
0,Q1,Rasheed Wallace,533,1,3,0.333,1,3,0.333,0,2,0.0,0,4,4,1,0,0,0,1,3,-1
0,Q2,Rasheed Wallace,
0,H1,Rasheed Wallace,533,1,3,0.333,1,3,0.333,0,2,0.0,0,4,4,1,0,0,0,1,3,-1
0,Q3,Rasheed Wallace,
0,Q4,Rasheed Wallace,
0,H2,Rasheed Wallace,
0,Q1,Amir Johnson,69,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-2
0,Q2,Amir Johnson,720,4,6,0.667,0,1,0.0,0,0,,4,2,6,0,1,1,0,2,8,-1
0,H1,Amir Johnson,789,4,6,0.667,0,1,0.0,0,0,,4,2,6,0,2,1,0,2,8,-3
0,Q3,Amir Johnson,720,5,7,0.714,0,1,0.0,0,0,,1,1,2,0,1,2,3,1,10,6
0,Q4,Amir Johnson,720,1,1,1.0,0,0,,0,0,,1,3,4,0,0,1,0,1,2,0
0,H2,Amir Johnson,1440,6,8,0.75,0,1,0.0,0,0,,2,4,6,0,1,3,3,2,12,6
0,Q1,Ronald Dupree,
0,Q2,Ronald Dupree,480,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-4
0,H1,Ronald Dupree,480,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-4
0,Q3,Ronald Dupree,720,2,3,0.667,0,0,,0,0,,0,4,4,3,0,0,0,1,4,6
0,Q4,Ronald Dupree,720,1,3,0.333,0,0,,2,2,1.0,1,1,2,0,0,0,0,0,4,0
0,H2,Ronald Dupree,1440,3,6,0.5,0,0,,2,2,1.0,1,5,6,3,0,0,0,1,8,6
0,Q1,Jason Maxiell,187,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2
0,Q2,Jason Maxiell,720,2,3,0.667,0,0,,0,0,,0,0,0,0,0,1,2,1,4,-1
0,H1,Jason Maxiell,907,2,3,0.667,0,0,,0,0,,0,0,0,0,0,1,3,2,4,-3
0,Q3,Jason Maxiell,383,1,1,1.0,0,0,,0,0,,0,0,0,0,2,0,1,0,2,1
0,Q4,Jason Maxiell,566,1,2,0.5,0,0,,3,4,0.75,1,3,4,0,0,0,1,4,5,-2
0,H2,Jason Maxiell,949,2,3,0.667,0,0,,3,4,0.75,1,3,4,0,2,0,2,4,7,-1
0,Q1,Lindsey Hunter,69,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-2
0,Q2,Lindsey Hunter,720,2,4,0.5,1,2,0.5,0,0,,0,0,0,5,0,0,0,0,5,-1
0,H1,Lindsey Hunter,789,2,5,0.4,1,3,0.333,0,0,,0,0,0,5,0,0,0,0,5,-3
0,Q3,Lindsey Hunter,
0,Q4,Lindsey Hunter,720,1,5,0.2,0,2,0.0,0,0,,1,2,3,3,0,1,0,1,2,0
0,H2,Lindsey Hunter,720,1,5,0.2,0,2,0.0,0,0,,1,2,3,3,0,1,0,1,2,0
0,Q1,Antonio McDyess,187,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-2
0,Q2,Antonio McDyess,240,4,5,0.8,0,0,,1,2,0.5,0,1,1,0,0,1,0,0,9,3
0,H1,Antonio McDyess,427,5,6,0.833,0,0,,1,2,0.5,0,1,1,0,0,1,0,0,11,1
0,Q3,Antonio McDyess,
0,Q4,Antonio McDyess,
0,H2,Antonio McDyess,
0,Q1,Nazr Mohammed,
0,Q2,Nazr Mohammed,
0,H1,Nazr Mohammed,
0,Q3,Nazr Mohammed,
0,Q4,Nazr Mohammed,
0,H2,Nazr Mohammed,
0,Q1,Chris Webber,
0,Q2,Chris Webber,
0,H1,Chris Webber,
