Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Marko Jarić,570,1,1,1.0,0,0,,1,2,0.5,0,0,0,1,0,1,3,1,3,-8
0,Q2,Marko Jarić,720,1,2,0.5,0,0,,0,0,,0,2,2,2,0,0,1,1,2,-5
0,H1,Marko Jarić,1290,2,3,0.667,0,0,,1,2,0.5,0,2,2,3,0,1,4,2,5,-13
0,Q3,Marko Jarić,720,3,4,0.75,1,1,1.0,0,0,,1,3,4,3,1,0,2,1,7,7
0,Q4,Marko Jarić,416,0,2,0.0,0,0,,0,0,,1,0,1,1,1,0,0,2,0,1
0,H2,Marko Jarić,1136,3,6,0.5,1,1,1.0,0,0,,2,3,5,4,2,0,2,3,7,8
0,Q1,Rashad McCants,615,2,6,0.333,0,0,,3,3,1.0,0,0,0,0,0,0,0,1,7,-4
0,Q2,Rashad McCants,356,2,3,0.667,0,0,,1,1,1.0,0,0,0,0,0,0,2,1,5,0
0,H1,Rashad McCants,971,4,9,0.444,0,0,,4,4,1.0,0,0,0,0,0,0,2,2,12,-4
0,Q3,Rashad McCants,574,1,2,0.5,0,0,,0,0,,0,0,0,1,0,0,0,1,2,-1
0,Q4,Rashad McCants,607,2,6,0.333,0,1,0.0,3,3,1.0,0,1,1,0,1,0,0,0,7,0
0,H2,Rashad McCants,1181,3,8,0.375,0,1,0.0,3,3,1.0,0,1,1,1,1,0,0,1,9,-1
0,Q1,Al Jefferson,615,3,6,0.5,0,0,,1,2,0.5,1,5,6,0,0,0,1,1,7,-4
0,Q2,Al Jefferson,356,2,3,0.667,0,0,,0,0,,0,2,2,0,0,1,0,0,4,0
0,H1,Al Jefferson,971,5,9,0.556,0,0,,1,2,0.5,1,7,8,0,0,1,1,1,11,-4
0,Q3,Al Jefferson,574,2,2,1.0,0,0,,5,7,0.714,3,1,4,0,0,0,0,2,9,-1
0,Q4,Al Jefferson,547,4,8,0.5,0,0,,3,5,0.6,2,0,2,0,0,0,0,0,11,-1
0,H2,Al Jefferson,1121,6,10,0.6,0,0,,8,12,0.667,5,1,6,0,0,0,0,2,20,-2
0,Q1,Ryan Gomes,465,1,2,0.5,0,0,,1,1,1.0,0,0,0,0,0,0,0,2,3,-4
0,Q2,Ryan Gomes,245,0,1,0.0,0,0,,0,0,,0,1,1,1,0,0,0,0,0,2
0,H1,Ryan Gomes,710,1,3,0.333,0,0,,1,1,1.0,0,1,1,1,0,0,0,2,3,-2
0,Q3,Ryan Gomes,286,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-3
0,Q4,Ryan Gomes,
0,H2,Ryan Gomes,286,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-3
0,Q1,Mark Madsen,408,0,0,,0,0,,0,0,,1,1,2,1,0,0,0,0,0,-4
0,Q2,Mark Madsen,149,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0
0,H1,Mark Madsen,557,0,0,,0,0,,0,0,,1,1,2,2,0,0,0,0,0,-4
0,Q3,Mark Madsen,286,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-3
0,Q4,Mark Madsen,
0,H2,Mark Madsen,286,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-3
0,Q1,Antoine Walker,312,1,3,0.333,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,2,-4
0,Q2,Antoine Walker,364,0,2,0.0,0,2,0.0,0,0,,1,0,1,1,0,0,0,1,0,-5
0,H1,Antoine Walker,676,1,5,0.2,0,3,0.0,0,0,,1,0,1,1,0,0,0,2,2,-9
0,Q3,Antoine Walker,434,3,5,0.6,0,0,,1,1,1.0,1,0,1,0,0,1,0,0,7,10
0,Q4,Antoine Walker,514,2,4,0.5,0,2,0.0,0,0,,1,1,2,0,1,0,0,2,4,4
0,H2,Antoine Walker,948,5,9,0.556,0,2,0.0,1,1,1.0,2,1,3,0,1,1,0,2,11,14
0,Q1,Sebastian Telfair,255,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-4
0,Q2,Sebastian Telfair,475,1,1,1.0,0,0,,0,0,,0,0,0,1,1,0,0,2,2,-7
0,H1,Sebastian Telfair,730,1,1,1.0,0,0,,0,0,,0,0,0,1,2,0,0,2,2,-11
0,Q3,Sebastian Telfair,146,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,8
0,Q4,Sebastian Telfair,720,2,2,1.0,0,0,,0,0,,0,1,1,1,0,0,0,1,4,0
0,H2,Sebastian Telfair,866,2,3,0.667,0,0,,0,0,,0,1,1,1,0,0,0,1,4,8
0,Q1,Craig Smith,105,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-4
0,Q2,Craig Smith,571,5,6,0.833,0,0,,0,0,,0,2,2,0,0,0,2,2,10,-5
0,H1,Craig Smith,676,5,6,0.833,0,0,,0,0,,0,3,3,0,0,0,2,2,10,-9
0,Q3,Craig Smith,146,3,3,1.0,0,0,,1,3,0.333,2,1,3,0,0,0,0,1,7,8
0,Q4,Craig Smith,379,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,2,0,-3
0,H2,Craig Smith,525,3,3,1.0,0,0,,1,3,0.333,3,1,4,0,0,0,1,3,7,5
0,Q1,Greg Buckner,255,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-4
0,Q2,Greg Buckner,364,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-5
0,H1,Greg Buckner,619,0,1,0.0,0,0,,0,0,,0,2,2,0,0,0,1,1,0,-9
0,Q3,Greg Buckner,
0,Q4,Greg Buckner,304,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,1,0,1,0,-1
0,H2,Greg Buckner,304,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,1,0,1,0,-1
0,Q1,Corey Brewer,
0,Q2,Corey Brewer,
0,H1,Corey Brewer,
0,Q3,Corey Brewer,434,0,4,0.0,0,0,,0,0,,0,0,0,0,2,0,0,0,0,10
0,Q4,Corey Brewer,113,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
0,H2,Corey Brewer,547,0,5,0.0,0,0,,0,0,,0,0,0,0,2,0,0,0,0,10
0,Q1,Michael Doleac,
0,Q2,Michael Doleac,
0,H1,Michael Doleac,
0,Q3,Michael Doleac,
0,Q4,Michael Doleac,
0,H2,Michael Doleac,
0,Q1,Gerald Green,
0,Q2,Gerald Green,
0,H1,Gerald Green,
0,Q3,Gerald Green,
0,Q4,Gerald Green,
0,H2,Gerald Green,
