Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Stephon Marbury,720,1,3,0.333,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-14
0,Q2,Stephon Marbury,322,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,0,0,7
0,H1,Stephon Marbury,1042,1,3,0.333,0,0,,0,0,,1,0,1,1,0,0,0,0,2,-7
0,Q3,Stephon Marbury,720,1,2,0.5,0,0,,2,2,1.0,1,0,1,0,0,0,0,1,4,3
0,Q4,Stephon Marbury,720,2,4,0.5,1,3,0.333,0,0,,0,0,0,2,0,0,1,0,5,-2
0,H2,Stephon Marbury,1440,3,6,0.5,1,3,0.333,2,2,1.0,1,0,1,2,0,0,1,1,9,1
0,Q1,Jamal Crawford,556,2,3,0.667,0,0,,0,0,,0,0,0,0,0,0,0,1,4,-11
0,Q2,Jamal Crawford,720,2,4,0.5,1,2,0.5,0,0,,0,0,0,3,0,0,1,0,5,1
0,H1,Jamal Crawford,1276,4,7,0.571,1,2,0.5,0,0,,0,0,0,3,0,0,1,1,9,-10
0,Q3,Jamal Crawford,558,0,1,0.0,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0
0,Q4,Jamal Crawford,597,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-3
0,H2,Jamal Crawford,1155,0,1,0.0,0,0,,0,0,,1,1,2,0,0,0,1,0,0,-3
0,Q1,Zach Randolph,591,2,4,0.5,0,0,,0,0,,0,6,6,0,0,0,3,0,4,-11
0,Q2,Zach Randolph,446,1,4,0.25,0,0,,2,2,1.0,1,3,4,0,0,0,0,0,4,5
0,H1,Zach Randolph,1037,3,8,0.375,0,0,,2,2,1.0,1,9,10,0,0,0,3,0,8,-6
0,Q3,Zach Randolph,609,1,4,0.25,0,0,,2,2,1.0,1,3,4,1,0,0,2,0,4,5
0,Q4,Zach Randolph,720,3,7,0.429,0,0,,0,0,,4,4,8,0,1,0,1,1,6,-2
0,H2,Zach Randolph,1329,4,11,0.364,0,0,,2,2,1.0,5,7,12,1,1,0,3,1,10,3
0,Q1,Eddy Curry,556,0,3,0.0,0,0,,1,4,0.25,0,2,2,0,0,0,0,0,1,-11
0,Q2,Eddy Curry,688,2,3,0.667,0,0,,0,0,,1,0,1,1,1,1,1,1,4,2
0,H1,Eddy Curry,1244,2,6,0.333,0,0,,1,4,0.25,1,2,3,1,1,1,1,1,5,-9
0,Q3,Eddy Curry,285,2,5,0.4,0,0,,2,2,1.0,1,0,1,0,0,0,2,0,6,-1
0,Q4,Eddy Curry,563,2,5,0.4,0,0,,1,2,0.5,2,0,2,0,0,0,0,0,5,-4
