Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Dwyane Wade,625,3,6,0.5,1,2,0.5,0,0,,0,0,0,3,1,0,2,1,7,0
0,Q2,Dwyane Wade,519,4,6,0.667,0,0,,2,5,0.4,0,0,0,0,1,1,1,0,10,2
0,H1,Dwyane Wade,1144,7,12,0.583,1,2,0.5,2,5,0.4,0,0,0,3,2,1,3,1,17,2
0,Q3,Dwyane Wade,720,4,7,0.571,0,0,,2,2,1.0,0,2,2,1,1,0,1,2,10,4
0,Q4,Dwyane Wade,527,2,6,0.333,0,0,,0,0,,0,1,1,1,0,0,0,0,4,11
0,H2,Dwyane Wade,1247,6,13,0.462,0,0,,2,2,1.0,0,3,3,2,1,0,1,2,14,15
0,Q1,Shawn Marion,679,0,2,0.0,0,0,,0,0,,0,4,4,0,0,0,0,0,0,1
0,Q2,Shawn Marion,519,1,4,0.25,0,0,,0,0,,2,1,3,1,1,0,0,0,2,2
0,H1,Shawn Marion,1198,1,6,0.167,0,0,,0,0,,2,5,7,1,1,0,0,0,2,3
0,Q3,Shawn Marion,494,3,4,0.75,0,1,0.0,0,0,,2,0,2,1,0,0,1,1,6,-4
0,Q4,Shawn Marion,587,3,5,0.6,0,0,,0,0,,3,1,4,3,3,0,1,2,6,4
0,H2,Shawn Marion,1081,6,9,0.667,0,1,0.0,0,0,,5,1,6,4,3,0,2,3,12,0
0,Q1,Mark Blount,569,2,4,0.5,0,0,,0,0,,1,1,2,1,0,0,0,1,4,-2
0,Q2,Mark Blount,505,1,1,1.0,0,0,,0,0,,1,3,4,0,0,0,0,1,2,-5
0,H1,Mark Blount,1074,3,5,0.6,0,0,,0,0,,2,4,6,1,0,0,0,2,6,-7
0,Q3,Mark Blount,329,1,1,1.0,0,0,,0,0,,0,1,1,0,0,2,0,1,2,-2
0,Q4,Mark Blount,
0,H2,Mark Blount,329,1,1,1.0,0,0,,0,0,,0,1,1,0,0,2,0,1,2,-2
0,Q1,Jason Williams,569,1,4,0.25,1,2,0.5,2,2,1.0,0,2,2,2,0,0,0,0,5,-2
0,Q2,Jason Williams,365,0,2,0.0,0,2,0.0,0,0,,0,1,1,3,0,0,0,0,0,6
0,H1,Jason Williams,934,1,6,0.167,1,4,0.25,2,2,1.0,0,3,3,5,0,0,0,0,5,4
0,Q3,Jason Williams,453,0,1,0.0,0,1,0.0,2,2,1.0,0,0,0,2,0,0,1,0,2,-6
0,Q4,Jason Williams,
0,H2,Jason Williams,453,0,1,0.0,0,1,0.0,2,2,1.0,0,0,0,2,0,0,1,0,2,-6
0,Q1,Alexander Johnson,720,2,3,0.667,0,0,,1,2,0.5,0,1,1,0,0,0,0,1,5,-1
0,Q2,Alexander Johnson,332,0,1,0.0,0,0,,1,2,0.5,0,0,0,0,1,0,0,2,1,-1
0,H1,Alexander Johnson,1052,2,4,0.5,0,0,,2,4,0.5,0,1,1,0,1,0,0,3,6,-2
0,Q3,Alexander Johnson,250,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-4
0,Q4,Alexander Johnson,
0,H2,Alexander Johnson,250,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-4
0,Q1,Earl Barron,42,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-2
0,Q2,Earl Barron,351,1,4,0.25,0,0,,0,0,,1,0,1,0,0,0,0,0,2,2
0,H1,Earl Barron,393,2,5,0.4,0,0,,0,0,,1,0,1,0,0,0,0,0,4,0
0,Q3,Earl Barron,470,1,2,0.5,0,0,,0,0,,1,1,2,1,0,0,0,3,2,8
0,Q4,Earl Barron,720,2,5,0.4,0,0,,0,0,,3,0,3,0,0,1,0,2,4,9
0,H2,Earl Barron,1190,3,7,0.429,0,0,,0,0,,4,1,5,1,0,1,0,5,6,17
0,Q1,Ricky Davis,151,1,2,0.5,0,0,,0,0,,0,0,0,1,0,0,0,0,2,1
0,Q2,Ricky Davis,355,0,4,0.0,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-8
0,H1,Ricky Davis,506,1,6,0.167,0,0,,0,0,,0,1,1,1,0,0,0,1,2,-7
0,Q3,Ricky Davis,226,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,0,0,0,0,3,8
0,Q4,Ricky Davis,720,3,8,0.375,1,2,0.5,3,3,1.0,0,1,1,0,1,0,0,1,10,9
0,H2,Ricky Davis,946,4,9,0.444,2,3,0.667,3,3,1.0,0,2,2,0,1,0,0,1,13,17
0,Q1,Marcus Banks,151,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,1,2,0,1
0,Q2,Marcus Banks,201,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-4
0,H1,Marcus Banks,352,0,1,0.0,0,0,,0,0,,0,3,3,0,0,0,1,2,0,-3
0,Q3,Marcus Banks,267,2,3,0.667,1,2,0.5,1,1,1.0,0,0,0,1,0,0,0,0,6,10
0,Q4,Marcus Banks,720,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,9
0,H2,Marcus Banks,987,2,5,0.4,1,2,0.5,1,1,1.0,0,0,0,1,0,0,0,0,6,19
0,Q1,Dorell Wright,95,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
0,Q2,Dorell Wright,453,1,2,0.5,0,0,,0,0,,2,1,3,1,0,2,1,2,2,-4
0,H1,Dorell Wright,548,1,2,0.5,0,0,,0,0,,2,1,3,1,0,2,1,2,2,-5
0,Q3,Dorell Wright,391,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,6
0,Q4,Dorell Wright,326,1,1,1.0,0,0,,0,0,,1,0,1,0,0,0,0,0,2,3
0,H2,Dorell Wright,717,1,2,0.5,0,0,,0,0,,1,0,1,0,0,0,0,0,2,9
0,Q1,Udonis Haslem,
0,Q2,Udonis Haslem,
0,H1,Udonis Haslem,
0,Q3,Udonis Haslem,
0,Q4,Udonis Haslem,
0,H2,Udonis Haslem,
0,Q1,Alonzo Mourning,
0,Q2,Alonzo Mourning,
0,H1,Alonzo Mourning,
0,Q3,Alonzo Mourning,
0,Q4,Alonzo Mourning,
0,H2,Alonzo Mourning,
0,Q1,Chris Quinn,
0,Q2,Chris Quinn,
0,H1,Chris Quinn,
0,Q3,Chris Quinn,
0,Q4,Chris Quinn,
0,H2,Chris Quinn,
1,Q1,Chris Wilcox,569,5,8,0.625,0,0,,0,0,,0,2,2,1,1,0,0,0,10,2
1,Q2,Chris Wilcox,501,2,3,0.667,0,0,,2,2,1.0,0,1,1,0,0,0,1,0,6,0
1,H1,Chris Wilcox,1070,7,11,0.636,0,0,,2,2,1.0,0,3,3,1,1,0,1,0,16,2
1,Q3,Chris Wilcox,579,3,5,0.6,0,0,,4,6,0.667,1,1,2,0,1,0,1,1,10,1
1,Q4,Chris Wilcox,720,1,1,1.0,0,0,,2,2,1.0,0,1,1,1,0,1,0,1,4,-9
1,H2,Chris Wilcox,1299,4,6,0.667,0,0,,6,8,0.75,1,2,3,1,1,1,1,2,14,-8
1,Q1,Kevin Durant,720,2,4,0.5,0,0,,4,4,1.0,1,0,1,0,0,0,2,1,8,1
1,Q2,Kevin Durant,290,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-5
