Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Kevin Martin,526,2,4,0.5,1,1,1.0,1,1,1.0,0,1,1,0,0,0,0,0,6,-8
0,Q2,Kevin Martin,720,2,6,0.333,0,0,,4,4,1.0,0,2,2,0,2,0,0,0,8,-2
0,H1,Kevin Martin,1246,4,10,0.4,1,1,1.0,5,5,1.0,0,3,3,0,2,0,0,0,14,-10
0,Q3,Kevin Martin,720,1,3,0.333,0,0,,0,0,,0,2,2,0,0,0,0,1,2,9
0,Q4,Kevin Martin,549,2,3,0.667,1,2,0.5,2,2,1.0,0,1,1,1,0,0,1,2,7,-1
0,H2,Kevin Martin,1269,3,6,0.5,1,2,0.5,2,2,1.0,0,3,3,1,0,0,1,3,9,8
0,Q1,John Salmons,720,3,7,0.429,0,1,0.0,0,0,,0,0,0,4,1,0,2,1,6,-11
0,Q2,John Salmons,519,0,1,0.0,0,1,0.0,2,2,1.0,0,1,1,2,0,0,1,0,2,3
0,H1,John Salmons,1239,3,8,0.375,0,2,0.0,2,2,1.0,0,1,1,6,1,0,3,1,8,-8
0,Q3,John Salmons,720,2,4,0.5,0,0,,0,0,,0,0,0,4,0,0,0,0,4,9
0,Q4,John Salmons,497,4,7,0.571,3,4,0.75,0,0,,0,2,2,1,0,0,0,1,11,0
0,H2,John Salmons,1217,6,11,0.545,3,4,0.75,0,0,,0,2,2,5,0,0,0,1,15,9
0,Q1,Beno Udrih,720,2,3,0.667,1,1,1.0,0,0,,0,0,0,0,1,0,0,0,5,-11
0,Q2,Beno Udrih,123,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,6
0,H1,Beno Udrih,843,3,4,0.75,1,1,1.0,0,0,,0,0,0,0,1,0,0,0,7,-5
0,Q3,Beno Udrih,720,6,6,1.0,1,1,1.0,2,2,1.0,0,3,3,2,0,1,0,0,15,9
0,Q4,Beno Udrih,720,2,4,0.5,2,2,1.0,1,2,0.5,1,2,3,1,1,0,0,2,7,1
0,H2,Beno Udrih,1440,8,10,0.8,3,3,1.0,3,4,0.75,1,5,6,3,1,1,0,2,22,10
0,Q1,Jason Thompson,720,1,3,0.333,0,0,,0,1,0.0,1,2,3,1,0,0,2,1,2,-11
0,Q2,Jason Thompson,387,0,0,,0,0,,0,0,,1,0,1,1,0,0,1,2,0,2
0,H1,Jason Thompson,1107,1,3,0.333,0,0,,0,1,0.0,2,2,4,2,0,0,3,3,2,-9
0,Q3,Jason Thompson,720,2,4,0.5,0,0,,0,0,,0,2,2,0,0,0,0,0,4,9
