Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Tyrus Thomas,720,1,4,0.25,0,0,,0,0,,0,1,1,0,2,0,0,1,2,-13
0,Q2,Tyrus Thomas,303,0,1,0.0,0,0,,0,0,,0,2,2,0,0,1,1,0,0,-5
0,H1,Tyrus Thomas,1023,1,5,0.2,0,0,,0,0,,0,3,3,0,2,1,1,1,2,-18
0,Q3,Tyrus Thomas,451,1,4,0.25,0,0,,0,0,,0,1,1,0,0,1,0,3,2,-11
0,Q4,Tyrus Thomas,720,2,4,0.5,0,1,0.0,1,1,1.0,0,1,1,1,0,0,1,1,5,4
0,H2,Tyrus Thomas,1171,3,8,0.375,0,1,0.0,1,1,1.0,0,2,2,1,0,1,1,4,7,-7
0,Q1,John Salmons,720,1,3,0.333,1,2,0.5,2,2,1.0,0,1,1,0,0,0,1,0,5,-13
0,Q2,John Salmons,509,3,5,0.6,0,1,0.0,0,0,,0,3,3,0,0,0,0,0,6,7
0,H1,John Salmons,1229,4,8,0.5,1,3,0.333,2,2,1.0,0,4,4,0,0,0,1,0,11,-6
0,Q3,John Salmons,720,1,3,0.333,1,2,0.5,2,4,0.5,0,3,3,0,1,0,2,0,5,-20
0,Q4,John Salmons,62,0,1,0.0,0,0,,2,2,1.0,1,0,1,0,0,0,0,0,2,-3
0,H2,John Salmons,782,1,4,0.25,1,2,0.5,4,6,0.667,1,3,4,0,1,0,2,0,7,-23
0,Q1,Ben Gordon,720,0,4,0.0,0,1,0.0,2,2,1.0,0,1,1,1,0,0,1,0,2,-13
0,Q2,Ben Gordon,497,0,2,0.0,0,0,,0,0,,0,1,1,1,0,0,1,2,0,-6
0,H1,Ben Gordon,1217,0,6,0.0,0,1,0.0,2,2,1.0,0,2,2,2,0,0,2,2,2,-19
0,Q3,Ben Gordon,451,1,3,0.333,0,0,,0,0,,0,1,1,0,0,0,1,0,2,-11
0,Q4,Ben Gordon,133,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
0,H2,Ben Gordon,584,1,4,0.25,0,0,,0,0,,0,1,1,0,0,0,1,0,2,-15
0,Q1,Derrick Rose,560,1,3,0.333,0,0,,0,0,,0,0,0,1,0,0,1,0,2,-8
0,Q2,Derrick Rose,720,1,6,0.167,0,1,0.0,3,4,0.75,2,0,2,1,1,0,0,0,5,1
0,H1,Derrick Rose,1280,2,9,0.222,0,1,0.0,3,4,0.75,2,0,2,2,1,0,1,0,7,-7
0,Q3,Derrick Rose,506,0,3,0.0,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-14
0,Q4,Derrick Rose,
0,H2,Derrick Rose,506,0,3,0.0,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-14
0,Q1,Joakim Noah,58,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,0
0,Q2,Joakim Noah,273,1,2,0.5,0,0,,2,2,1.0,1,2,3,0,0,0,0,1,4,3
0,H1,Joakim Noah,331,1,2,0.5,0,0,,2,2,1.0,1,3,4,0,0,0,0,3,4,3
0,Q3,Joakim Noah,335,0,1,0.0,0,0,,0,0,,0,1,1,2,0,0,0,1,0,-9
0,Q4,Joakim Noah,28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
0,H2,Joakim Noah,363,0,1,0.0,0,0,,0,0,,0,1,1,2,0,0,0,1,0,-11
0,Q1,Brad Miller,662,1,4,0.25,0,0,,0,0,,0,4,4,0,1,0,1,1,2,-13
0,Q2,Brad Miller,578,1,2,0.5,0,0,,2,2,1.0,1,0,1,0,1,0,0,1,4,4
0,H1,Brad Miller,1240,2,6,0.333,0,0,,2,2,1.0,1,4,5,0,2,0,1,2,6,-9
0,Q3,Brad Miller,654,2,3,0.667,0,1,0.0,1,1,1.0,1,0,1,0,0,1,1,1,5,-20
0,Q4,Brad Miller,
0,H2,Brad Miller,654,2,3,0.667,0,1,0.0,1,1,1.0,1,0,1,0,0,1,1,1,5,-20
0,Q1,Kirk Hinrich,160,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-5
0,Q2,Kirk Hinrich,720,2,4,0.5,0,0,,0,0,,0,2,2,1,0,0,1,2,4,1
0,H1,Kirk Hinrich,880,2,5,0.4,0,0,,0,0,,0,2,2,1,0,0,2,2,4,-4
0,Q3,Kirk Hinrich,483,1,3,0.333,1,2,0.5,0,0,,0,1,1,0,0,0,0,1,3,-15
0,Q4,Kirk Hinrich,
0,H2,Kirk Hinrich,483,1,3,0.333,1,2,0.5,0,0,,0,1,1,0,0,0,0,1,3,-15
0,Q1,Lindsey Hunter,
0,Q2,Lindsey Hunter,
0,H1,Lindsey Hunter,
0,Q3,Lindsey Hunter,
0,Q4,Lindsey Hunter,720,1,5,0.2,1,3,0.333,0,0,,0,1,1,2,2,0,0,0,3,4
0,H2,Lindsey Hunter,720,1,5,0.2,1,3,0.333,0,0,,0,1,1,2,2,0,0,0,3,4
0,Q1,Aaron Gray,
0,Q2,Aaron Gray,
0,H1,Aaron Gray,
0,Q3,Aaron Gray,
0,Q4,Aaron Gray,692,3,6,0.5,0,0,,2,3,0.667,2,2,4,1,1,0,1,1,8,6
0,H2,Aaron Gray,692,3,6,0.5,0,0,,2,3,0.667,2,2,4,1,1,0,1,1,8,6
0,Q1,Linton Johnson,
0,Q2,Linton Johnson,
0,H1,Linton Johnson,
0,Q3,Linton Johnson,
0,Q4,Linton Johnson,658,0,2,0.0,0,0,,0,0,,1,2,3,0,0,0,1,1,0,7
0,H2,Linton Johnson,658,0,2,0.0,0,0,,0,0,,1,2,3,0,0,0,1,1,0,7
0,Q1,Anthony Roberson,
0,Q2,Anthony Roberson,
0,H1,Anthony Roberson,
0,Q3,Anthony Roberson,
0,Q4,Anthony Roberson,587,3,6,0.5,2,4,0.5,0,0,,1,3,4,1,0,0,0,0,8,8
0,H2,Anthony Roberson,587,3,6,0.5,2,4,0.5,0,0,,1,3,4,1,0,0,0,0,8,8
0,Q1,Tim Thomas,
0,Q2,Tim Thomas,
0,H1,Tim Thomas,
0,Q3,Tim Thomas,
0,Q4,Tim Thomas,
0,H2,Tim Thomas,
1,Q1,Mickaël Piétrus,560,1,3,0.333,1,2,0.5,0,0,,0,1,1,0,0,1,1,1,3,8
1,Q2,Mickaël Piétrus,578,1,3,0.333,1,2,0.5,0,0,,0,1,1,0,0,0,0,1,3,-4
1,H1,Mickaël Piétrus,1138,2,6,0.333,2,4,0.5,0,0,,0,2,2,0,0,1,1,2,6,4
1,Q3,Mickaël Piétrus,720,1,2,0.5,1,2,0.5,0,0,,0,2,2,0,1,1,0,0,3,20
1,Q4,Mickaël Piétrus,234,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,1,1,0,0,3
1,H2,Mickaël Piétrus,954,1,3,0.333,1,3,0.333,0,0,,0,2,2,0,1,2,1,0,3,23
1,Q1,Courtney Lee,720,0,4,0.0,0,1,0.0,0,0,,0,4,4,0,1,0,0,0,0,13
1,Q2,Courtney Lee,142,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,3
1,H1,Courtney Lee,862,0,4,0.0,0,1,0.0,0,0,,0,4,4,0,2,0,0,0,0,16
1,Q3,Courtney Lee,720,5,6,0.833,2,3,0.667,2,2,1.0,0,2,2,0,0,0,2,0,14,20
1,Q4,Courtney Lee,302,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-5
1,H2,Courtney Lee,1022,5,7,0.714,2,4,0.5,2,2,1.0,0,2,2,0,0,0,2,1,14,15
1,Q1,Rashard Lewis,720,0,2,0.0,0,1,0.0,2,2,1.0,1,3,4,2,0,0,1,1,2,13
1,Q2,Rashard Lewis,286,0,4,0.0,0,1,0.0,1,2,0.5,0,1,1,0,0,0,1,0,1,0
1,H1,Rashard Lewis,1006,0,6,0.0,0,2,0.0,3,4,0.75,1,4,5,2,0,0,2,1,3,13
1,Q3,Rashard Lewis,451,0,3,0.0,0,1,0.0,0,1,0.0,0,0,0,0,1,0,0,2,0,11
1,Q4,Rashard Lewis,
1,H2,Rashard Lewis,451,0,3,0.0,0,1,0.0,0,1,0.0,0,0,0,0,1,0,0,2,0,11
1,Q1,Rafer Alston,560,1,4,0.25,0,1,0.0,0,0,,0,1,1,3,0,0,2,0,2,8
1,Q2,Rafer Alston,264,0,3,0.0,0,2,0.0,0,0,,0,0,0,0,0,0,0,0,0,1
1,H1,Rafer Alston,824,1,7,0.143,0,3,0.0,0,0,,0,1,1,3,0,0,2,0,2,9
1,Q3,Rafer Alston,517,3,4,0.75,0,1,0.0,2,2,1.0,0,1,1,3,3,0,0,0,8,11
1,Q4,Rafer Alston,
1,H2,Rafer Alston,517,3,4,0.75,0,1,0.0,2,2,1.0,0,1,1,3,3,0,0,0,8,11
1,Q1,Dwight Howard,318,3,3,1.0,0,0,,0,0,,1,2,3,0,0,1,1,2,6,4
1,Q2,Dwight Howard,257,0,0,,0,0,,0,0,,0,2,2,0,1,0,1,1,0,7
1,H1,Dwight Howard,575,3,3,1.0,0,0,,0,0,,1,4,5,0,1,1,2,3,6,11
1,Q3,Dwight Howard,720,2,3,0.667,0,0,,3,4,0.75,1,3,4,1,0,2,1,0,7,20
1,Q4,Dwight Howard,28,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,2
1,H2,Dwight Howard,748,3,4,0.75,0,0,,3,4,0.75,1,3,4,1,0,2,1,0,9,22
1,Q1,Tony Battie,
1,Q2,Tony Battie,576,4,6,0.667,0,0,,2,2,1.0,2,1,3,0,0,1,0,1,10,2
1,H1,Tony Battie,576,4,6,0.667,0,0,,2,2,1.0,2,1,3,0,0,1,0,1,10,2
1,Q3,Tony Battie,269,2,2,1.0,1,1,1.0,0,0,,0,4,4,2,0,0,0,2,5,9
1,Q4,Tony Battie,720,1,3,0.333,0,0,,1,2,0.5,0,1,1,0,0,0,1,1,3,-4
1,H2,Tony Battie,989,3,5,0.6,1,1,1.0,1,2,0.5,0,5,5,2,0,0,1,3,8,5
1,Q1,Marcin Gortat,402,4,6,0.667,0,0,,0,0,,3,2,5,1,1,0,0,0,8,9
1,Q2,Marcin Gortat,321,0,0,,0,0,,0,0,,1,2,3,0,0,0,0,2,0,-11
1,H1,Marcin Gortat,723,4,6,0.667,0,0,,0,0,,4,4,8,1,1,0,0,2,8,-2
1,Q3,Marcin Gortat,
1,Q4,Marcin Gortat,692,2,2,1.0,0,0,,1,2,0.5,1,6,7,0,0,0,1,1,5,-6
1,H2,Marcin Gortat,692,2,2,1.0,0,0,,1,2,0.5,1,6,7,0,0,0,1,1,5,-6
1,Q1,J.J. Redick,160,2,2,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,0,1,5,5
1,Q2,J.J. Redick,663,1,1,1.0,0,0,,4,5,0.8,1,0,1,3,0,0,0,1,6,-3
1,H1,J.J. Redick,823,3,3,1.0,1,1,1.0,4,5,0.8,1,0,1,3,0,0,0,2,11,2
1,Q3,J.J. Redick,
1,Q4,J.J. Redick,418,1,3,0.333,0,0,,0,0,,0,0,0,1,0,0,0,1,2,1
1,H2,J.J. Redick,418,1,3,0.333,0,0,,0,0,,0,0,0,1,0,0,0,1,2,1
