Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,LeBron James,720,5,9,0.556,2,3,0.667,4,4,1.0,0,2,2,1,0,0,0,0,16,-4
0,Q2,LeBron James,359,2,5,0.4,0,1,0.0,1,2,0.5,0,0,0,1,0,0,1,1,5,8
0,H1,LeBron James,1079,7,14,0.5,2,4,0.5,5,6,0.833,0,2,2,2,0,0,1,1,21,4
0,Q3,LeBron James,720,3,5,0.6,1,3,0.333,1,1,1.0,0,1,1,3,1,0,2,0,8,-15
0,Q4,LeBron James,720,4,6,0.667,0,1,0.0,8,9,0.889,0,1,1,4,1,2,0,1,16,14
0,H2,LeBron James,1440,7,11,0.636,1,4,0.25,9,10,0.9,0,2,2,7,2,2,2,1,24,-1
0,Q1,Anderson Varejão,551,2,2,1.0,0,0,,0,2,0.0,0,2,2,0,0,0,1,0,4,-12
0,Q2,Anderson Varejão,359,1,1,1.0,0,0,,0,0,,1,1,2,0,0,0,0,0,2,8
0,H1,Anderson Varejão,910,3,3,1.0,0,0,,0,2,0.0,1,3,4,0,0,0,1,0,6,-4
0,Q3,Anderson Varejão,552,2,2,1.0,0,0,,0,1,0.0,1,0,1,0,0,0,0,0,4,-10
0,Q4,Anderson Varejão,624,2,2,1.0,0,0,,2,2,1.0,1,2,3,0,1,0,1,1,6,12
0,H2,Anderson Varejão,1176,4,4,1.0,0,0,,2,3,0.667,2,2,4,0,1,0,1,1,10,2
0,Q1,Mo Williams,453,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-12
0,Q2,Mo Williams,361,1,3,0.333,0,0,,0,0,,0,0,0,2,0,0,0,0,2,-3
0,H1,Mo Williams,814,1,3,0.333,0,0,,0,0,,0,0,0,2,0,0,0,2,2,-15
0,Q3,Mo Williams,720,1,6,0.167,0,2,0.0,0,0,,0,3,3,2,0,0,1,1,2,-15
0,Q4,Mo Williams,468,1,3,0.333,0,1,0.0,2,2,1.0,0,0,0,0,0,0,0,0,4,11
0,H2,Mo Williams,1188,2,9,0.222,0,3,0.0,2,2,1.0,0,3,3,2,0,0,1,1,6,-4
0,Q1,Sasha Pavlović,720,1,7,0.143,0,3,0.0,0,0,,1,1,2,0,1,0,1,1,2,-4
0,Q2,Sasha Pavlović,281,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,2,0,10
0,H1,Sasha Pavlović,1001,1,7,0.143,0,3,0.0,0,0,,1,1,2,0,2,0,1,3,2,6
0,Q3,Sasha Pavlović,132,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-8
0,Q4,Sasha Pavlović,720,2,2,1.0,2,2,1.0,0,2,0.0,0,1,1,1,0,0,0,1,6,14
0,H2,Sasha Pavlović,852,2,3,0.667,2,3,0.667,0,2,0.0,0,1,1,1,0,0,0,2,6,6
0,Q1,Zydrunas Ilgauskas,453,1,2,0.5,0,0,,0,0,,1,1,2,0,0,0,0,0,2,-12
0,Q2,Zydrunas Ilgauskas,361,2,3,0.667,0,0,,1,2,0.5,1,2,3,0,0,1,0,1,5,-3
0,H1,Zydrunas Ilgauskas,814,3,5,0.6,0,0,,1,2,0.5,2,3,5,0,0,1,0,1,7,-15
0,Q3,Zydrunas Ilgauskas,411,1,4,0.25,0,0,,0,1,0.0,2,0,2,0,0,1,2,2,2,-12
0,Q4,Zydrunas Ilgauskas,
0,H2,Zydrunas Ilgauskas,411,1,4,0.25,0,0,,0,1,0.0,2,0,2,0,0,1,2,2,2,-12
0,Q1,Daniel Gibson,267,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,0,0,0,8
0,Q2,Daniel Gibson,720,2,3,0.667,2,3,0.667,2,2,1.0,0,1,1,0,0,0,0,1,8,5
0,H1,Daniel Gibson,987,2,4,0.5,2,4,0.5,2,2,1.0,0,1,1,1,0,0,0,1,8,13
0,Q3,Daniel Gibson,168,0,0,,0,0,,1,2,0.5,0,0,0,0,1,0,0,0,1,-5
