Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Pau Gasol,720,2,4,0.5,0,0,,1,2,0.5,0,3,3,2,1,0,1,0,5,8
0,Q2,Pau Gasol,478,2,5,0.4,0,0,,0,0,,1,2,3,0,0,0,0,0,4,-5
0,H1,Pau Gasol,1198,4,9,0.444,0,0,,1,2,0.5,1,5,6,2,1,0,1,0,9,3
0,Q3,Pau Gasol,720,1,2,0.5,0,0,,3,3,1.0,1,2,3,2,0,0,0,0,5,12
0,Q4,Pau Gasol,305,0,1,0.0,0,0,,0,0,,0,5,5,2,0,0,0,0,0,4
0,H2,Pau Gasol,1025,1,3,0.333,0,0,,3,3,1.0,1,7,8,4,0,0,0,0,5,16
0,Q1,Metta World Peace,618,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,0,0,0,0,3,5
0,Q2,Metta World Peace,720,0,2,0.0,0,1,0.0,0,0,,0,0,0,2,0,0,0,1,0,-10
0,H1,Metta World Peace,1338,1,4,0.25,1,3,0.333,0,0,,0,0,0,2,0,0,0,1,3,-5
0,Q3,Metta World Peace,720,0,1,0.0,0,0,,0,0,,0,2,2,0,0,0,0,0,0,12
0,Q4,Metta World Peace,109,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,2
0,H2,Metta World Peace,829,0,1,0.0,0,0,,0,0,,0,2,2,1,0,0,0,0,0,14
0,Q1,Kobe Bryant,706,3,7,0.429,0,2,0.0,0,1,0.0,0,3,3,4,1,0,0,1,6,10
0,Q2,Kobe Bryant,352,2,4,0.5,1,2,0.5,0,0,,0,1,1,0,0,0,0,0,5,-9
0,H1,Kobe Bryant,1058,5,11,0.455,1,4,0.25,0,1,0.0,0,4,4,4,1,0,0,1,11,1
0,Q3,Kobe Bryant,720,5,8,0.625,0,1,0.0,3,4,0.75,2,2,4,1,1,0,1,1,13,12
0,Q4,Kobe Bryant,324,2,4,0.5,0,0,,1,1,1.0,0,2,2,0,0,1,1,1,5,11
0,H2,Kobe Bryant,1044,7,12,0.583,0,1,0.0,4,5,0.8,2,4,6,1,1,1,2,2,18,23
0,Q1,Derek Fisher,618,2,4,0.5,1,2,0.5,0,0,,0,1,1,1,0,0,0,1,5,5
