Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Dirk Nowitzki,434,2,3,0.667,0,1,0.0,0,0,,0,2,2,0,0,0,0,1,4,-2
0,Q2,Dirk Nowitzki,720,1,5,0.2,0,0,,0,0,,0,4,4,0,0,0,1,0,2,-4
0,H1,Dirk Nowitzki,1154,3,8,0.375,0,1,0.0,0,0,,0,6,6,0,0,0,1,1,6,-6
0,Q3,Dirk Nowitzki,449,1,3,0.333,0,0,,0,0,,0,3,3,1,0,0,0,0,2,9
0,Q4,Dirk Nowitzki,720,2,4,0.5,1,1,1.0,0,0,,0,2,2,1,0,0,1,4,5,-3
0,H2,Dirk Nowitzki,1169,3,7,0.429,1,1,1.0,0,0,,0,5,5,2,0,0,1,4,7,6
0,Q1,Jason Kidd,720,2,3,0.667,1,2,0.5,0,0,,0,1,1,4,0,2,0,0,5,7
0,Q2,Jason Kidd,343,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6
0,H1,Jason Kidd,1063,2,4,0.5,1,2,0.5,0,0,,0,1,1,4,0,2,0,0,5,1
0,Q3,Jason Kidd,720,0,0,,0,0,,2,2,1.0,0,3,3,4,1,0,3,0,2,8
0,Q4,Jason Kidd,381,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,2,0,-4
0,H2,Jason Kidd,1101,0,0,,0,0,,2,2,1.0,0,4,4,5,1,0,4,2,2,4
0,Q1,J.J. Barea,354,2,3,0.667,1,1,1.0,0,0,,0,0,0,1,0,0,0,0,5,-6
0,Q2,J.J. Barea,537,2,3,0.667,0,1,0.0,0,0,,1,0,1,1,0,0,1,1,4,0
0,H1,J.J. Barea,891,4,6,0.667,1,2,0.5,0,0,,1,0,1,2,0,0,1,1,9,-6
0,Q3,J.J. Barea,449,1,2,0.5,0,0,,0,0,,0,0,0,1,0,0,0,0,2,9
0,Q4,J.J. Barea,339,1,2,0.5,0,0,,0,0,,0,1,1,1,0,0,1,0,2,1
0,H2,J.J. Barea,788,2,4,0.5,0,0,,0,0,,0,1,1,2,0,0,1,0,4,10
0,Q1,Shawn Marion,720,2,6,0.333,0,1,0.0,0,0,,0,3,3,0,2,1,1,1,4,7
0,Q2,Shawn Marion,205,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-4
0,H1,Shawn Marion,925,2,7,0.286,0,2,0.0,0,0,,0,3,3,0,2,1,1,2,4,3
0,Q3,Shawn Marion,720,4,6,0.667,0,0,,0,0,,1,0,1,0,0,1,1,0,8,8
0,Q4,Shawn Marion,
0,H2,Shawn Marion,720,4,6,0.667,0,0,,0,0,,1,0,1,0,0,1,1,0,8,8
0,Q1,Erick Dampier,501,1,3,0.333,0,0,,2,2,1.0,1,2,3,0,1,0,0,0,4,0
0,Q2,Erick Dampier,242,0,0,,0,0,,0,0,,0,3,3,0,0,0,0,0,0,-7
0,H1,Erick Dampier,743,1,3,0.333,0,0,,2,2,1.0,1,5,6,0,1,0,0,0,4,-7
0,Q3,Erick Dampier,495,2,2,1.0,0,0,,2,3,0.667,0,3,3,1,0,1,0,1,6,4
0,Q4,Erick Dampier,
0,H2,Erick Dampier,495,2,2,1.0,0,0,,2,3,0.667,0,3,3,1,0,1,0,1,6,4
0,Q1,Jason Terry,366,0,2,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,0,0,0,13
0,Q2,Jason Terry,560,3,5,0.6,0,1,0.0,2,2,1.0,0,0,0,2,0,0,0,2,8,-2
0,H1,Jason Terry,926,3,7,0.429,0,2,0.0,2,2,1.0,0,0,0,3,0,0,0,2,8,11
0,Q3,Jason Terry,271,1,2,0.5,1,1,1.0,0,0,,0,0,0,0,0,0,0,0,3,-1
0,Q4,Jason Terry,720,1,3,0.333,0,0,,0,0,,0,1,1,2,0,0,0,1,2,-3
0,H2,Jason Terry,991,2,5,0.4,1,1,1.0,0,0,,0,1,1,2,0,0,0,1,5,-4
0,Q1,Josh Howard,286,1,3,0.333,0,1,0.0,2,2,1.0,1,2,3,1,0,0,1,0,4,9
0,Q2,Josh Howard,515,1,4,0.25,0,1,0.0,3,4,0.75,0,3,3,3,0,0,0,1,5,0
0,H1,Josh Howard,801,2,7,0.286,0,2,0.0,5,6,0.833,1,5,6,4,0,0,1,1,9,9
0,Q3,Josh Howard,271,1,2,0.5,0,0,,1,2,0.5,1,1,2,0,1,0,2,1,3,-1
0,Q4,Josh Howard,720,2,6,0.333,0,0,,1,2,0.5,0,1,1,0,0,0,0,1,5,-3
0,H2,Josh Howard,991,3,8,0.375,0,0,,2,4,0.5,1,2,3,0,1,0,2,2,8,-4
0,Q1,Drew Gooden,219,2,2,1.0,0,0,,0,0,,0,0,0,0,0,1,0,0,4,7
0,Q2,Drew Gooden,478,2,2,1.0,0,0,,2,4,0.5,0,0,0,0,0,0,0,2,6,3
0,H1,Drew Gooden,697,4,4,1.0,0,0,,2,4,0.5,0,0,0,0,0,1,0,2,10,10
0,Q3,Drew Gooden,225,1,1,1.0,0,0,,0,1,0.0,0,1,1,0,0,0,0,0,2,4
0,Q4,Drew Gooden,720,3,3,1.0,0,0,,1,2,0.5,3,6,9,0,0,0,2,0,7,-3
0,H2,Drew Gooden,945,4,4,1.0,0,0,,1,3,0.333,3,7,10,0,0,0,2,0,9,1
0,Q1,Rodrigue Beaubois,
0,Q2,Rodrigue Beaubois,
0,H1,Rodrigue Beaubois,
0,Q3,Rodrigue Beaubois,
0,Q4,Rodrigue Beaubois,
0,H2,Rodrigue Beaubois,
0,Q1,Kris Humphries,
0,Q2,Kris Humphries,
0,H1,Kris Humphries,
0,Q3,Kris Humphries,
0,Q4,Kris Humphries,
0,H2,Kris Humphries,
0,Q1,Quinton Ross,
0,Q2,Quinton Ross,
0,H1,Quinton Ross,
0,Q3,Quinton Ross,
0,Q4,Quinton Ross,
0,H2,Quinton Ross,
0,Q1,Tim Thomas,
0,Q2,Tim Thomas,
0,H1,Tim Thomas,
0,Q3,Tim Thomas,
0,Q4,Tim Thomas,
0,H2,Tim Thomas,
1,Q1,Nenê,501,1,3,0.333,0,0,,0,0,,0,2,2,0,0,0,1,2,2,0
1,Q2,Nenê,682,2,3,0.667,0,0,,1,1,1.0,0,2,2,0,0,0,0,0,5,6
1,H1,Nenê,1183,3,6,0.5,0,0,,1,1,1.0,0,4,4,0,0,0,1,2,7,6
1,Q3,Nenê,495,1,3,0.333,0,0,,4,4,1.0,0,1,1,1,1,0,0,0,6,-4
1,Q4,Nenê,720,0,0,,0,0,,0,0,,0,2,2,2,0,0,0,1,0,3
1,H2,Nenê,1215,1,3,0.333,0,0,,4,4,1.0,0,3,3,3,1,0,0,1,6,-1
1,Q1,Kenyon Martin,720,1,4,0.25,0,0,,1,2,0.5,0,1,1,0,0,0,1,1,3,-7
1,Q2,Kenyon Martin,381,3,4,0.75,0,0,,1,2,0.5,1,3,4,1,0,1,0,1,7,4
1,H1,Kenyon Martin,1101,4,8,0.5,0,0,,2,4,0.5,1,4,5,1,0,1,1,2,10,-3
1,Q3,Kenyon Martin,720,1,3,0.333,0,1,0.0,0,0,,0,2,2,0,0,0,0,0,2,-8
1,Q4,Kenyon Martin,442,2,5,0.4,0,0,,2,2,1.0,2,2,4,0,2,0,0,1,6,4
1,H2,Kenyon Martin,1162,3,8,0.375,0,1,0.0,2,2,1.0,2,4,6,0,2,0,0,1,8,-4
1,Q1,Arron Afflalo,635,3,3,1.0,2,2,1.0,0,0,,0,2,2,1,0,1,0,0,8,-5
1,Q2,Arron Afflalo,561,2,3,0.667,0,1,0.0,1,2,0.5,0,0,0,1,0,0,0,1,5,2
1,H1,Arron Afflalo,1196,5,6,0.833,2,3,0.667,1,2,0.5,0,2,2,2,0,1,0,1,13,-3
1,Q3,Arron Afflalo,720,0,2,0.0,0,0,,0,0,,1,0,1,1,0,0,1,2,0,-8
1,Q4,Arron Afflalo,327,0,2,0.0,0,2,0.0,0,0,,0,0,0,1,0,0,0,0,0,-6
1,H2,Arron Afflalo,1047,0,4,0.0,0,2,0.0,0,0,,1,0,1,2,0,0,1,2,0,-14
