Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,O.J. Mayo,720,1,3,0.333,0,0,,0,0,,0,1,1,3,1,0,1,0,2,-11
0,Q2,O.J. Mayo,541,3,4,0.75,0,1,0.0,1,1,1.0,0,3,3,1,1,0,0,0,7,-7
0,H1,O.J. Mayo,1261,4,7,0.571,0,1,0.0,1,1,1.0,0,4,4,4,2,0,1,0,9,-18
0,Q3,O.J. Mayo,720,3,7,0.429,0,1,0.0,1,2,0.5,1,0,1,2,1,0,0,1,7,5
0,Q4,O.J. Mayo,652,2,4,0.5,1,2,0.5,0,0,,1,2,3,0,0,0,1,0,5,-1
0,H2,O.J. Mayo,1372,5,11,0.455,1,3,0.333,1,2,0.5,2,2,4,2,1,0,1,1,12,4
0,Q1,Mike Conley,652,1,6,0.167,0,2,0.0,2,2,1.0,1,0,1,2,0,0,0,0,4,-5
0,Q2,Mike Conley,626,2,4,0.5,0,0,,0,0,,0,0,0,3,1,0,1,0,4,-6
0,H1,Mike Conley,1278,3,10,0.3,0,2,0.0,2,2,1.0,1,0,1,5,1,0,1,0,8,-11
0,Q3,Mike Conley,720,5,6,0.833,1,1,1.0,0,0,,0,0,0,2,1,0,4,1,11,5
0,Q4,Mike Conley,479,1,4,0.25,0,0,,0,0,,0,2,2,2,0,0,0,0,2,3
0,H2,Mike Conley,1199,6,10,0.6,1,1,1.0,0,0,,0,2,2,4,1,0,4,1,13,8
0,Q1,Rudy Gay,720,3,4,0.75,1,1,1.0,0,0,,0,0,0,0,1,0,0,0,7,-11
0,Q2,Rudy Gay,490,3,3,1.0,0,0,,3,4,0.75,1,1,2,0,0,0,0,1,9,-4
0,H1,Rudy Gay,1210,6,7,0.857,1,1,1.0,3,4,0.75,1,1,2,0,1,0,0,1,16,-15
0,Q3,Rudy Gay,598,1,3,0.333,0,1,0.0,3,4,0.75,2,5,7,0,0,1,0,3,5,9
0,Q4,Rudy Gay,411,2,2,1.0,0,0,,0,0,,1,0,1,0,0,0,0,1,4,3
0,H2,Rudy Gay,1009,3,5,0.6,0,1,0.0,3,4,0.75,3,5,8,0,0,1,0,4,9,12
0,Q1,Zach Randolph,680,2,6,0.333,0,0,,0,0,,1,2,3,0,0,0,1,1,4,-7
0,Q2,Zach Randolph,511,1,2,0.5,0,0,,3,4,0.75,0,0,0,0,0,0,2,1,5,-11
0,H1,Zach Randolph,1191,3,8,0.375,0,0,,3,4,0.75,1,2,3,0,0,0,3,2,9,-18
