Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,John Wall,553,1,3,0.333,0,0,,2,2,1.0,0,0,0,2,0,0,0,1,4,-12
0,Q2,John Wall,591,3,5,0.6,1,1,1.0,4,4,1.0,0,1,1,4,1,0,2,1,11,3
0,H1,John Wall,1144,4,8,0.5,1,1,1.0,6,6,1.0,0,1,1,6,1,0,2,2,15,-9
0,Q3,John Wall,513,1,3,0.333,1,3,0.333,0,0,,0,1,1,1,0,2,1,0,3,-3
0,Q4,John Wall,616,2,3,0.667,0,1,0.0,0,0,,0,3,3,7,0,1,0,1,4,-1
0,H2,John Wall,1129,3,6,0.5,1,4,0.25,0,0,,0,4,4,8,0,3,1,1,7,-4
0,Q1,Gilbert Arenas,720,3,7,0.429,2,4,0.5,0,0,,0,0,0,2,0,0,1,1,8,-13
0,Q2,Gilbert Arenas,324,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-7
0,H1,Gilbert Arenas,1044,3,7,0.429,2,4,0.5,0,0,,0,1,1,3,0,0,2,1,8,-20
0,Q3,Gilbert Arenas,720,3,5,0.6,0,1,0.0,5,5,1.0,0,1,1,0,2,0,4,1,11,10
0,Q4,Gilbert Arenas,492,2,5,0.4,0,3,0.0,0,0,,0,0,0,1,0,0,1,3,4,-2
0,H2,Gilbert Arenas,1212,5,10,0.5,0,4,0.0,5,5,1.0,0,1,1,1,2,0,5,4,15,8
0,Q1,Yi Jianlian,720,2,3,0.667,0,0,,1,2,0.5,0,1,1,0,0,0,0,1,5,-13
0,Q2,Yi Jianlian,305,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-7
0,H1,Yi Jianlian,1025,2,3,0.667,0,0,,1,2,0.5,0,1,1,0,0,0,0,2,5,-20
0,Q3,Yi Jianlian,513,0,0,,0,0,,2,3,0.667,0,3,3,0,0,0,2,0,2,-3
0,Q4,Yi Jianlian,10,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1
0,H2,Yi Jianlian,523,0,0,,0,0,,2,3,0.667,0,4,4,0,0,0,2,0,2,-4
0,Q1,JaVale McGee,454,0,1,0.0,0,0,,0,0,,1,1,2,0,0,1,0,1,0,-10
0,Q2,JaVale McGee,530,2,3,0.667,0,0,,1,2,0.5,1,1,2,1,0,0,0,2,5,-1
0,H1,JaVale McGee,984,2,4,0.5,0,0,,1,2,0.5,2,2,4,1,0,1,0,3,5,-11
0,Q3,JaVale McGee,188,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-1
0,Q4,JaVale McGee,90,0,0,,0,0,,0,0,,1,0,1,0,0,0,2,0,0,-4
0,H2,JaVale McGee,278,0,0,,0,0,,0,0,,1,1,2,0,0,0,2,1,0,-5
0,Q1,Al Thornton,539,1,3,0.333,0,1,0.0,0,0,,0,2,2,2,0,0,0,0,2,-12
0,Q2,Al Thornton,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
0,H1,Al Thornton,541,1,3,0.333,0,1,0.0,0,0,,0,2,2,2,0,0,0,0,2,-12
0,Q3,Al Thornton,381,0,2,0.0,0,1,0.0,0,0,,1,0,1,0,0,0,0,1,0,-4
0,Q4,Al Thornton,
0,H2,Al Thornton,381,0,2,0.0,0,1,0.0,0,0,,1,0,1,0,0,0,0,1,0,-4
0,Q1,Nick Young,181,2,3,0.667,0,1,0.0,0,0,,0,0,0,0,1,0,0,1,4,-1
0,Q2,Nick Young,694,5,6,0.833,3,3,1.0,2,2,1.0,0,0,0,1,1,0,1,1,15,0
0,H1,Nick Young,875,7,9,0.778,3,4,0.75,2,2,1.0,0,0,0,1,2,0,1,2,19,-1
0,Q3,Nick Young,339,2,3,0.667,2,2,1.0,2,2,1.0,0,2,2,0,1,1,0,0,8,14
0,Q4,Nick Young,720,1,6,0.167,1,5,0.2,0,0,,0,1,1,0,0,0,1,2,3,-4
0,H2,Nick Young,1059,3,9,0.333,3,7,0.429,2,2,1.0,0,3,3,0,1,1,1,2,11,10
0,Q1,Trevor Booker,
0,Q2,Trevor Booker,368,1,1,1.0,0,0,,0,0,,1,0,1,0,1,0,0,1,2,7
0,H1,Trevor Booker,368,1,1,1.0,0,0,,0,0,,1,0,1,0,1,0,0,1,2,7
0,Q3,Trevor Booker,207,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,0,1,2,13
0,Q4,Trevor Booker,710,5,7,0.714,0,0,,0,0,,2,0,2,0,1,0,0,3,10,-3
0,H2,Trevor Booker,917,6,8,0.75,0,0,,0,0,,2,1,3,0,1,0,0,4,12,10
0,Q1,Kirk Hinrich,167,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1
0,Q2,Kirk Hinrich,524,0,1,0.0,0,0,,0,0,,0,0,0,2,0,0,1,1,0,4
0,H1,Kirk Hinrich,691,0,2,0.0,0,0,,0,0,,0,1,1,2,0,0,1,1,0,3
0,Q3,Kirk Hinrich,207,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,13
0,Q4,Kirk Hinrich,332,1,2,0.5,1,1,1.0,0,0,,0,1,1,0,0,0,0,0,3,-5
0,H2,Kirk Hinrich,539,1,2,0.5,1,1,1.0,0,0,,0,1,1,1,0,0,0,0,3,8
0,Q1,Kevin Séraphin,
0,Q2,Kevin Séraphin,
0,H1,Kevin Séraphin,
0,Q3,Kevin Séraphin,532,0,2,0.0,0,0,,2,2,1.0,2,1,3,2,0,3,0,3,2,11
0,Q4,Kevin Séraphin,630,0,0,,0,0,,0,0,,0,1,1,0,1,1,0,2,0,0
0,H2,Kevin Séraphin,1162,0,2,0.0,0,0,,2,2,1.0,2,2,4,2,1,4,0,5,2,11
0,Q1,Hilton Armstrong,266,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,1,0,-3
0,Q2,Hilton Armstrong,236,0,0,,0,0,,0,2,0.0,0,0,0,0,0,0,0,0,0,1
0,H1,Hilton Armstrong,502,0,0,,0,0,,0,2,0.0,0,0,0,0,0,1,0,1,0,-2
0,Q3,Hilton Armstrong,
0,Q4,Hilton Armstrong,
0,H2,Hilton Armstrong,
