Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Josh Smith,519,2,5,0.4,0,0,,0,0,,1,1,2,1,1,2,1,0,4,1
0,Q2,Josh Smith,720,2,5,0.4,0,0,,2,3,0.667,0,3,3,4,1,0,0,0,6,1
0,H1,Josh Smith,1239,4,10,0.4,0,0,,2,3,0.667,1,4,5,5,2,2,1,0,10,2
0,Q3,Josh Smith,720,4,7,0.571,2,2,1.0,0,0,,2,4,6,0,0,1,2,2,10,5
0,Q4,Josh Smith,720,4,6,0.667,0,1,0.0,2,3,0.667,0,6,6,2,2,0,1,1,10,6
0,H2,Josh Smith,1440,8,13,0.615,2,3,0.667,2,3,0.667,2,10,12,2,2,1,3,3,20,11
0,Q1,Joe Johnson,647,0,3,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-14
0,Q2,Joe Johnson,435,1,3,0.333,1,3,0.333,0,0,,0,0,0,2,0,0,1,0,3,-2
0,H1,Joe Johnson,1082,1,6,0.167,1,4,0.25,0,0,,0,0,0,2,0,0,1,1,3,-16
0,Q3,Joe Johnson,489,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,1,0,0,0,0,0
0,Q4,Joe Johnson,602,1,3,0.333,0,0,,1,1,1.0,0,0,0,0,0,0,1,0,3,3
0,H2,Joe Johnson,1091,1,4,0.25,0,1,0.0,1,1,1.0,0,0,0,1,1,0,1,0,3,3
0,Q1,Zaza Pachulia,666,2,2,1.0,0,0,,0,1,0.0,0,1,1,0,0,0,1,1,4,-14
0,Q2,Zaza Pachulia,475,2,4,0.5,0,0,,0,0,,2,0,2,0,0,1,0,0,4,-3
0,H1,Zaza Pachulia,1141,4,6,0.667,0,0,,0,1,0.0,2,1,3,0,0,1,1,1,8,-17
0,Q3,Zaza Pachulia,720,2,2,1.0,0,0,,3,3,1.0,0,1,1,0,1,1,1,2,7,5
0,Q4,Zaza Pachulia,172,0,1,0.0,0,0,,0,0,,0,0,0,0,1,0,1,1,0,-1
0,H2,Zaza Pachulia,892,2,3,0.667,0,0,,3,3,1.0,0,1,1,0,2,1,2,3,7,4
0,Q1,Jeff Teague,519,4,6,0.667,1,2,0.5,0,0,,0,1,1,2,0,0,0,1,9,-7
0,Q2,Jeff Teague,452,1,2,0.5,1,1,1.0,0,0,,0,0,0,1,1,0,0,1,3,0
0,H1,Jeff Teague,971,5,8,0.625,2,3,0.667,0,0,,0,1,1,3,1,0,0,2,12,-7
0,Q3,Jeff Teague,439,2,4,0.5,0,0,,0,0,,0,0,0,2,1,0,1,0,4,0
0,Q4,Jeff Teague,
0,H2,Jeff Teague,439,2,4,0.5,0,0,,0,0,,0,0,0,2,1,0,1,0,4,0
0,Q1,Marvin Williams,540,1,2,0.5,0,0,,0,0,,0,2,2,1,1,0,0,0,2,1
0,Q2,Marvin Williams,323,1,3,0.333,0,0,,0,0,,0,0,0,0,0,0,0,0,2,5
0,H1,Marvin Williams,863,2,5,0.4,0,0,,0,0,,0,2,2,1,1,0,0,0,4,6
0,Q3,Marvin Williams,311,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,0,0,-4
0,Q4,Marvin Williams,
0,H2,Marvin Williams,311,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,0,0,-4
0,Q1,Willie Green,255,0,2,0.0,0,2,0.0,2,2,1.0,0,0,0,0,0,0,0,1,2,-7
0,Q2,Willie Green,682,2,2,1.0,2,2,1.0,0,0,,1,0,1,1,2,0,2,2,6,-1
0,H1,Willie Green,937,2,4,0.5,2,4,0.5,2,2,1.0,1,0,1,1,2,0,2,3,8,-8
0,Q3,Willie Green,409,1,1,1.0,1,1,1.0,2,2,1.0,0,2,2,0,0,0,0,0,5,9
0,Q4,Willie Green,720,2,3,0.667,1,1,1.0,2,2,1.0,0,1,1,0,1,0,1,2,7,6
0,H2,Willie Green,1129,3,4,0.75,2,2,1.0,4,4,1.0,0,3,3,0,1,0,1,2,12,15
0,Q1,Kirk Hinrich,201,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
0,Q2,Kirk Hinrich,268,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,1,0,0,0,2,1
0,H1,Kirk Hinrich,469,1,4,0.25,0,1,0.0,0,0,,0,0,0,0,1,0,0,0,2,-2
0,Q3,Kirk Hinrich,281,0,1,0.0,0,0,,0,0,,0,1,1,2,0,0,0,0,0,5
0,Q4,Kirk Hinrich,720,1,3,0.333,0,0,,1,1,1.0,0,0,0,1,0,0,0,2,3,6
0,H2,Kirk Hinrich,1001,1,4,0.25,0,0,,1,1,1.0,0,1,1,3,0,0,0,2,3,11
0,Q1,Vladimir Radmanović,
0,Q2,Vladimir Radmanović,
0,H1,Vladimir Radmanović,
0,Q3,Vladimir Radmanović,231,0,2,0.0,0,2,0.0,0,0,,0,1,1,0,0,0,1,1,0,5
0,Q4,Vladimir Radmanović,666,2,2,1.0,1,1,1.0,0,0,,0,0,0,1,0,0,0,2,5,10
0,H2,Vladimir Radmanović,897,2,4,0.5,1,3,0.333,0,0,,0,1,1,1,0,0,1,3,5,15
0,Q1,Ivan Johnson,253,0,1,0.0,0,0,,0,0,,0,1,1,0,1,0,0,0,0,-7
0,Q2,Ivan Johnson,142,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
0,H1,Ivan Johnson,395,0,1,0.0,0,0,,0,0,,0,1,1,0,1,0,0,0,0,-8
0,Q3,Ivan Johnson,
0,Q4,Ivan Johnson,
0,H2,Ivan Johnson,
0,Q1,Erick Dampier,
0,Q2,Erick Dampier,103,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,5
0,H1,Erick Dampier,103,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,5
0,Q3,Erick Dampier,
0,Q4,Erick Dampier,
0,H2,Erick Dampier,
0,Q1,Tracy McGrady,
0,Q2,Tracy McGrady,
0,H1,Tracy McGrady,
0,Q3,Tracy McGrady,
0,Q4,Tracy McGrady,
0,H2,Tracy McGrady,
0,Q1,Jannero Pargo,
0,Q2,Jannero Pargo,
0,H1,Jannero Pargo,
0,Q3,Jannero Pargo,
0,Q4,Jannero Pargo,
0,H2,Jannero Pargo,
0,Q1,Jerry Stackhouse,
0,Q2,Jerry Stackhouse,
0,H1,Jerry Stackhouse,
0,Q3,Jerry Stackhouse,
0,Q4,Jerry Stackhouse,
0,H2,Jerry Stackhouse,
1,Q1,Steve Nash,519,2,4,0.5,0,0,,3,3,1.0,0,1,1,5,0,0,2,0,7,7
1,Q2,Steve Nash,553,3,4,0.75,1,1,1.0,1,2,0.5,0,0,0,3,0,0,1,0,8,1
1,H1,Steve Nash,1072,5,8,0.625,1,1,1.0,4,5,0.8,0,1,1,8,0,0,3,0,15,8
1,Q3,Steve Nash,691,0,1,0.0,0,1,0.0,0,0,,0,3,3,5,1,0,0,0,0,-3
1,Q4,Steve Nash,589,2,5,0.4,0,2,0.0,3,3,1.0,0,0,0,3,0,0,1,0,7,-5
1,H2,Steve Nash,1280,2,6,0.333,0,3,0.0,3,3,1.0,0,3,3,8,1,0,1,0,7,-8
1,Q1,Grant Hill,697,4,5,0.8,1,1,1.0,0,0,,0,2,2,0,0,0,1,1,9,10
1,Q2,Grant Hill,435,1,1,1.0,0,0,,1,2,0.5,0,2,2,2,1,0,1,0,3,2
1,H1,Grant Hill,1132,5,6,0.833,1,1,1.0,1,2,0.5,0,4,4,2,1,0,2,1,12,12
1,Q3,Grant Hill,507,2,4,0.5,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,4,0
1,Q4,Grant Hill,589,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-5
1,H2,Grant Hill,1096,3,5,0.6,0,1,0.0,0,0,,0,2,2,0,0,0,0,0,6,-5
1,Q1,Marcin Gortat,720,3,5,0.6,0,0,,0,0,,3,1,4,1,0,0,0,0,6,10
1,Q2,Marcin Gortat,385,0,1,0.0,0,0,,0,0,,0,2,2,0,1,1,0,0,0,5
1,H1,Marcin Gortat,1105,3,6,0.5,0,0,,0,0,,3,3,6,1,1,1,0,0,6,15
1,Q3,Marcin Gortat,720,2,5,0.4,0,0,,3,4,0.75,0,0,0,0,2,1,0,0,7,-5
1,Q4,Marcin Gortat,284,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6
1,H2,Marcin Gortat,1004,2,6,0.333,0,0,,3,4,0.75,0,0,0,0,2,1,0,0,7,-11
1,Q1,Jared Dudley,519,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,7
1,Q2,Jared Dudley,475,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,0,0,2,3
1,H1,Jared Dudley,994,2,2,1.0,0,0,,0,0,,0,1,1,0,0,0,0,0,4,10
1,Q3,Jared Dudley,439,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,0,0,1,0,3,0
1,Q4,Jared Dudley,578,1,2,0.5,1,2,0.5,1,2,0.5,0,2,2,0,0,0,1,1,4,-5
1,H2,Jared Dudley,1017,2,4,0.5,2,4,0.5,1,2,0.5,0,2,2,0,0,0,2,1,7,-5
1,Q1,Channing Frye,519,1,3,0.333,0,1,0.0,0,0,,0,4,4,1,1,1,0,1,2,7
1,Q2,Channing Frye,553,2,2,1.0,1,1,1.0,0,0,,0,1,1,1,0,1,1,0,5,1
1,H1,Channing Frye,1072,3,5,0.6,1,2,0.5,0,0,,0,5,5,2,1,2,1,1,7,8
1,Q3,Channing Frye,311,1,3,0.333,0,0,,0,0,,1,1,2,0,0,0,1,1,2,4
1,Q4,Channing Frye,589,2,5,0.4,0,1,0.0,0,0,,1,3,4,0,0,0,0,1,4,-5
1,H2,Channing Frye,900,3,8,0.375,0,1,0.0,0,0,,2,4,6,0,0,0,1,2,6,-1
1,Q1,Markieff Morris,201,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,3
1,Q2,Markieff Morris,167,1,1,1.0,0,0,,0,0,,0,0,0,0,1,0,0,2,2,-2
1,H1,Markieff Morris,368,1,1,1.0,0,0,,0,0,,0,1,1,0,1,1,0,2,2,1
1,Q3,Markieff Morris,409,1,2,0.5,1,1,1.0,0,0,,0,1,1,0,0,0,1,2,3,-9
1,Q4,Markieff Morris,427,0,0,,0,0,,3,4,0.75,0,3,3,0,0,0,0,2,3,-2
1,H2,Markieff Morris,836,1,2,0.5,1,1,1.0,3,4,0.75,0,4,4,0,0,0,1,4,6,-11
1,Q1,Michael Redd,201,2,4,0.5,0,1,0.0,1,1,1.0,0,2,2,0,0,0,1,1,5,3
1,Q2,Michael Redd,245,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-4
1,H1,Michael Redd,446,2,4,0.5,0,1,0.0,1,1,1.0,0,3,3,0,0,0,2,1,5,-1
1,Q3,Michael Redd,281,1,4,0.25,0,2,0.0,0,0,,0,0,0,1,0,0,0,0,2,-5
1,Q4,Michael Redd,152,0,0,,0,0,,2,2,1.0,0,0,0,0,0,0,1,0,2,1
1,H2,Michael Redd,433,1,4,0.25,0,2,0.0,2,2,1.0,0,0,0,1,0,0,1,0,4,-4
1,Q1,Josh Childress,23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1,Q2,Josh Childress,285,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,-3
1,H1,Josh Childress,308,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,-3
1,Q3,Josh Childress,213,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-5
1,Q4,Josh Childress,131,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
1,H2,Josh Childress,344,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-6
1,Q1,Robin Lopez,
1,Q2,Robin Lopez,335,2,2,1.0,0,0,,1,4,0.25,0,0,0,0,0,0,2,2,5,-6
1,H1,Robin Lopez,335,2,2,1.0,0,0,,1,4,0.25,0,0,0,0,0,0,2,2,5,-6
1,Q3,Robin Lopez,
1,Q4,Robin Lopez,131,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1
1,H2,Robin Lopez,131,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1
1,Q1,Sebastian Telfair,201,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,3
1,Q2,Sebastian Telfair,167,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-2
1,H1,Sebastian Telfair,368,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,2,0,1
1,Q3,Sebastian Telfair,
1,Q4,Sebastian Telfair,
1,H2,Sebastian Telfair,
1,Q1,Ronnie Price,
1,Q2,Ronnie Price,
1,H1,Ronnie Price,
1,Q3,Ronnie Price,29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
1,Q4,Ronnie Price,131,0,0,,0,0,,0,0,,0,0,0,0,1,0,3,0,0,-1
1,H2,Ronnie Price,160,0,0,,0,0,,0,0,,0,0,0,0,1,0,3,0,0,-3
1,Q1,Shannon Brown,
1,Q2,Shannon Brown,
1,H1,Shannon Brown,
1,Q3,Shannon Brown,
1,Q4,Shannon Brown,
1,H2,Shannon Brown,
1,Q1,Hakim Warrick,
1,Q2,Hakim Warrick,
1,H1,Hakim Warrick,
1,Q3,Hakim Warrick,
1,Q4,Hakim Warrick,
1,H2,Hakim Warrick,
