Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Trevor Ariza,720,3,4,0.75,2,2,1.0,0,0,,1,4,5,1,0,2,0,0,8,14
0,Q2,Trevor Ariza,530,2,5,0.4,0,1,0.0,0,0,,0,1,1,0,2,0,0,0,4,-6
0,H1,Trevor Ariza,1250,5,9,0.556,2,3,0.667,0,0,,1,5,6,1,2,2,0,0,12,8
0,Q3,Trevor Ariza,720,3,6,0.5,2,2,1.0,0,0,,1,0,1,0,0,0,1,0,8,6
0,Q4,Trevor Ariza,720,2,5,0.4,0,2,0.0,1,1,1.0,0,1,1,0,1,0,1,0,5,-6
0,H2,Trevor Ariza,1440,5,11,0.455,2,4,0.5,1,1,1.0,1,1,2,0,1,0,2,0,13,0
0,Q1,Chris Kaman,720,3,4,0.75,0,0,,4,4,1.0,0,2,2,2,0,0,1,1,10,14
0,Q2,Chris Kaman,419,0,3,0.0,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-8
0,H1,Chris Kaman,1139,3,7,0.429,0,0,,4,4,1.0,0,2,2,3,0,0,1,2,10,6
0,Q3,Chris Kaman,660,0,4,0.0,0,0,,0,0,,0,3,3,2,0,0,0,0,0,6
0,Q4,Chris Kaman,440,0,1,0.0,0,0,,2,2,1.0,1,2,3,1,0,0,1,1,2,2
0,H2,Chris Kaman,1100,0,5,0.0,0,0,,2,2,1.0,1,5,6,3,0,0,1,1,2,8
0,Q1,Marco Belinelli,512,2,3,0.667,1,1,1.0,0,0,,0,0,0,1,3,0,0,2,5,6
0,Q2,Marco Belinelli,326,1,3,0.333,0,0,,0,0,,1,0,1,0,0,0,0,0,2,-6
0,H1,Marco Belinelli,838,3,6,0.5,1,1,1.0,0,0,,1,0,1,1,3,0,0,2,7,0
0,Q3,Marco Belinelli,660,2,6,0.333,0,2,0.0,0,0,,0,0,0,0,0,0,0,0,4,6
0,Q4,Marco Belinelli,609,2,2,1.0,0,0,,2,2,1.0,0,0,0,0,0,0,1,1,6,-6
0,H2,Marco Belinelli,1269,4,8,0.5,0,2,0.0,2,2,1.0,0,0,0,0,0,0,1,1,10,0
0,Q1,Greivis Vásquez,400,0,1,0.0,0,0,,0,0,,0,0,0,3,0,0,2,1,0,7
0,Q2,Greivis Vásquez,242,3,4,0.75,1,1,1.0,0,0,,0,1,1,1,0,0,0,1,7,0
0,H1,Greivis Vásquez,642,3,5,0.6,1,1,1.0,0,0,,0,1,1,4,0,0,2,2,7,7
0,Q3,Greivis Vásquez,720,1,2,0.5,1,1,1.0,4,4,1.0,0,0,0,5,1,0,0,1,7,6
0,Q4,Greivis Vásquez,586,0,2,0.0,0,0,,1,2,0.5,0,0,0,2,1,0,1,1,1,-3
0,H2,Greivis Vásquez,1306,1,4,0.25,1,1,1.0,5,6,0.833,0,0,0,7,2,0,1,2,8,3
0,Q1,Gustavo Ayón,451,1,3,0.333,0,0,,0,2,0.0,0,2,2,0,1,0,0,2,2,7
