Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,LeBron James,720,7,10,0.7,0,0,,0,1,0.0,2,0,2,5,0,0,0,0,14,13
0,Q2,LeBron James,381,1,1,1.0,0,0,,2,2,1.0,0,3,3,3,0,1,1,0,4,15
0,H1,LeBron James,1101,8,11,0.727,0,0,,2,3,0.667,2,3,5,8,0,1,1,0,18,28
0,Q3,LeBron James,720,3,5,0.6,0,0,,0,1,0.0,0,1,1,0,0,1,0,0,6,-14
0,Q4,LeBron James,474,1,4,0.25,0,2,0.0,3,4,0.75,0,1,1,0,2,0,0,0,5,-4
0,H2,LeBron James,1194,4,9,0.444,0,2,0.0,3,5,0.6,0,2,2,0,2,1,0,0,11,-18
0,Q1,Dwyane Wade,493,1,4,0.25,0,0,,0,0,,0,4,4,5,1,1,1,0,2,14
0,Q2,Dwyane Wade,570,3,5,0.6,0,0,,0,0,,0,5,5,1,0,0,2,2,6,9
0,H1,Dwyane Wade,1063,4,9,0.444,0,0,,0,0,,0,9,9,6,1,1,3,2,8,23
0,Q3,Dwyane Wade,488,2,4,0.5,0,1,0.0,0,0,,0,0,0,0,1,0,0,0,4,-6
0,Q4,Dwyane Wade,720,0,3,0.0,0,1,0.0,0,2,0.0,0,2,2,0,0,1,1,0,0,-7
0,H2,Dwyane Wade,1208,2,7,0.286,0,2,0.0,0,2,0.0,0,2,2,0,1,1,1,0,4,-13
0,Q1,Chris Bosh,493,2,3,0.667,0,0,,2,2,1.0,0,1,1,1,0,0,0,0,6,14
0,Q2,Chris Bosh,401,1,2,0.5,0,0,,0,1,0.0,1,2,3,0,0,0,1,0,2,1
0,H1,Chris Bosh,894,3,5,0.6,0,0,,2,3,0.667,1,3,4,1,0,0,1,0,8,15
0,Q3,Chris Bosh,485,1,5,0.2,0,0,,0,0,,0,0,0,1,0,0,0,0,2,-6
0,Q4,Chris Bosh,720,0,2,0.0,0,0,,0,0,,0,2,2,0,0,0,2,1,0,-7
0,H2,Chris Bosh,1205,1,7,0.143,0,0,,0,0,,0,2,2,1,0,0,2,1,2,-13
0,Q1,Mario Chalmers,591,2,2,1.0,1,1,1.0,0,0,,0,1,1,1,0,0,1,2,5,14
0,Q2,Mario Chalmers,358,1,3,0.333,1,2,0.5,0,0,,0,3,3,0,0,0,0,0,3,13
