Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Blake Griffin,720,3,7,0.429,0,0,,0,0,,3,2,5,1,1,0,0,1,6,6
0,Q2,Blake Griffin,329,1,4,0.25,0,0,,2,4,0.5,0,2,2,0,0,0,0,1,4,-4
0,H1,Blake Griffin,1049,4,11,0.364,0,0,,2,4,0.5,3,4,7,1,1,0,0,2,10,2
0,Q3,Blake Griffin,597,2,5,0.4,0,0,,2,5,0.4,2,0,2,1,1,0,2,0,6,0
0,Q4,Blake Griffin,518,1,3,0.333,0,0,,3,4,0.75,1,1,2,0,0,0,0,2,5,-5
0,H2,Blake Griffin,1115,3,8,0.375,0,0,,5,9,0.556,3,1,4,1,1,0,2,2,11,-5
0,Q1,Chris Paul,626,2,5,0.4,1,2,0.5,0,0,,0,0,0,5,0,0,1,2,5,2
0,Q2,Chris Paul,348,1,1,1.0,0,0,,4,4,1.0,0,0,0,1,1,0,0,1,6,-5
0,H1,Chris Paul,974,3,6,0.5,1,2,0.5,4,4,1.0,0,0,0,6,1,0,1,3,11,-3
0,Q3,Chris Paul,697,2,4,0.5,0,1,0.0,1,1,1.0,0,0,0,2,0,0,0,0,5,1
0,Q4,Chris Paul,401,0,4,0.0,0,2,0.0,0,0,,0,0,0,1,1,0,0,2,0,-3
0,H2,Chris Paul,1098,2,8,0.25,0,3,0.0,1,1,1.0,0,0,0,3,1,0,0,2,5,-2
0,Q1,Nick Young,720,2,3,0.667,1,2,0.5,0,0,,1,1,2,0,0,0,1,1,5,6
0,Q2,Nick Young,192,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
0,H1,Nick Young,912,2,3,0.667,1,2,0.5,0,0,,1,1,2,0,0,0,1,1,5,3
0,Q3,Nick Young,465,1,2,0.5,0,1,0.0,0,0,,0,1,1,0,0,0,0,2,2,4
0,Q4,Nick Young,409,0,2,0.0,0,2,0.0,0,0,,0,0,0,0,0,0,2,0,0,-9
0,H2,Nick Young,874,1,4,0.25,0,3,0.0,0,0,,0,1,1,0,0,0,2,2,2,-5
0,Q1,Caron Butler,522,2,5,0.4,1,2,0.5,0,0,,1,0,1,1,1,0,1,0,5,2
0,Q2,Caron Butler,329,0,2,0.0,0,0,,0,0,,1,2,3,0,0,0,0,1,0,-4
0,H1,Caron Butler,851,2,7,0.286,1,2,0.5,0,0,,2,2,4,1,1,0,1,1,5,-2
