Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Anthony Davis,538,3,3,1.0,0,0,,2,2,1.0,0,2,2,0,0,0,1,1,8,-2
0,Q2,Anthony Davis,273,0,2,0.0,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-13
0,H1,Anthony Davis,811,3,5,0.6,0,0,,2,2,1.0,1,2,3,0,0,0,2,1,8,-15
0,Q3,Anthony Davis,604,3,3,1.0,0,0,,4,5,0.8,1,2,3,0,0,0,1,2,10,-4
0,Q4,Anthony Davis,479,4,5,0.8,0,0,,2,2,1.0,2,3,5,1,0,0,1,1,10,2
0,H2,Anthony Davis,1083,7,8,0.875,0,0,,6,7,0.857,3,5,8,1,0,0,2,3,20,-2
0,Q1,Al-Farouq Aminu,538,1,1,1.0,0,0,,0,0,,0,2,2,1,0,1,0,2,2,-2
0,Q2,Al-Farouq Aminu,187,1,1,1.0,1,1,1.0,0,0,,0,1,1,1,0,0,1,1,3,3
0,H1,Al-Farouq Aminu,725,2,2,1.0,1,1,1.0,0,0,,0,3,3,2,0,1,1,3,5,1
0,Q3,Al-Farouq Aminu,720,2,5,0.4,0,0,,0,0,,1,2,3,2,1,0,2,1,4,2
0,Q4,Al-Farouq Aminu,442,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,0,0,1
0,H2,Al-Farouq Aminu,1162,2,5,0.4,0,0,,0,0,,1,4,5,2,1,0,3,1,4,3
0,Q1,Greivis Vásquez,386,1,2,0.5,0,0,,0,0,,0,0,0,4,0,0,1,2,2,-3
0,Q2,Greivis Vásquez,71,2,2,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,0,1,5,5
0,H1,Greivis Vásquez,457,3,4,0.75,1,1,1.0,0,0,,0,0,0,4,0,0,1,3,7,2
0,Q3,Greivis Vásquez,720,2,6,0.333,1,2,0.5,1,1,1.0,0,1,1,6,0,0,1,0,6,2
0,Q4,Greivis Vásquez,632,0,6,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,1,2,0,-3
0,H2,Greivis Vásquez,1352,2,12,0.167,1,3,0.333,1,1,1.0,0,2,2,7,0,0,2,2,6,-1
0,Q1,Austin Rivers,439,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-6
0,Q2,Austin Rivers,543,0,1,0.0,0,1,0.0,6,6,1.0,0,0,0,1,1,0,1,0,6,-4
0,H1,Austin Rivers,982,0,2,0.0,0,1,0.0,6,6,1.0,0,0,0,2,1,0,2,0,6,-10
0,Q3,Austin Rivers,358,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
0,Q4,Austin Rivers,
0,H2,Austin Rivers,358,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
0,Q1,Robin Lopez,439,3,3,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,6,-6
0,Q2,Robin Lopez,325,1,1,1.0,0,0,,0,0,,0,2,2,1,0,1,0,0,2,6
0,H1,Robin Lopez,764,4,4,1.0,0,0,,0,0,,0,2,2,1,0,1,0,0,8,0
0,Q3,Robin Lopez,380,0,0,,0,0,,0,0,,1,0,1,2,0,0,0,1,0,-3
0,Q4,Robin Lopez,
0,H2,Robin Lopez,380,0,0,,0,0,,0,0,,1,0,1,2,0,0,0,1,0,-3
0,Q1,Roger Mason,281,0,0,,0,0,,0,0,,0,1,1,2,0,0,0,0,0,8
0,Q2,Roger Mason,395,1,3,0.333,0,1,0.0,0,0,,0,0,0,0,0,0,1,0,2,-10
0,H1,Roger Mason,676,1,3,0.333,0,1,0.0,0,0,,0,1,1,2,0,0,1,0,2,-2
0,Q3,Roger Mason,362,2,2,1.0,2,2,1.0,0,0,,0,0,0,0,0,0,0,1,6,3
0,Q4,Roger Mason,720,1,3,0.333,0,1,0.0,0,0,,0,1,1,0,2,0,0,2,2,-4
0,H2,Roger Mason,1082,3,5,0.6,2,3,0.667,0,0,,0,1,1,0,2,0,0,3,8,-1
0,Q1,Ryan Anderson,281,0,1,0.0,0,1,0.0,0,0,,0,2,2,0,0,0,0,0,0,8
0,Q2,Ryan Anderson,410,2,3,0.667,1,2,0.5,0,0,,0,0,0,0,0,0,0,1,5,-10
0,H1,Ryan Anderson,691,2,4,0.5,1,3,0.333,0,0,,0,2,2,0,0,0,0,1,5,-2
0,Q3,Ryan Anderson,340,2,3,0.667,1,2,0.5,0,0,,0,0,0,1,0,0,1,0,5,5
0,Q4,Ryan Anderson,720,4,9,0.444,2,4,0.5,0,0,,2,0,2,1,0,0,2,3,10,-4
0,H2,Ryan Anderson,1060,6,12,0.5,3,6,0.5,0,0,,2,0,2,2,0,0,3,3,15,1
0,Q1,Darius Miller,182,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,0,0,0,0,3,4
0,Q2,Darius Miller,533,0,1,0.0,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-7
0,H1,Darius Miller,715,1,2,0.5,1,1,1.0,0,0,,0,3,3,0,0,0,0,1,3,-3
0,Q3,Darius Miller,
0,Q4,Darius Miller,278,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,-5
0,H2,Darius Miller,278,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,-5
0,Q1,Jason Smith,182,0,2,0.0,0,0,,2,2,1.0,0,1,1,0,0,0,0,0,2,4
0,Q2,Jason Smith,432,1,1,1.0,0,0,,2,2,1.0,0,1,1,1,0,0,0,2,4,9
0,H1,Jason Smith,614,1,3,0.333,0,0,,4,4,1.0,0,2,2,1,0,0,0,2,6,13
0,Q3,Jason Smith,116,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,6
0,Q4,Jason Smith,241,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-6
0,H2,Jason Smith,357,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,0,0,2,0
