Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Anderson Varejão,720,4,5,0.8,0,0,,1,2,0.5,2,5,7,1,1,1,0,1,9,3
0,Q2,Anderson Varejão,458,1,2,0.5,0,0,,0,0,,1,4,5,2,1,0,1,1,2,0
0,H1,Anderson Varejão,1178,5,7,0.714,0,0,,1,2,0.5,3,9,12,3,2,1,1,2,11,3
0,Q3,Anderson Varejão,720,2,3,0.667,0,0,,0,0,,3,4,7,0,0,0,1,0,4,2
0,Q4,Anderson Varejão,339,0,1,0.0,0,1,0.0,0,0,,2,1,3,0,0,0,1,0,0,-8
0,H2,Anderson Varejão,1059,2,4,0.5,0,1,0.0,0,0,,5,5,10,0,0,0,2,0,4,-6
0,Q1,Dion Waiters,720,2,3,0.667,0,0,,2,2,1.0,0,0,0,2,1,0,0,0,6,3
0,Q2,Dion Waiters,340,0,4,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
0,H1,Dion Waiters,1060,2,7,0.286,0,0,,2,2,1.0,0,0,0,2,1,0,0,0,6,0
0,Q3,Dion Waiters,720,3,6,0.5,0,0,,3,4,0.75,0,0,0,1,2,0,1,0,9,2
0,Q4,Dion Waiters,339,0,3,0.0,0,2,0.0,0,0,,0,0,0,0,1,0,1,1,0,-8
0,H2,Dion Waiters,1059,3,9,0.333,0,2,0.0,3,4,0.75,0,0,0,1,3,0,2,1,9,-6
0,Q1,Alonzo Gee,590,1,4,0.25,1,1,1.0,0,0,,0,0,0,0,0,0,0,0,3,-1
0,Q2,Alonzo Gee,340,0,2,0.0,0,1,0.0,0,0,,0,2,2,0,0,0,1,1,0,-3
0,H1,Alonzo Gee,930,1,6,0.167,1,2,0.5,0,0,,0,2,2,0,0,0,1,1,3,-4
0,Q3,Alonzo Gee,720,2,4,0.5,0,0,,0,0,,1,0,1,1,0,0,1,2,4,2
0,Q4,Alonzo Gee,339,1,1,1.0,0,0,,0,0,,1,1,2,0,0,0,0,1,2,-8
0,H2,Alonzo Gee,1059,3,5,0.6,0,0,,0,0,,2,1,3,1,0,0,1,3,6,-6
0,Q1,Tristan Thompson,400,1,2,0.5,0,0,,0,0,,0,0,0,0,1,0,0,1,2,-5
0,Q2,Tristan Thompson,489,3,4,0.75,0,0,,0,0,,2,0,2,0,0,0,1,2,6,4
0,H1,Tristan Thompson,889,4,6,0.667,0,0,,0,0,,2,0,2,0,1,0,1,3,8,-1
0,Q3,Tristan Thompson,334,0,0,,0,0,,1,2,0.5,0,1,1,0,0,1,0,0,1,3
0,Q4,Tristan Thompson,720,0,1,0.0,0,0,,0,0,,1,1,2,0,1,1,2,2,0,-13
0,H2,Tristan Thompson,1054,0,1,0.0,0,0,,1,2,0.5,1,2,3,0,1,2,2,2,1,-10
0,Q1,Jeremy Pargo,400,1,3,0.333,0,0,,0,0,,0,1,1,1,0,0,1,0,2,-5
0,Q2,Jeremy Pargo,720,2,3,0.667,1,2,0.5,0,0,,0,0,0,1,0,0,1,0,5,2
0,H1,Jeremy Pargo,1120,3,6,0.5,1,2,0.5,0,0,,0,1,1,2,0,0,2,0,7,-3
0,Q3,Jeremy Pargo,334,0,1,0.0,0,0,,0,0,,0,0,0,0,1,0,0,0,0,3
0,Q4,Jeremy Pargo,381,1,5,0.2,0,2,0.0,0,0,,1,0,1,1,0,0,1,0,2,-5
0,H2,Jeremy Pargo,715,1,6,0.167,0,2,0.0,0,0,,1,0,1,1,1,0,1,0,2,-2
0,Q1,Daniel Gibson,320,1,2,0.5,1,1,1.0,0,0,,0,0,0,1,0,0,0,0,3,8
0,Q2,Daniel Gibson,380,0,0,,0,0,,3,3,1.0,0,0,0,0,0,0,0,1,3,5
0,H1,Daniel Gibson,700,1,2,0.5,1,1,1.0,3,3,1.0,0,0,0,1,0,0,0,1,6,13
0,Q3,Daniel Gibson,386,0,2,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,0,1,0,-1
0,Q4,Daniel Gibson,720,2,6,0.333,1,3,0.333,0,0,,0,1,1,0,1,0,0,0,5,-13
0,H2,Daniel Gibson,1106,2,8,0.25,1,4,0.25,0,0,,0,1,1,1,1,0,0,1,5,-14
0,Q1,Omri Casspi,130,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,1,2,4
0,Q2,Omri Casspi,380,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,5
0,H1,Omri Casspi,510,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,0,2,2,9
0,Q3,Omri Casspi,
0,Q4,Omri Casspi,381,0,2,0.0,0,2,0.0,0,0,,0,0,0,0,0,1,0,0,0,-5
0,H2,Omri Casspi,381,0,2,0.0,0,2,0.0,0,0,,0,0,0,0,0,1,0,0,0,-5
0,Q1,Tyler Zeller,320,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,8
0,Q2,Tyler Zeller,262,0,1,0.0,0,0,,0,0,,0,2,2,0,0,0,1,2,0,2
0,H1,Tyler Zeller,582,0,1,0.0,0,0,,0,0,,0,3,3,0,0,0,1,3,0,10
0,Q3,Tyler Zeller,221,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-5
0,Q4,Tyler Zeller,
0,H2,Tyler Zeller,221,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-5
0,Q1,Samardo Samuels,
0,Q2,Samardo Samuels,231,2,2,1.0,0,0,,0,0,,0,0,0,0,0,0,2,0,4,-2
0,H1,Samardo Samuels,231,2,2,1.0,0,0,,0,0,,0,0,0,0,0,0,2,0,4,-2
0,Q3,Samardo Samuels,165,1,2,0.5,0,0,,2,2,1.0,0,0,0,0,0,0,0,0,4,4
0,Q4,Samardo Samuels,381,0,1,0.0,0,0,,0,0,,0,1,1,0,0,1,0,2,0,-5
0,H2,Samardo Samuels,546,1,3,0.333,0,0,,2,2,1.0,0,1,1,0,0,1,0,2,4,-1
0,Q1,Jon Leuer,
0,Q2,Jon Leuer,
0,H1,Jon Leuer,
0,Q3,Jon Leuer,
0,Q4,Jon Leuer,
0,H2,Jon Leuer,
0,Q1,C.J. Miles,
0,Q2,C.J. Miles,
0,H1,C.J. Miles,
0,Q3,C.J. Miles,
0,Q4,C.J. Miles,
0,H2,C.J. Miles,
0,Q1,Donald Sloan,
0,Q2,Donald Sloan,
0,H1,Donald Sloan,
0,Q3,Donald Sloan,
0,Q4,Donald Sloan,
0,H2,Donald Sloan,
0,Q1,Luke Walton,
0,Q2,Luke Walton,
0,H1,Luke Walton,
0,Q3,Luke Walton,
0,Q4,Luke Walton,
0,H2,Luke Walton,
1,Q1,Rudy Gay,720,3,3,1.0,1,1,1.0,1,2,0.5,0,2,2,2,0,0,0,0,8,-3
1,Q2,Rudy Gay,523,1,5,0.2,0,0,,0,0,,0,1,1,0,1,0,0,0,2,2
