Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Tobias Harris,720,4,6,0.667,2,2,1.0,2,2,1.0,0,4,4,3,1,2,0,1,12,19
0,Q2,Tobias Harris,540,2,4,0.5,0,1,0.0,1,2,0.5,1,1,2,1,0,1,0,0,5,-3
0,H1,Tobias Harris,1260,6,10,0.6,2,3,0.667,3,4,0.75,1,5,6,4,1,3,0,1,17,16
0,Q3,Tobias Harris,720,2,4,0.5,0,1,0.0,2,2,1.0,0,0,0,1,0,0,0,1,6,-8
0,Q4,Tobias Harris,720,2,6,0.333,0,1,0.0,2,2,1.0,0,3,3,1,0,0,1,1,6,-5
0,H2,Tobias Harris,1440,4,10,0.4,0,2,0.0,4,4,1.0,0,3,3,2,0,0,1,2,12,-13
0,Q1,Maurice Harkless,720,2,3,0.667,0,0,,0,0,,0,2,2,0,0,0,0,2,4,19
0,Q2,Maurice Harkless,543,1,3,0.333,0,0,,0,0,,1,0,1,0,0,0,0,0,2,-8
0,H1,Maurice Harkless,1263,3,6,0.5,0,0,,0,0,,1,2,3,0,0,0,0,2,6,11
0,Q3,Maurice Harkless,642,2,3,0.667,0,1,0.0,1,2,0.5,0,0,0,1,0,0,0,1,5,-10
0,Q4,Maurice Harkless,720,2,3,0.667,2,2,1.0,1,2,0.5,1,0,1,0,0,0,0,1,7,-5
0,H2,Maurice Harkless,1362,4,6,0.667,2,3,0.667,2,4,0.5,1,0,1,1,0,0,0,2,12,-15
0,Q1,Kyle O'Quinn,720,5,6,0.833,0,0,,0,0,,1,3,4,1,1,0,0,1,10,19
0,Q2,Kyle O'Quinn,550,2,4,0.5,0,0,,0,0,,1,1,2,3,0,0,0,1,4,-8
0,H1,Kyle O'Quinn,1270,7,10,0.7,0,0,,0,0,,2,4,6,4,1,0,0,2,14,11
0,Q3,Kyle O'Quinn,720,2,2,1.0,0,0,,1,2,0.5,0,3,3,2,0,0,0,1,5,-8
0,Q4,Kyle O'Quinn,552,2,2,1.0,0,0,,0,0,,1,1,2,0,0,0,0,2,4,-11
0,H2,Kyle O'Quinn,1272,4,4,1.0,0,0,,1,2,0.5,1,4,5,2,0,0,0,3,9,-19
0,Q1,Jameer Nelson,720,3,6,0.5,1,3,0.333,0,0,,0,2,2,4,0,0,0,0,7,19
0,Q2,Jameer Nelson,543,2,6,0.333,0,1,0.0,0,0,,1,1,2,2,0,0,3,1,4,-8
0,H1,Jameer Nelson,1263,5,12,0.417,1,4,0.25,0,0,,1,3,4,6,0,0,3,1,11,11
0,Q3,Jameer Nelson,720,0,3,0.0,0,1,0.0,0,0,,0,1,1,4,0,0,1,2,0,-8
0,Q4,Jameer Nelson,552,1,4,0.25,0,1,0.0,0,0,,0,1,1,1,0,0,1,1,2,-11
0,H2,Jameer Nelson,1272,1,7,0.143,0,2,0.0,0,0,,0,2,2,5,0,0,2,3,2,-19
0,Q1,DeQuan Jones,449,1,1,1.0,0,0,,1,2,0.5,0,0,0,2,0,1,0,2,3,6
0,Q2,DeQuan Jones,547,1,3,0.333,0,0,,0,0,,0,2,2,0,0,1,0,0,2,-3
0,H1,DeQuan Jones,996,2,4,0.5,0,0,,1,2,0.5,0,2,2,2,0,2,0,2,5,3
0,Q3,DeQuan Jones,720,4,5,0.8,0,1,0.0,0,0,,0,0,0,0,1,0,1,0,8,-8
0,Q4,DeQuan Jones,168,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,6
0,H2,DeQuan Jones,888,4,5,0.8,0,1,0.0,0,0,,0,0,0,0,1,0,1,0,8,-2
0,Q1,Beno Udrih,
0,Q2,Beno Udrih,350,1,3,0.333,0,0,,0,0,,0,1,1,0,0,0,1,0,2,-13
0,H1,Beno Udrih,350,1,3,0.333,0,0,,0,0,,0,1,1,0,0,0,1,0,2,-13
0,Q3,Beno Udrih,
0,Q4,Beno Udrih,720,2,4,0.5,1,2,0.5,2,2,1.0,0,0,0,5,0,0,2,0,7,-5
0,H2,Beno Udrih,720,2,4,0.5,1,2,0.5,2,2,1.0,0,0,0,5,0,0,2,0,7,-5
0,Q1,E'Twaun Moore,271,1,1,1.0,1,1,1.0,0,0,,0,0,0,1,1,0,0,0,3,13
0,Q2,E'Twaun Moore,190,0,2,0.0,0,1,0.0,0,0,,0,1,1,0,1,1,0,3,0,-5
0,H1,E'Twaun Moore,461,1,3,0.333,1,2,0.5,0,0,,0,1,1,1,2,1,0,3,3,8
0,Q3,E'Twaun Moore,78,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2
0,Q4,E'Twaun Moore,168,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,0,0,6
0,H2,E'Twaun Moore,246,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,0,0,8
0,Q1,Doron Lamb,
0,Q2,Doron Lamb,337,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-12
0,H1,Doron Lamb,337,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-12
0,Q3,Doron Lamb,
0,Q4,Doron Lamb,
0,H2,Doron Lamb,
0,Q1,Arron Afflalo,
0,Q2,Arron Afflalo,
0,H1,Arron Afflalo,
0,Q3,Arron Afflalo,
0,Q4,Arron Afflalo,
0,H2,Arron Afflalo,
0,Q1,Al Harrington,
0,Q2,Al Harrington,
0,H1,Al Harrington,
0,Q3,Al Harrington,
0,Q4,Al Harrington,
0,H2,Al Harrington,
0,Q1,Andrew Nicholson,
0,Q2,Andrew Nicholson,
0,H1,Andrew Nicholson,
0,Q3,Andrew Nicholson,
0,Q4,Andrew Nicholson,
0,H2,Andrew Nicholson,
0,Q1,Hedo Türkoğlu,
0,Q2,Hedo Türkoğlu,
0,H1,Hedo Türkoğlu,
0,Q3,Hedo Türkoğlu,
0,Q4,Hedo Türkoğlu,
0,H2,Hedo Türkoğlu,
0,Q1,Nikola Vučević,
0,Q2,Nikola Vučević,
0,H1,Nikola Vučević,
0,Q3,Nikola Vučević,
