Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Paul George,569,0,2,0.0,0,0,,0,0,,0,0,0,0,1,1,1,0,0,-6
0,Q2,Paul George,689,3,6,0.5,0,1,0.0,1,1,1.0,0,1,1,2,0,0,0,2,7,0
0,H1,Paul George,1258,3,8,0.375,0,1,0.0,1,1,1.0,0,1,1,2,1,1,1,2,7,-6
0,Q3,Paul George,652,2,7,0.286,1,4,0.25,2,4,0.5,0,2,2,1,1,1,0,0,7,1
0,Q4,Paul George,720,4,7,0.571,0,1,0.0,4,5,0.8,0,1,1,1,3,0,0,1,12,4
0,H2,Paul George,1372,6,14,0.429,1,5,0.2,6,9,0.667,0,3,3,2,4,1,0,1,19,5
0,Q1,George Hill,720,1,5,0.2,1,3,0.333,0,0,,0,2,2,2,0,0,1,0,3,-5
0,Q2,George Hill,337,1,3,0.333,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,2,1
0,H1,George Hill,1057,2,8,0.25,1,4,0.25,0,0,,0,3,3,2,0,0,1,0,5,-4
0,Q3,George Hill,720,2,4,0.5,1,2,0.5,2,2,1.0,1,1,2,0,0,1,0,0,7,1
0,Q4,George Hill,528,3,6,0.5,2,4,0.5,1,4,0.25,1,1,2,1,0,0,0,0,9,4
0,H2,George Hill,1248,5,10,0.5,3,6,0.5,3,6,0.5,2,2,4,1,0,1,0,0,16,5
0,Q1,Lance Stephenson,449,1,3,0.333,0,1,0.0,2,2,1.0,0,1,1,1,0,0,0,0,4,-8
0,Q2,Lance Stephenson,720,1,2,0.5,0,1,0.0,0,0,,1,1,2,0,0,1,1,1,2,0
0,H1,Lance Stephenson,1169,2,5,0.4,0,2,0.0,2,2,1.0,1,2,3,1,0,1,1,1,6,-8
0,Q3,Lance Stephenson,528,1,4,0.25,0,0,,1,1,1.0,1,3,4,0,0,0,3,2,3,-1
0,Q4,Lance Stephenson,540,0,0,,0,0,,0,0,,0,1,1,3,0,0,0,1,0,-2
0,H2,Lance Stephenson,1068,1,4,0.25,0,0,,1,1,1.0,1,4,5,3,0,0,3,3,3,-3
0,Q1,David West,449,0,3,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-8
0,Q2,David West,407,3,4,0.75,0,0,,0,0,,0,1,1,0,0,0,0,0,6,-1
0,H1,David West,856,3,7,0.429,0,0,,0,0,,0,2,2,0,0,0,0,0,6,-9
0,Q3,David West,720,1,5,0.2,0,1,0.0,2,4,0.5,1,5,6,1,1,1,0,1,4,1
0,Q4,David West,550,0,1,0.0,0,0,,0,0,,0,1,1,1,0,0,0,1,0,3
0,H2,David West,1270,1,6,0.167,0,1,0.0,2,4,0.5,1,6,7,2,1,1,0,2,4,4
0,Q1,Roy Hibbert,720,1,2,0.5,1,1,1.0,0,0,,0,2,2,0,0,0,1,1,3,-5
0,Q2,Roy Hibbert,337,1,2,0.5,0,0,,0,0,,1,0,1,0,0,0,0,1,2,1
0,H1,Roy Hibbert,1057,2,4,0.5,1,1,1.0,0,0,,1,2,3,0,0,0,1,2,5,-4
0,Q3,Roy Hibbert,332,0,1,0.0,0,0,,0,0,,1,1,2,0,0,1,1,2,0,6
0,Q4,Roy Hibbert,524,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,1
0,H2,Roy Hibbert,856,0,1,0.0,0,0,,0,0,,1,2,3,0,0,1,1,3,0,7
0,Q1,Luis Scola,271,2,2,1.0,0,0,,0,0,,1,2,3,0,0,0,0,0,4,3
0,Q2,Luis Scola,313,0,1,0.0,0,0,,2,2,1.0,0,1,1,0,1,0,2,1,2,1
0,H1,Luis Scola,584,2,3,0.667,0,0,,2,2,1.0,1,3,4,0,1,0,2,1,6,4
0,Q3,Luis Scola,192,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2
0,Q4,Luis Scola,192,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0
0,H2,Luis Scola,384,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,2
0,Q1,C.J. Watson,
0,Q2,C.J. Watson,383,0,2,0.0,0,1,0.0,2,2,1.0,1,0,1,0,0,0,1,0,2,-1
0,H1,C.J. Watson,383,0,2,0.0,0,1,0.0,2,2,1.0,1,0,1,0,0,0,1,0,2,-1
0,Q3,C.J. Watson,192,0,2,0.0,0,2,0.0,0,0,,0,0,0,0,0,0,1,0,0,2
0,Q4,C.J. Watson,372,1,2,0.5,1,1,1.0,2,2,1.0,0,0,0,1,0,0,0,0,5,6
0,H2,C.J. Watson,564,1,4,0.25,1,3,0.333,2,2,1.0,0,0,0,1,0,0,1,0,5,8
0,Q1,Ian Mahinmi,
0,Q2,Ian Mahinmi,383,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-1
0,H1,Ian Mahinmi,383,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-1
0,Q3,Ian Mahinmi,196,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-7
0,Q4,Ian Mahinmi,
0,H2,Ian Mahinmi,196,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-7
0,Q1,Chris Copeland,151,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,1
0,Q2,Chris Copeland,31,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
0,H1,Chris Copeland,182,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,1,0,1
0,Q3,Chris Copeland,38,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2
0,Q4,Chris Copeland,174,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,0,0,0,1,3,4
0,H2,Chris Copeland,212,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,0,0,0,1,3,6
0,Q1,Orlando Johnson,271,0,2,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,0,0,0,3
0,Q2,Orlando Johnson,
0,H1,Orlando Johnson,271,0,2,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,0,0,0,3
0,Q3,Orlando Johnson,30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
0,Q4,Orlando Johnson,
0,H2,Orlando Johnson,30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
0,Q1,Rasual Butler,
0,Q2,Rasual Butler,
0,H1,Rasual Butler,
0,Q3,Rasual Butler,
0,Q4,Rasual Butler,
0,H2,Rasual Butler,
0,Q1,Solomon Hill,
0,Q2,Solomon Hill,
0,H1,Solomon Hill,
0,Q3,Solomon Hill,
0,Q4,Solomon Hill,
0,H2,Solomon Hill,
0,Q1,Donald Sloan,
0,Q2,Donald Sloan,
0,H1,Donald Sloan,
0,Q3,Donald Sloan,
0,Q4,Donald Sloan,
0,H2,Donald Sloan,
1,Q1,Carmelo Anthony,449,2,6,0.333,0,0,,0,0,,2,2,4,0,0,0,0,0,4,8
1,Q2,Carmelo Anthony,720,5,8,0.625,0,1,0.0,3,3,1.0,1,2,3,0,0,0,2,2,13,0
1,H1,Carmelo Anthony,1169,7,14,0.5,0,1,0.0,3,3,1.0,3,4,7,0,0,0,2,2,17,8
1,Q3,Carmelo Anthony,402,0,4,0.0,0,2,0.0,1,1,1.0,2,1,3,3,0,1,2,2,1,-3
1,Q4,Carmelo Anthony,638,1,6,0.167,0,0,,6,6,1.0,3,4,7,0,0,1,0,0,8,-2
1,H2,Carmelo Anthony,1040,1,10,0.1,0,2,0.0,7,7,1.0,5,5,10,3,0,2,2,2,9,-5
1,Q1,Kenyon Martin,508,2,3,0.667,0,0,,0,0,,0,3,3,1,0,0,1,0,4,8
1,Q2,Kenyon Martin,421,0,1,0.0,0,0,,0,0,,0,2,2,0,0,0,1,1,0,-1
1,H1,Kenyon Martin,929,2,4,0.5,0,0,,0,0,,0,5,5,1,0,0,2,1,4,7
1,Q3,Kenyon Martin,720,1,3,0.333,0,0,,0,2,0.0,1,2,3,0,1,2,0,1,2,-1
1,Q4,Kenyon Martin,320,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-5
1,H2,Kenyon Martin,1040,1,3,0.333,0,0,,0,2,0.0,1,2,3,0,1,2,1,1,2,-6
1,Q1,Andrea Bargnani,718,2,7,0.286,1,3,0.333,0,0,,0,3,3,0,0,0,0,1,5,8
