Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Kevin Love,720,1,6,0.167,0,0,,2,2,1.0,2,3,5,2,0,0,2,0,4,-4
0,Q2,Kevin Love,489,1,3,0.333,1,1,1.0,3,4,0.75,1,5,6,0,1,0,1,0,6,5
0,H1,Kevin Love,1209,2,9,0.222,1,1,1.0,5,6,0.833,3,8,11,2,1,0,3,0,10,1
0,Q3,Kevin Love,719,3,5,0.6,0,1,0.0,2,2,1.0,0,3,3,0,0,0,2,0,8,-3
0,Q4,Kevin Love,537,1,6,0.167,0,3,0.0,0,0,,1,2,3,0,0,0,0,1,2,-3
0,H2,Kevin Love,1256,4,11,0.364,0,4,0.0,2,2,1.0,1,5,6,0,0,0,2,1,10,-6
0,Q1,Corey Brewer,720,3,4,0.75,0,0,,2,2,1.0,0,0,0,0,0,0,1,0,8,-4
0,Q2,Corey Brewer,249,0,1,0.0,0,1,0.0,1,2,0.5,0,0,0,0,0,0,0,0,1,2
0,H1,Corey Brewer,969,3,5,0.6,0,1,0.0,3,4,0.75,0,0,0,0,0,0,1,0,9,-2
0,Q3,Corey Brewer,719,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,1,0,3,2,0,-3
0,Q4,Corey Brewer,722,0,5,0.0,0,3,0.0,0,0,,0,1,1,1,0,1,2,1,0,-9
0,H2,Corey Brewer,1441,0,7,0.0,0,4,0.0,0,0,,0,1,1,1,1,1,5,3,0,-12
0,Q1,Kevin Martin,563,2,5,0.4,1,1,1.0,0,0,,0,0,0,1,0,0,0,0,5,-12
0,Q2,Kevin Martin,671,0,4,0.0,0,1,0.0,4,4,1.0,0,1,1,0,0,0,0,2,4,2
0,H1,Kevin Martin,1234,2,9,0.222,1,2,0.5,4,4,1.0,0,1,1,1,0,0,0,2,9,-10
0,Q3,Kevin Martin,555,0,2,0.0,0,2,0.0,4,4,1.0,0,0,0,1,0,0,1,0,4,-1
0,Q4,Kevin Martin,479,2,3,0.667,1,1,1.0,0,0,,0,0,0,1,0,0,0,0,5,-3
0,H2,Kevin Martin,1034,2,5,0.4,1,3,0.333,4,4,1.0,0,0,0,2,0,0,1,0,9,-4
0,Q1,Nikola Peković,720,1,4,0.25,0,0,,1,2,0.5,2,2,4,0,0,0,1,1,3,-4
0,Q2,Nikola Peković,374,1,3,0.333,0,0,,0,0,,1,0,1,0,0,0,0,0,2,0
0,H1,Nikola Peković,1094,2,7,0.286,0,0,,1,2,0.5,3,2,5,0,0,0,1,1,5,-4
0,Q3,Nikola Peković,555,4,5,0.8,0,0,,2,2,1.0,1,3,4,0,0,0,2,1,10,-1
0,Q4,Nikola Peković,594,1,3,0.333,0,0,,1,2,0.5,1,1,2,0,0,0,0,1,3,-5
0,H2,Nikola Peković,1149,5,8,0.625,0,0,,3,4,0.75,2,4,6,0,0,0,2,2,13,-6
0,Q1,Ricky Rubio,270,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,2,0,-4
0,Q2,Ricky Rubio,494,1,3,0.333,0,0,,1,2,0.5,1,2,3,1,0,0,0,0,3,0
0,H1,Ricky Rubio,764,1,3,0.333,0,0,,1,2,0.5,1,3,4,2,0,0,0,2,3,-4
0,Q3,Ricky Rubio,719,0,2,0.0,0,1,0.0,0,0,,1,2,3,5,2,0,1,1,0,-3
0,Q4,Ricky Rubio,656,2,4,0.5,0,1,0.0,0,0,,0,2,2,0,3,0,1,0,4,-7
0,H2,Ricky Rubio,1375,2,6,0.333,0,2,0.0,0,0,,1,4,5,5,5,0,2,1,4,-10
0,Q1,J.J. Barea,450,2,4,0.5,0,0,,0,0,,0,1,1,0,0,0,0,0,4,0
0,Q2,J.J. Barea,520,1,6,0.167,0,1,0.0,0,0,,0,0,0,2,0,0,0,1,2,0
0,H1,J.J. Barea,970,3,10,0.3,0,1,0.0,0,0,,0,1,1,2,0,0,0,1,6,0
0,Q3,J.J. Barea,
0,Q4,J.J. Barea,209,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,1,1,0,-4
0,H2,J.J. Barea,209,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,1,1,0,-4
0,Q1,Dante Cunningham,
0,Q2,Dante Cunningham,577,2,4,0.5,0,0,,0,0,,0,1,1,0,0,0,1,1,4,-1
0,H1,Dante Cunningham,577,2,4,0.5,0,0,,0,0,,0,1,1,0,0,0,1,1,4,-1
0,Q3,Dante Cunningham,164,0,2,0.0,0,0,,0,0,,1,1,2,0,0,0,0,0,0,-2
0,Q4,Dante Cunningham,313,1,1,1.0,0,0,,0,0,,1,0,1,0,0,0,0,0,2,-10
0,H2,Dante Cunningham,477,1,3,0.333,0,0,,0,0,,2,1,3,0,0,0,0,0,2,-12
0,Q1,Robbie Hummel,157,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,8
0,Q2,Robbie Hummel,226,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,2,0,2
0,H1,Robbie Hummel,383,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,2,0,10
0,Q3,Robbie Hummel,164,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-2
0,Q4,Robbie Hummel,100,0,1,0.0,0,0,,0,0,,1,0,1,0,1,0,0,0,0,-4
0,H2,Robbie Hummel,264,0,1,0.0,0,0,,0,0,,2,0,2,0,1,0,0,1,0,-6
0,Q1,Gorgui Dieng,
0,Q2,Gorgui Dieng,
0,H1,Gorgui Dieng,
0,Q3,Gorgui Dieng,
0,Q4,Gorgui Dieng,
0,H2,Gorgui Dieng,
0,Q1,Shabazz Muhammad,
0,Q2,Shabazz Muhammad,
0,H1,Shabazz Muhammad,
0,Q3,Shabazz Muhammad,
0,Q4,Shabazz Muhammad,
0,H2,Shabazz Muhammad,
0,Q1,A.J. Price,
0,Q2,A.J. Price,
0,H1,A.J. Price,
0,Q3,A.J. Price,
0,Q4,A.J. Price,
0,H2,A.J. Price,
0,Q1,Alexey Shved,
0,Q2,Alexey Shved,
0,H1,Alexey Shved,
0,Q3,Alexey Shved,
0,Q4,Alexey Shved,
0,H2,Alexey Shved,
0,Q1,Derrick Williams,
0,Q2,Derrick Williams,
0,H1,Derrick Williams,
0,Q3,Derrick Williams,
0,Q4,Derrick Williams,
0,H2,Derrick Williams,
1,Q1,Paul George,720,3,4,0.75,2,2,1.0,0,0,,0,1,1,0,0,0,2,1,8,4
1,Q2,Paul George,200,1,1,1.0,0,0,,0,2,0.0,0,0,0,1,0,1,1,0,2,-2
1,H1,Paul George,920,4,5,0.8,2,2,1.0,0,2,0.0,0,1,1,1,0,1,3,1,10,2
1,Q3,Paul George,719,2,3,0.667,0,0,,2,2,1.0,0,3,3,2,3,0,1,0,6,3
1,Q4,Paul George,722,4,8,0.5,2,2,1.0,0,0,,0,4,4,1,1,0,2,1,10,9
1,H2,Paul George,1441,6,11,0.545,2,2,1.0,2,2,1.0,0,7,7,3,4,0,3,1,16,12
1,Q1,George Hill,720,4,5,0.8,1,1,1.0,3,4,0.75,0,1,1,4,0,0,0,0,12,4
