Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Nicolas Batum,720,3,4,0.75,2,3,0.667,0,0,,0,4,4,0,0,0,2,0,8,-3
0,Q2,Nicolas Batum,600,2,4,0.5,0,1,0.0,0,0,,0,2,2,1,1,0,0,0,4,-10
0,H1,Nicolas Batum,1320,5,8,0.625,2,4,0.5,0,0,,0,6,6,1,1,0,2,0,12,-13
0,Q3,Nicolas Batum,720,1,2,0.5,0,0,,0,0,,1,1,2,1,0,0,2,1,2,3
0,Q4,Nicolas Batum,622,3,3,1.0,1,1,1.0,0,0,,0,1,1,0,0,0,1,1,7,-1
0,H2,Nicolas Batum,1342,4,5,0.8,1,1,1.0,0,0,,1,2,3,1,0,0,3,2,9,2
0,Q1,LaMarcus Aldridge,720,2,6,0.333,0,0,,0,0,,0,1,1,1,0,0,1,1,4,-3
0,Q2,LaMarcus Aldridge,571,1,4,0.25,0,0,,2,2,1.0,1,1,2,0,0,0,1,0,4,-7
0,H1,LaMarcus Aldridge,1291,3,10,0.3,0,0,,2,2,1.0,1,2,3,1,0,0,2,1,8,-10
0,Q3,LaMarcus Aldridge,720,1,7,0.143,0,0,,2,2,1.0,2,4,6,1,1,0,2,1,4,3
0,Q4,LaMarcus Aldridge,450,2,6,0.333,0,0,,0,0,,0,1,1,1,0,1,0,0,4,-4
0,H2,LaMarcus Aldridge,1170,3,13,0.231,0,0,,2,2,1.0,2,5,7,2,1,1,2,1,8,-1
0,Q1,Damian Lillard,720,2,5,0.4,0,1,0.0,0,0,,0,2,2,2,0,0,1,0,4,-3
0,Q2,Damian Lillard,601,4,7,0.571,1,2,0.5,2,2,1.0,0,0,0,0,0,0,0,1,11,-11
0,H1,Damian Lillard,1321,6,12,0.5,1,3,0.333,2,2,1.0,0,2,2,2,0,0,1,1,15,-14
0,Q3,Damian Lillard,638,0,3,0.0,0,2,0.0,0,0,,0,2,2,3,0,0,0,0,0,5
0,Q4,Damian Lillard,527,2,5,0.4,0,1,0.0,0,0,,0,1,1,0,1,0,0,0,4,-3
0,H2,Damian Lillard,1165,2,8,0.25,0,3,0.0,0,0,,0,3,3,3,1,0,0,0,4,2
0,Q1,Wesley Matthews,540,1,3,0.333,0,0,,0,0,,0,0,0,2,0,0,0,0,2,-2
0,Q2,Wesley Matthews,720,1,2,0.5,0,0,,0,0,,1,2,3,1,0,0,1,1,2,-16
0,H1,Wesley Matthews,1260,2,5,0.4,0,0,,0,0,,1,2,3,3,0,0,1,1,4,-18
