Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Carmelo Anthony,720,2,5,0.4,1,3,0.333,0,0,,0,1,1,0,0,0,0,0,5,-1
0,Q2,Carmelo Anthony,384,1,2,0.5,0,0,,3,3,1.0,1,1,2,0,0,0,1,0,5,-2
0,H1,Carmelo Anthony,1104,3,7,0.429,1,3,0.333,3,3,1.0,1,2,3,0,0,0,1,0,10,-3
0,Q3,Carmelo Anthony,720,2,3,0.667,1,1,1.0,0,0,,0,2,2,0,0,0,2,0,5,-2
0,Q4,Carmelo Anthony,508,1,1,1.0,0,0,,0,0,,0,3,3,0,1,0,1,0,2,1
0,H2,Carmelo Anthony,1228,3,4,0.75,1,1,1.0,0,0,,0,5,5,0,1,0,3,0,7,-1
0,Q1,José Calderón,615,1,2,0.5,1,1,1.0,0,0,,1,0,1,3,2,0,1,1,3,-1
0,Q2,José Calderón,384,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
0,H1,José Calderón,999,1,2,0.5,1,1,1.0,0,0,,1,0,1,3,2,0,1,1,3,-3
0,Q3,José Calderón,720,2,3,0.667,1,1,1.0,0,0,,0,0,0,2,1,0,0,1,5,-2
0,Q4,José Calderón,454,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-2
0,H2,José Calderón,1174,2,3,0.667,1,1,1.0,0,0,,0,0,0,3,1,0,0,1,5,-4
0,Q1,Amar'e Stoudemire,381,2,6,0.333,0,0,,0,0,,0,2,2,0,0,0,1,0,4,-5
0,Q2,Amar'e Stoudemire,577,5,5,1.0,0,0,,2,2,1.0,0,0,0,0,0,0,0,2,12,-4
0,H1,Amar'e Stoudemire,958,7,11,0.636,0,0,,2,2,1.0,0,2,2,0,0,0,1,2,16,-9
0,Q3,Amar'e Stoudemire,265,2,3,0.667,0,0,,0,0,,0,1,1,0,0,1,0,0,4,2
0,Q4,Amar'e Stoudemire,703,2,4,0.5,0,0,,2,4,0.5,1,1,2,0,0,4,1,4,6,-9
0,H2,Amar'e Stoudemire,968,4,7,0.571,0,0,,2,4,0.5,1,2,3,0,0,5,1,4,10,-7
0,Q1,Iman Shumpert,521,1,4,0.25,0,0,,0,0,,0,3,3,1,1,0,0,0,2,-4
0,Q2,Iman Shumpert,384,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,1,1,0,-2
0,H1,Iman Shumpert,905,1,5,0.2,0,1,0.0,0,0,,0,3,3,2,1,0,1,1,2,-6
0,Q3,Iman Shumpert,491,0,1,0.0,0,1,0.0,0,0,,0,1,1,2,0,0,1,0,0,-5
0,Q4,Iman Shumpert,
0,H2,Iman Shumpert,491,0,1,0.0,0,1,0.0,0,0,,0,1,1,2,0,0,1,0,0,-5
0,Q1,Quincy Acy,580,2,2,1.0,0,0,,0,0,,0,0,0,1,0,0,0,0,4,-4
0,Q2,Quincy Acy,143,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,3
0,H1,Quincy Acy,723,2,2,1.0,0,0,,0,0,,0,0,0,1,0,0,0,0,4,-1
0,Q3,Quincy Acy,352,0,1,0.0,0,0,,0,0,,0,1,1,0,1,0,0,1,0,-1
0,Q4,Quincy Acy,
0,H2,Quincy Acy,352,0,1,0.0,0,0,,0,0,,0,1,1,0,1,0,0,1,0,-1
0,Q1,J.R. Smith,199,2,3,0.667,1,2,0.5,0,0,,1,0,1,0,0,0,0,0,5,3
0,Q2,J.R. Smith,558,2,7,0.286,0,1,0.0,1,2,0.5,0,1,1,2,0,0,0,0,5,3
0,H1,J.R. Smith,757,4,10,0.4,1,3,0.333,1,2,0.5,1,1,2,2,0,0,0,0,10,6
0,Q3,J.R. Smith,229,1,2,0.5,1,1,1.0,0,0,,0,0,0,0,0,0,1,0,3,3
0,Q4,J.R. Smith,720,1,6,0.167,0,2,0.0,2,2,1.0,0,2,2,3,0,0,0,1,4,-7
0,H2,J.R. Smith,949,2,8,0.25,1,3,0.333,2,2,1.0,0,2,2,3,0,0,1,1,7,-4
0,Q1,Jason Smith,245,1,3,0.333,0,0,,0,0,,1,0,1,0,0,0,0,0,2,3
0,Q2,Jason Smith,498,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-3
0,H1,Jason Smith,743,1,3,0.333,0,0,,0,0,,1,0,1,0,0,0,0,2,2,0
0,Q3,Jason Smith,368,1,1,1.0,0,0,,0,0,,0,0,0,0,0,1,0,1,2,-1
0,Q4,Jason Smith,212,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-8
0,H2,Jason Smith,580,1,1,1.0,0,0,,0,0,,0,0,0,0,0,1,0,1,2,-9
0,Q1,Pablo Prigioni,105,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,0
0,Q2,Pablo Prigioni,336,0,0,,0,0,,0,0,,0,0,0,1,1,0,1,0,0,1
0,H1,Pablo Prigioni,441,0,0,,0,0,,0,0,,0,1,1,2,1,0,1,1,0,1
0,Q3,Pablo Prigioni,
0,Q4,Pablo Prigioni,532,2,3,0.667,2,3,0.667,0,0,,0,1,1,0,0,0,1,0,6,-5
0,H2,Pablo Prigioni,532,2,3,0.667,2,3,0.667,0,0,,0,1,1,0,0,0,1,0,6,-5
0,Q1,Tim Hardaway Jr.,
0,Q2,Tim Hardaway Jr.,336,1,2,0.5,1,1,1.0,0,0,,0,0,0,1,1,0,0,0,3,1
0,H1,Tim Hardaway Jr.,336,1,2,0.5,1,1,1.0,0,0,,0,0,0,1,1,0,0,0,3,1
0,Q3,Tim Hardaway Jr.,
0,Q4,Tim Hardaway Jr.,454,1,3,0.333,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,2,-7
0,H2,Tim Hardaway Jr.,454,1,3,0.333,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,2,-7
0,Q1,Samuel Dalembert,
0,Q2,Samuel Dalembert,
0,H1,Samuel Dalembert,
0,Q3,Samuel Dalembert,455,1,3,0.333,0,0,,0,0,,0,3,3,0,0,1,1,2,2,-4
0,Q4,Samuel Dalembert,
0,H2,Samuel Dalembert,455,1,3,0.333,0,0,,0,0,,0,3,3,0,0,1,1,2,2,-4
0,Q1,Cole Aldrich,234,1,2,0.5,0,0,,0,0,,1,0,1,0,0,1,0,2,2,4
0,Q2,Cole Aldrich,
0,H1,Cole Aldrich,234,1,2,0.5,0,0,,0,0,,1,0,1,0,0,1,0,2,2,4
0,Q3,Cole Aldrich,
0,Q4,Cole Aldrich,17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2
0,H2,Cole Aldrich,17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2
0,Q1,Shane Larkin,
0,Q2,Shane Larkin,
0,H1,Shane Larkin,
0,Q3,Shane Larkin,
0,Q4,Shane Larkin,
0,H2,Shane Larkin,
0,Q1,Travis Wear,
0,Q2,Travis Wear,
0,H1,Travis Wear,
0,Q3,Travis Wear,
0,Q4,Travis Wear,
0,H2,Travis Wear,
1,Q1,Tyreke Evans,521,4,5,0.8,1,2,0.5,0,0,,1,1,2,3,0,0,3,1,9,4
1,Q2,Tyreke Evans,418,3,3,1.0,0,0,,0,0,,0,1,1,1,1,0,0,0,6,4
1,H1,Tyreke Evans,939,7,8,0.875,1,2,0.5,0,0,,1,2,3,4,1,0,3,1,15,8
1,Q3,Tyreke Evans,714,1,4,0.25,0,0,,2,2,1.0,0,0,0,2,1,0,1,1,4,5
1,Q4,Tyreke Evans,369,3,3,1.0,0,0,,2,2,1.0,0,1,1,0,0,0,0,1,8,0
1,H2,Tyreke Evans,1083,4,7,0.571,0,0,,4,4,1.0,0,1,1,2,1,0,1,2,12,5
1,Q1,Anthony Davis,720,1,6,0.167,0,0,,2,2,1.0,0,3,3,0,0,1,0,0,4,1
1,Q2,Anthony Davis,267,0,0,,0,0,,1,2,0.5,0,1,1,0,0,0,0,1,1,0
1,H1,Anthony Davis,987,1,6,0.167,0,0,,3,4,0.75,0,4,4,0,0,1,0,1,5,1
1,Q3,Anthony Davis,714,4,7,0.571,0,0,,3,5,0.6,2,1,3,0,1,1,0,0,11,5
1,Q4,Anthony Davis,266,1,1,1.0,0,0,,0,0,,1,0,1,1,0,1,1,1,2,0
1,H2,Anthony Davis,980,5,8,0.625,0,0,,3,5,0.6,3,1,4,1,1,2,1,1,13,5
1,Q1,Jrue Holiday,637,1,2,0.5,0,0,,0,0,,0,0,0,3,2,0,0,1,2,3
1,Q2,Jrue Holiday,292,2,4,0.5,0,1,0.0,0,0,,1,2,3,1,0,0,0,0,4,3
1,H1,Jrue Holiday,929,3,6,0.5,0,1,0.0,0,0,,1,2,3,4,2,0,0,1,6,6
1,Q3,Jrue Holiday,720,2,3,0.667,0,0,,0,0,,0,3,3,2,0,0,0,1,4,2
1,Q4,Jrue Holiday,307,1,1,1.0,0,0,,1,1,1.0,0,0,0,1,0,0,0,0,3,3
1,H2,Jrue Holiday,1027,3,4,0.75,0,0,,1,1,1.0,0,3,3,3,0,0,0,1,7,5
1,Q1,Ömer Aşık,521,1,2,0.5,0,0,,1,1,1.0,1,3,4,0,0,1,0,0,3,4
1,Q2,Ömer Aşık,175,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,4
1,H1,Ömer Aşık,696,2,3,0.667,0,0,,1,1,1.0,1,3,4,0,0,1,0,0,5,8
1,Q3,Ömer Aşık,397,2,3,0.667,0,0,,0,0,,4,2,6,0,0,0,0,0,4,0
1,Q4,Ömer Aşık,720,3,4,0.75,0,0,,1,3,0.333,0,4,4,1,0,1,0,2,7,7
1,H2,Ömer Aşık,1117,5,7,0.714,0,0,,1,3,0.333,4,6,10,1,0,1,0,2,11,7
