Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Anthony Davis,720,4,7,0.571,0,0,,1,1,1.0,1,4,5,0,0,0,0,0,9,7
0,Q2,Anthony Davis,458,2,3,0.667,0,0,,0,0,,1,2,3,0,0,2,1,0,4,-1
0,H1,Anthony Davis,1178,6,10,0.6,0,0,,1,1,1.0,2,6,8,0,0,2,1,0,13,6
0,Q3,Anthony Davis,720,4,6,0.667,0,0,,0,0,,0,1,1,1,0,0,0,2,8,-4
0,Q4,Anthony Davis,593,5,8,0.625,0,0,,1,1,1.0,0,3,3,0,0,2,0,1,11,-1
0,H2,Anthony Davis,1313,9,14,0.643,0,0,,1,1,1.0,0,4,4,1,0,2,0,3,19,-5
0,Q1,Eric Gordon,469,2,3,0.667,1,2,0.5,0,0,,0,0,0,0,0,0,1,0,5,0
0,Q2,Eric Gordon,720,0,2,0.0,0,0,,1,2,0.5,0,1,1,1,1,2,1,1,1,0
0,H1,Eric Gordon,1189,2,5,0.4,1,2,0.5,1,2,0.5,0,1,1,1,1,2,2,1,6,0
0,Q3,Eric Gordon,430,1,3,0.333,1,1,1.0,0,0,,0,0,0,0,0,0,0,0,3,2
0,Q4,Eric Gordon,720,2,5,0.4,1,4,0.25,0,0,,0,1,1,3,0,0,0,2,5,-7
0,H2,Eric Gordon,1150,3,8,0.375,2,5,0.4,0,0,,0,1,1,3,0,0,0,2,8,-5
0,Q1,Jrue Holiday,674,1,1,1.0,0,0,,1,2,0.5,0,1,1,3,1,1,2,1,3,6
0,Q2,Jrue Holiday,370,2,3,0.667,1,1,1.0,0,0,,1,1,2,0,0,0,0,1,5,-1
0,H1,Jrue Holiday,1044,3,4,0.75,1,1,1.0,1,2,0.5,1,2,3,3,1,1,2,2,8,5
0,Q3,Jrue Holiday,720,3,8,0.375,1,2,0.5,0,0,,1,0,1,3,1,0,1,1,7,-4
0,Q4,Jrue Holiday,540,0,1,0.0,0,1,0.0,1,2,0.5,0,2,2,3,0,1,0,1,1,-6
0,H2,Jrue Holiday,1260,3,9,0.333,1,3,0.333,1,2,0.5,1,2,3,6,1,1,1,2,8,-10
0,Q1,Tyreke Evans,720,3,4,0.75,0,0,,0,2,0.0,0,3,3,1,0,0,2,0,6,7
0,Q2,Tyreke Evans,271,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,0,0,1,0,2,3
0,H1,Tyreke Evans,991,4,6,0.667,0,1,0.0,0,2,0.0,0,3,3,1,0,0,3,0,8,10
0,Q3,Tyreke Evans,720,0,4,0.0,0,2,0.0,0,0,,1,2,3,2,1,0,1,1,0,-4
0,Q4,Tyreke Evans,411,0,1,0.0,0,0,,2,2,1.0,0,1,1,0,0,0,1,1,2,-1
0,H2,Tyreke Evans,1131,0,5,0.0,0,2,0.0,2,2,1.0,1,3,4,2,1,0,2,2,2,-5
0,Q1,Ömer Aşık,469,0,1,0.0,0,0,,4,4,1.0,1,2,3,0,0,0,0,1,4,0
0,Q2,Ömer Aşık,239,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,3
0,H1,Ömer Aşık,708,0,2,0.0,0,0,,4,4,1.0,1,2,3,0,0,0,0,1,4,3
0,Q3,Ömer Aşık,430,1,1,1.0,0,0,,0,2,0.0,2,2,4,0,0,0,0,0,2,2
0,Q4,Ömer Aşık,127,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-6
0,H2,Ömer Aşık,557,1,1,1.0,0,0,,0,2,0.0,2,2,4,0,0,0,0,2,2,-4
0,Q1,Ryan Anderson,251,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,7
0,Q2,Ryan Anderson,481,1,5,0.2,0,1,0.0,2,2,1.0,0,0,0,0,1,0,0,0,4,-3
0,H1,Ryan Anderson,732,1,5,0.2,0,1,0.0,2,2,1.0,0,2,2,0,1,0,0,1,4,4
0,Q3,Ryan Anderson,290,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6
0,Q4,Ryan Anderson,708,1,3,0.333,0,1,0.0,0,0,,0,1,1,0,0,0,0,1,2,-5
0,H2,Ryan Anderson,998,1,3,0.333,0,1,0.0,0,0,,0,1,1,0,0,0,0,1,2,-11
