Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Jimmy Butler,720,2,6,0.333,0,0,,2,2,1.0,1,0,1,3,0,0,2,0,6,9
0,Q2,Jimmy Butler,402,0,1,0.0,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-8
0,H1,Jimmy Butler,1122,2,7,0.286,0,0,,2,2,1.0,2,0,2,3,0,0,2,0,6,1
0,Q3,Jimmy Butler,720,5,10,0.5,0,2,0.0,1,1,1.0,1,1,2,3,2,0,0,1,11,2
0,Q4,Jimmy Butler,460,1,1,1.0,0,0,,1,2,0.5,0,4,4,0,1,0,0,0,3,-1
0,H2,Jimmy Butler,1180,6,11,0.545,0,2,0.0,2,3,0.667,1,5,6,3,3,0,0,1,14,1
0,Q1,Pau Gasol,720,1,1,1.0,0,0,,0,0,,0,6,6,2,0,1,0,0,2,9
0,Q2,Pau Gasol,448,1,3,0.333,0,0,,0,0,,2,1,3,0,0,0,2,0,2,-1
0,H1,Pau Gasol,1168,2,4,0.5,0,0,,0,0,,2,7,9,2,0,1,2,0,4,8
0,Q3,Pau Gasol,720,2,4,0.5,0,0,,1,1,1.0,1,5,6,0,1,0,0,0,5,2
0,Q4,Pau Gasol,411,1,2,0.5,0,0,,2,2,1.0,0,1,1,1,0,0,1,2,4,-1
0,H2,Pau Gasol,1131,3,6,0.5,0,0,,3,3,1.0,1,6,7,1,1,0,1,2,9,1
0,Q1,Derrick Rose,550,5,6,0.833,3,3,1.0,0,0,,1,0,1,0,1,1,0,0,13,9
0,Q2,Derrick Rose,459,1,2,0.5,0,0,,3,3,1.0,0,0,0,1,0,0,2,0,5,-1
0,H1,Derrick Rose,1009,6,8,0.75,3,3,1.0,3,3,1.0,1,0,1,1,1,1,2,0,18,8
0,Q3,Derrick Rose,496,0,3,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,1,0,0,1
0,Q4,Derrick Rose,720,1,6,0.167,0,1,0.0,0,0,,1,0,1,2,0,0,2,0,2,-1
0,H2,Derrick Rose,1216,1,9,0.111,0,2,0.0,0,0,,1,1,2,2,0,0,3,0,2,0
0,Q1,Tony Snell,716,2,4,0.5,1,2,0.5,0,0,,0,2,2,0,0,0,1,1,5,9
0,Q2,Tony Snell,326,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,1,0,0,0,0,-6
0,H1,Tony Snell,1042,2,5,0.4,1,3,0.333,0,0,,0,2,2,1,1,0,1,1,5,3
0,Q3,Tony Snell,720,2,2,1.0,1,1,1.0,0,0,,0,1,1,1,0,0,1,0,5,2
0,Q4,Tony Snell,70,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
0,H2,Tony Snell,790,2,2,1.0,1,1,1.0,0,0,,0,1,1,1,0,0,1,0,5,2
0,Q1,Joakim Noah,373,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,1,1,2,6
0,Q2,Joakim Noah,330,0,1,0.0,0,0,,0,0,,2,0,2,0,0,0,1,0,0,-3
0,H1,Joakim Noah,703,1,3,0.333,0,0,,0,0,,2,0,2,0,0,0,2,1,2,3
0,Q3,Joakim Noah,356,1,3,0.333,0,0,,0,0,,3,0,3,0,0,1,2,0,2,1
0,Q4,Joakim Noah,309,1,2,0.5,0,0,,0,0,,1,1,2,1,0,1,0,1,2,0
0,H2,Joakim Noah,665,2,5,0.4,0,0,,0,0,,4,1,5,1,0,2,2,1,4,1
0,Q1,Taj Gibson,347,1,1,1.0,0,0,,0,0,,0,1,1,1,0,0,0,0,2,3
0,Q2,Taj Gibson,529,2,3,0.667,0,0,,2,2,1.0,1,2,3,0,1,0,2,1,6,-4
0,H1,Taj Gibson,876,3,4,0.75,0,0,,2,2,1.0,1,3,4,1,1,0,2,1,8,-1
0,Q3,Taj Gibson,364,0,2,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,1
0,Q4,Taj Gibson,720,3,4,0.75,0,0,,1,2,0.5,0,3,3,0,0,1,1,3,7,-1
0,H2,Taj Gibson,1084,3,6,0.5,0,0,,1,2,0.5,0,3,3,1,0,1,1,3,7,0
0,Q1,Kirk Hinrich,170,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
0,Q2,Kirk Hinrich,394,1,2,0.5,1,1,1.0,2,2,1.0,0,0,0,1,0,0,0,3,5,0
0,H1,Kirk Hinrich,564,1,2,0.5,1,1,1.0,2,2,1.0,0,0,0,1,0,0,0,3,5,0
0,Q3,Kirk Hinrich,224,1,1,1.0,1,1,1.0,0,0,,0,0,0,1,1,0,0,1,3,1
0,Q4,Kirk Hinrich,449,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-2
0,H2,Kirk Hinrich,673,1,1,1.0,1,1,1.0,0,0,,0,0,0,1,1,0,1,1,3,-1
0,Q1,Aaron Brooks,4,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
0,Q2,Aaron Brooks,318,0,2,0.0,0,1,0.0,0,0,,0,1,1,2,0,0,0,1,0,2
0,H1,Aaron Brooks,322,0,2,0.0,0,1,0.0,0,0,,0,1,1,2,0,0,0,1,0,2
0,Q3,Aaron Brooks,
0,Q4,Aaron Brooks,461,1,1,1.0,0,0,,2,3,0.667,0,1,1,1,0,0,0,2,4,1
0,H2,Aaron Brooks,461,1,1,1.0,0,0,,2,3,0.667,0,1,1,1,0,0,0,2,4,1
0,Q1,E'Twaun Moore,
0,Q2,E'Twaun Moore,261,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,0,0,3,-5
0,H1,E'Twaun Moore,261,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,0,0,3,-5
0,Q3,E'Twaun Moore,
0,Q4,E'Twaun Moore,
0,H2,E'Twaun Moore,
0,Q1,Nikola Mirotić,
0,Q2,Nikola Mirotić,133,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,0,0,1,1,3,-4
0,H1,Nikola Mirotić,133,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,0,0,1,1,3,-4
0,Q3,Nikola Mirotić,
0,Q4,Nikola Mirotić,
0,H2,Nikola Mirotić,
0,Q1,Cameron Bairstow,
0,Q2,Cameron Bairstow,
0,H1,Cameron Bairstow,
0,Q3,Cameron Bairstow,
0,Q4,Cameron Bairstow,
0,H2,Cameron Bairstow,
0,Q1,Doug McDermott,
0,Q2,Doug McDermott,
0,H1,Doug McDermott,
0,Q3,Doug McDermott,
0,Q4,Doug McDermott,
0,H2,Doug McDermott,
0,Q1,Nazr Mohammed,
0,Q2,Nazr Mohammed,
0,H1,Nazr Mohammed,
0,Q3,Nazr Mohammed,
0,Q4,Nazr Mohammed,
0,H2,Nazr Mohammed,
1,Q1,Chandler Parsons,716,3,4,0.75,0,0,,0,0,,0,1,1,0,1,0,0,0,6,-9
1,Q2,Chandler Parsons,402,2,3,0.667,1,1,1.0,2,2,1.0,0,0,0,2,0,0,0,0,7,8
1,H1,Chandler Parsons,1118,5,7,0.714,1,1,1.0,2,2,1.0,0,1,1,2,1,0,0,0,13,-1
1,Q3,Chandler Parsons,657,2,5,0.4,0,2,0.0,0,0,,0,0,0,0,1,0,0,0,4,-2
1,Q4,Chandler Parsons,492,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,2,2,3
1,H2,Chandler Parsons,1149,3,7,0.429,0,2,0.0,0,0,,0,0,0,0,1,0,0,2,6,1
1,Q1,Monta Ellis,716,1,6,0.167,0,1,0.0,0,0,,1,0,1,2,0,0,1,1,2,-9
1,Q2,Monta Ellis,402,2,3,0.667,0,0,,0,0,,0,0,0,1,2,0,0,1,4,8
1,H1,Monta Ellis,1118,3,9,0.333,0,1,0.0,0,0,,1,0,1,3,2,0,1,2,6,-1
1,Q3,Monta Ellis,657,2,5,0.4,0,0,,2,2,1.0,0,0,0,1,1,0,2,0,6,-2
1,Q4,Monta Ellis,492,2,4,0.5,0,1,0.0,1,1,1.0,0,1,1,0,2,0,0,1,5,3
1,H2,Monta Ellis,1149,4,9,0.444,0,1,0.0,3,3,1.0,0,1,1,1,3,0,2,1,11,1
1,Q1,Tyson Chandler,550,1,2,0.5,0,0,,0,0,,1,1,2,1,0,0,1,1,2,-9
1,Q2,Tyson Chandler,459,1,2,0.5,0,0,,0,0,,1,2,3,0,1,1,0,0,2,1
1,H1,Tyson Chandler,1009,2,4,0.5,0,0,,0,0,,2,3,5,1,1,1,1,1,4,-8
1,Q3,Tyson Chandler,657,1,2,0.5,0,0,,0,0,,1,3,4,0,0,3,0,1,2,-2
1,Q4,Tyson Chandler,492,0,0,,0,0,,4,4,1.0,3,0,3,2,0,1,1,0,4,3
1,H2,Tyson Chandler,1149,1,2,0.5,0,0,,4,4,1.0,4,3,7,2,0,4,1,1,6,1
1,Q1,Dirk Nowitzki,531,3,3,1.0,0,0,,0,0,,0,3,3,0,0,0,0,0,6,-6
1,Q2,Dirk Nowitzki,463,2,3,0.667,0,0,,0,0,,0,0,0,0,0,0,2,0,4,7
1,H1,Dirk Nowitzki,994,5,6,0.833,0,0,,0,0,,0,3,3,0,0,0,2,0,10,1
1,Q3,Dirk Nowitzki,419,2,3,0.667,2,3,0.667,0,0,,0,2,2,0,0,1,1,0,6,-1
1,Q4,Dirk Nowitzki,633,3,6,0.5,0,2,0.0,2,2,1.0,0,2,2,0,0,0,0,0,8,4
1,H2,Dirk Nowitzki,1052,5,9,0.556,2,5,0.4,2,2,1.0,0,4,4,0,0,1,1,0,14,3
1,Q1,Rajon Rondo,365,1,3,0.333,0,0,,0,0,,1,0,1,1,0,0,1,1,2,-6
1,Q2,Rajon Rondo,471,0,1,0.0,0,0,,0,0,,0,0,0,1,1,0,0,1,0,3
1,H1,Rajon Rondo,836,1,4,0.25,0,0,,0,0,,1,0,1,2,1,0,1,2,2,-3
1,Q3,Rajon Rondo,373,1,2,0.5,0,0,,0,0,,1,0,1,1,0,0,1,1,2,1
1,Q4,Rajon Rondo,408,1,3,0.333,0,0,,0,0,,0,0,0,1,0,0,0,0,2,-3
1,H2,Rajon Rondo,781,2,5,0.4,0,0,,0,0,,1,0,1,2,0,0,1,1,4,-2
1,Q1,Devin Harris,359,1,3,0.333,1,2,0.5,0,0,,0,0,0,1,0,0,0,0,3,-3
1,Q2,Devin Harris,318,0,1,0.0,0,1,0.0,2,2,1.0,0,1,1,0,1,0,1,1,2,-2
1,H1,Devin Harris,677,1,4,0.25,1,3,0.333,2,2,1.0,0,1,1,1,1,0,1,1,5,-5
1,Q3,Devin Harris,410,1,2,0.5,1,1,1.0,1,1,1.0,0,1,1,1,0,0,1,0,4,-3
1,Q4,Devin Harris,382,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,4
1,H2,Devin Harris,792,1,2,0.5,1,1,1.0,1,1,1.0,0,1,1,1,0,0,1,1,4,1
1,Q1,Dwight Powell,359,0,1,0.0,0,0,,0,0,,0,0,0,0,1,1,0,2,0,-3
1,Q2,Dwight Powell,318,0,0,,0,0,,2,2,1.0,0,0,0,0,0,0,0,0,2,-2
1,H1,Dwight Powell,677,0,1,0.0,0,0,,2,2,1.0,0,0,0,0,1,1,0,2,2,-5
1,Q3,Dwight Powell,364,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,1,0,-1
1,Q4,Dwight Powell,228,0,3,0.0,0,0,,2,2,1.0,0,0,0,0,0,0,0,0,2,-2
1,H2,Dwight Powell,592,0,3,0.0,0,0,,2,2,1.0,0,0,0,0,0,1,0,1,2,-3
1,Q1,Richard Jefferson,4,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1,Q2,Richard Jefferson,282,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,8
1,H1,Richard Jefferson,286,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,8
1,Q3,Richard Jefferson,63,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1,Q4,Richard Jefferson,315,0,1,0.0,0,1,0.0,0,0,,0,2,2,0,0,0,0,0,0,-5
1,H2,Richard Jefferson,378,0,1,0.0,0,1,0.0,0,0,,0,2,2,0,0,0,0,0,0,-5
1,Q1,J.J. Barea,
1,Q2,J.J. Barea,485,4,7,0.571,1,3,0.333,0,0,,0,0,0,0,1,0,0,0,9,-1
1,H1,J.J. Barea,485,4,7,0.571,1,3,0.333,0,0,,0,0,0,0,1,0,0,0,9,-1
1,Q3,J.J. Barea,
1,Q4,J.J. Barea,158,0,2,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2
1,H2,J.J. Barea,158,0,2,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2
1,Q1,Al-Farouq Aminu,
1,Q2,Al-Farouq Aminu,
1,H1,Al-Farouq Aminu,
1,Q3,Al-Farouq Aminu,
1,Q4,Al-Farouq Aminu,
1,H2,Al-Farouq Aminu,
1,Q1,Raymond Felton,
1,Q2,Raymond Felton,
1,H1,Raymond Felton,
1,Q3,Raymond Felton,
1,Q4,Raymond Felton,
1,H2,Raymond Felton,
1,Q1,Greg Smith,
1,Q2,Greg Smith,
1,H1,Greg Smith,
1,Q3,Greg Smith,
1,Q4,Greg Smith,
1,H2,Greg Smith,
1,Q1,Charlie Villanueva,
1,Q2,Charlie Villanueva,
1,H1,Charlie Villanueva,
1,Q3,Charlie Villanueva,
1,Q4,Charlie Villanueva,
1,H2,Charlie Villanueva,
