Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Jimmy Butler,634,1,3,0.333,0,1,0.0,0,0,,1,1,2,0,1,0,1,0,2,-10
0,Q2,Jimmy Butler,421,1,1,1.0,0,0,,4,4,1.0,0,0,0,0,0,0,0,0,6,2
0,H1,Jimmy Butler,1055,2,4,0.5,0,1,0.0,4,4,1.0,1,1,2,0,1,0,1,0,8,-8
0,Q3,Jimmy Butler,720,3,5,0.6,0,0,,8,10,0.8,1,2,3,1,0,0,0,0,14,7
0,Q4,Jimmy Butler,601,4,7,0.571,1,3,0.333,2,2,1.0,0,0,0,0,2,0,0,1,11,2
0,H2,Jimmy Butler,1321,7,12,0.583,1,3,0.333,10,12,0.833,1,2,3,1,2,0,0,1,25,9
0,Q1,Pau Gasol,720,2,5,0.4,0,0,,2,2,1.0,0,1,1,2,0,2,0,0,6,-9
0,Q2,Pau Gasol,235,1,2,0.5,0,0,,0,0,,0,0,0,1,0,0,0,0,2,2
0,H1,Pau Gasol,955,3,7,0.429,0,0,,2,2,1.0,0,1,1,3,0,2,0,0,8,-7
0,Q3,Pau Gasol,720,0,1,0.0,0,0,,0,0,,0,5,5,2,0,1,1,3,0,7
0,Q4,Pau Gasol,362,2,3,0.667,0,0,,0,0,,2,0,2,0,0,0,0,0,4,7
0,H2,Pau Gasol,1082,2,4,0.5,0,0,,0,0,,2,5,7,2,0,1,1,3,4,14
0,Q1,Derrick Rose,524,3,6,0.5,0,1,0.0,0,0,,1,0,1,3,1,0,2,0,6,-6
0,Q2,Derrick Rose,421,1,4,0.25,0,1,0.0,2,2,1.0,0,1,1,0,0,0,0,0,4,2
0,H1,Derrick Rose,945,4,10,0.4,0,2,0.0,2,2,1.0,1,1,2,3,1,0,2,0,10,-4
0,Q3,Derrick Rose,522,1,3,0.333,0,1,0.0,0,0,,0,0,0,1,0,0,0,1,2,4
0,Q4,Derrick Rose,505,1,6,0.167,0,1,0.0,0,0,,1,0,1,1,0,0,2,0,2,3
0,H2,Derrick Rose,1027,2,9,0.222,0,2,0.0,0,0,,1,0,1,2,0,0,2,1,4,7
0,Q1,Joakim Noah,524,1,1,1.0,0,0,,0,0,,0,1,1,1,0,0,0,0,2,-6
0,Q2,Joakim Noah,373,0,1,0.0,0,0,,0,0,,1,1,2,3,0,0,0,0,0,-1
0,H1,Joakim Noah,897,1,2,0.5,0,0,,0,0,,1,2,3,4,0,0,0,0,2,-7
0,Q3,Joakim Noah,512,2,3,0.667,0,0,,0,0,,2,2,4,1,0,0,0,1,4,3
0,Q4,Joakim Noah,518,1,1,1.0,0,0,,1,1,1.0,1,5,6,2,0,0,0,1,3,3
0,H2,Joakim Noah,1030,3,4,0.75,0,0,,1,1,1.0,3,7,10,3,0,0,0,2,7,6
0,Q1,Nikola Mirotić,524,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,1,0,1,0,0,-6
0,Q2,Nikola Mirotić,214,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
0,H1,Nikola Mirotić,738,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,1,0,1,0,0,-6
0,Q3,Nikola Mirotić,
0,Q4,Nikola Mirotić,
0,H2,Nikola Mirotić,
0,Q1,Kirk Hinrich,196,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
0,Q2,Kirk Hinrich,485,1,3,0.333,0,1,0.0,0,0,,1,1,2,1,0,0,0,0,2,-4
0,H1,Kirk Hinrich,681,1,3,0.333,0,1,0.0,0,0,,1,1,2,1,0,0,0,0,2,-7
0,Q3,Kirk Hinrich,198,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,3
0,Q4,Kirk Hinrich,642,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,1,0,-5
0,H2,Kirk Hinrich,840,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,1,0,-2
