Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Kent Bazemore,550,3,5,0.6,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,6,-11
0,Q2,Kent Bazemore,584,0,3,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-1
0,H1,Kent Bazemore,1134,3,8,0.375,0,2,0.0,0,0,,0,1,1,0,0,0,0,0,6,-12
0,Q3,Kent Bazemore,524,1,3,0.333,0,2,0.0,2,2,1.0,0,5,5,0,0,0,0,0,4,-3
0,Q4,Kent Bazemore,419,0,0,,0,0,,2,4,0.5,0,2,2,3,0,0,0,1,2,-4
0,H2,Kent Bazemore,943,1,3,0.333,0,2,0.0,4,6,0.667,0,7,7,3,0,0,0,1,6,-7
0,Q1,Paul Millsap,550,1,3,0.333,0,1,0.0,4,4,1.0,0,3,3,2,0,0,0,0,6,-11
0,Q2,Paul Millsap,645,3,5,0.6,0,2,0.0,2,4,0.5,1,3,4,0,0,0,0,0,8,-3
0,H1,Paul Millsap,1195,4,8,0.5,0,3,0.0,6,8,0.75,1,6,7,2,0,0,0,0,14,-14
0,Q3,Paul Millsap,663,1,5,0.2,0,1,0.0,0,0,,1,2,3,3,0,0,0,2,2,-6
0,Q4,Paul Millsap,
0,H2,Paul Millsap,663,1,5,0.2,0,1,0.0,0,0,,1,2,3,3,0,0,0,2,2,-6
0,Q1,Al Horford,597,0,1,0.0,0,0,,0,0,,0,0,0,2,0,1,0,0,0,-4
0,Q2,Al Horford,617,0,3,0.0,0,0,,0,0,,1,1,2,2,0,0,0,0,0,-2
0,H1,Al Horford,1214,0,4,0.0,0,0,,0,0,,1,1,2,4,0,1,0,0,0,-6
0,Q3,Al Horford,517,1,2,0.5,0,0,,0,0,,0,0,0,1,0,0,0,1,2,-1
0,Q4,Al Horford,
0,H2,Al Horford,517,1,2,0.5,0,0,,0,0,,0,0,0,1,0,0,0,1,2,-1
0,Q1,Jeff Teague,493,3,5,0.6,0,1,0.0,0,0,,0,1,1,0,0,1,2,1,6,-8
0,Q2,Jeff Teague,641,3,4,0.75,1,2,0.5,0,0,,0,0,0,1,1,0,0,0,7,-5
0,H1,Jeff Teague,1134,6,9,0.667,1,3,0.333,0,0,,0,1,1,1,1,1,2,1,13,-13
0,Q3,Jeff Teague,524,2,4,0.5,0,2,0.0,0,0,,0,0,0,0,0,0,1,1,4,-3
0,Q4,Jeff Teague,
0,H2,Jeff Teague,524,2,4,0.5,0,2,0.0,0,0,,0,0,0,0,0,0,1,1,4,-3
0,Q1,DeMarre Carroll,493,0,1,0.0,0,0,,0,0,,2,0,2,1,1,0,2,1,0,-8
0,Q2,DeMarre Carroll,504,2,4,0.5,0,1,0.0,0,0,,0,2,2,0,0,1,0,1,4,-2
0,H1,DeMarre Carroll,997,2,5,0.4,0,1,0.0,0,0,,2,2,4,1,1,1,2,2,4,-10
0,Q3,DeMarre Carroll,600,1,4,0.25,1,4,0.25,0,2,0.0,0,4,4,0,0,0,0,1,3,-4
0,Q4,DeMarre Carroll,
0,H2,DeMarre Carroll,600,1,4,0.25,1,4,0.25,0,2,0.0,0,4,4,0,0,0,0,1,3,-4
0,Q1,Shelvin Mack,397,1,3,0.333,0,1,0.0,0,0,,0,1,1,0,1,0,0,0,2,-5
0,Q2,Shelvin Mack,431,1,3,0.333,1,2,0.5,0,0,,0,1,1,0,0,0,0,1,3,-7
0,H1,Shelvin Mack,828,2,6,0.333,1,3,0.333,0,0,,0,2,2,0,1,0,0,1,5,-12
0,Q3,Shelvin Mack,316,1,3,0.333,0,1,0.0,1,2,0.5,0,0,0,0,1,0,0,1,3,-9
0,Q4,Shelvin Mack,322,1,2,0.5,0,1,0.0,0,0,,0,0,0,1,0,0,0,0,2,-4
0,H2,Shelvin Mack,638,2,5,0.4,0,2,0.0,1,2,0.5,0,0,0,1,1,0,0,1,5,-13
0,Q1,Mike Scott,293,0,2,0.0,0,2,0.0,0,0,,0,1,1,0,0,0,0,0,0,-9
0,Q2,Mike Scott,178,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-5
0,H1,Mike Scott,471,0,2,0.0,0,2,0.0,0,0,,0,1,1,1,0,0,0,2,0,-14
