Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Kemba Walker,720,4,5,0.8,3,4,0.75,0,0,,0,2,2,3,0,0,0,0,11,2
0,Q2,Kemba Walker,343,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
0,H1,Kemba Walker,1063,4,6,0.667,3,4,0.75,0,0,,0,2,2,3,0,0,0,0,11,-3
0,Q3,Kemba Walker,720,2,5,0.4,1,1,1.0,2,2,1.0,0,2,2,0,0,0,1,1,7,5
0,Q4,Kemba Walker,720,3,6,0.5,1,2,0.5,0,0,,0,0,0,1,0,0,0,0,7,1
0,H2,Kemba Walker,1440,5,11,0.455,2,3,0.667,2,2,1.0,0,2,2,1,0,0,1,1,14,6
0,Q1,Nicolas Batum,606,2,4,0.5,0,1,0.0,0,0,,0,2,2,1,0,0,1,0,4,3
0,Q2,Nicolas Batum,604,1,3,0.333,0,1,0.0,0,0,,0,1,1,2,0,0,1,0,2,-12
0,H1,Nicolas Batum,1210,3,7,0.429,0,2,0.0,0,0,,0,3,3,3,0,0,2,0,6,-9
0,Q3,Nicolas Batum,720,6,10,0.6,2,4,0.5,1,1,1.0,0,1,1,3,0,0,1,1,15,5
0,Q4,Nicolas Batum,514,2,5,0.4,0,3,0.0,0,0,,0,0,0,2,0,0,0,0,4,2
0,H2,Nicolas Batum,1234,8,15,0.533,2,7,0.286,1,1,1.0,0,1,1,5,0,0,1,1,19,7
0,Q1,Marvin Williams,606,3,4,0.75,1,2,0.5,0,0,,0,2,2,2,0,1,0,1,7,3
0,Q2,Marvin Williams,273,0,2,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,1,2,0,-3
0,H1,Marvin Williams,879,3,6,0.5,1,3,0.333,0,0,,0,3,3,2,0,1,1,3,7,0
0,Q3,Marvin Williams,279,0,0,,0,0,,2,2,1.0,0,0,0,1,0,0,0,2,2,2
