Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Brandon Ingram,382,1,1,1.0,1,1,1.0,2,2,1.0,0,0,0,0,0,0,0,1,5,-5
0,Q2,Brandon Ingram,720,2,4,0.5,1,2,0.5,0,0,,1,1,2,1,0,1,0,1,5,14
0,H1,Brandon Ingram,1102,3,5,0.6,2,3,0.667,2,2,1.0,1,1,2,1,0,1,0,2,10,9
0,Q3,Brandon Ingram,424,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-6
0,Q4,Brandon Ingram,720,0,1,0.0,0,1,0.0,1,2,0.5,0,1,1,0,0,0,1,1,1,-9
0,H2,Brandon Ingram,1144,0,1,0.0,0,1,0.0,1,2,0.5,0,2,2,0,0,0,2,2,1,-15
0,Q1,Julius Randle,662,1,6,0.167,0,0,,2,2,1.0,2,2,4,2,0,0,1,1,4,-5
0,Q2,Julius Randle,460,1,3,0.333,0,1,0.0,0,0,,0,2,2,2,0,0,0,0,2,3
0,H1,Julius Randle,1122,2,9,0.222,0,1,0.0,2,2,1.0,2,4,6,4,0,0,1,1,6,-2
0,Q3,Julius Randle,355,0,1,0.0,0,0,,3,4,0.75,0,1,1,1,1,0,0,0,3,-7
0,Q4,Julius Randle,714,2,3,0.667,0,0,,4,5,0.8,0,2,2,0,0,0,1,4,8,-8
0,H2,Julius Randle,1069,2,4,0.5,0,0,,7,9,0.778,0,3,3,1,1,0,1,4,11,-15
0,Q1,Nick Young,477,0,4,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-5
0,Q2,Nick Young,418,2,3,0.667,1,2,0.5,0,0,,0,0,0,1,0,0,0,0,5,3
0,H1,Nick Young,895,2,7,0.286,1,3,0.333,0,0,,0,0,0,1,0,0,0,0,5,-2
0,Q3,Nick Young,493,2,4,0.5,1,2,0.5,0,0,,0,0,0,0,0,0,0,1,5,-7
0,Q4,Nick Young,720,1,4,0.25,1,4,0.25,0,0,,1,1,2,0,0,0,0,3,3,-9
0,H2,Nick Young,1213,3,8,0.375,2,6,0.333,0,0,,1,1,2,0,0,0,0,4,8,-16
0,Q1,D'Angelo Russell,687,0,1,0.0,0,1,0.0,6,7,0.857,0,2,2,0,0,0,2,1,6,-5
0,Q2,D'Angelo Russell,418,2,6,0.333,0,2,0.0,0,0,,1,1,2,1,1,0,0,0,4,3
0,H1,D'Angelo Russell,1105,2,7,0.286,0,3,0.0,6,7,0.857,1,3,4,1,1,0,2,1,10,-2
0,Q3,D'Angelo Russell,258,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,0,0,1,0,2,-1
0,Q4,D'Angelo Russell,720,3,9,0.333,0,4,0.0,4,4,1.0,0,0,0,1,1,0,0,1,10,-9
0,H2,D'Angelo Russell,978,4,11,0.364,0,5,0.0,4,4,1.0,0,0,0,1,1,0,1,1,12,-10
0,Q1,Timofey Mozgov,456,3,4,0.75,0,0,,1,1,1.0,0,5,5,0,0,0,0,1,7,-5
0,Q2,Timofey Mozgov,
0,H1,Timofey Mozgov,456,3,4,0.75,0,0,,1,1,1.0,0,5,5,0,0,0,0,1,7,-5
0,Q3,Timofey Mozgov,197,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-4
0,Q4,Timofey Mozgov,
0,H2,Timofey Mozgov,197,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-4
0,Q1,Jordan Clarkson,243,0,2,0.0,0,0,,0,0,,0,0,0,0,1,0,0,0,0,0
0,Q2,Jordan Clarkson,720,5,6,0.833,3,4,0.75,0,0,,0,2,2,0,1,0,0,0,13,14
0,H1,Jordan Clarkson,963,5,8,0.625,3,4,0.75,0,0,,0,2,2,0,2,0,0,0,13,14
0,Q3,Jordan Clarkson,523,2,4,0.5,1,2,0.5,1,2,0.5,0,0,0,0,0,0,0,1,6,-5
0,Q4,Jordan Clarkson,421,1,2,0.5,0,1,0.0,0,0,,1,0,1,1,0,0,0,1,2,-4
0,H2,Jordan Clarkson,944,3,6,0.5,1,3,0.333,1,2,0.5,1,0,1,1,0,0,0,2,8,-9
0,Q1,Lou Williams,371,0,0,,0,0,,2,3,0.667,0,1,1,1,0,0,0,0,2,0
0,Q2,Lou Williams,302,1,2,0.5,1,1,1.0,0,0,,0,1,1,1,0,0,1,0,3,11
0,H1,Lou Williams,673,1,2,0.5,1,1,1.0,2,3,0.667,0,2,2,2,0,0,1,0,5,11
0,Q3,Lou Williams,462,2,5,0.4,0,1,0.0,0,0,,0,0,0,0,0,0,1,0,4,-8
0,Q4,Lou Williams,299,0,1,0.0,0,0,,1,1,1.0,0,1,1,1,0,0,0,0,1,-5
0,H2,Lou Williams,761,2,6,0.333,0,1,0.0,1,1,1.0,0,1,1,1,0,0,1,0,5,-13
0,Q1,Thomas Robinson,58,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
0,Q2,Thomas Robinson,302,2,2,1.0,0,0,,0,0,,1,1,2,1,1,0,0,1,4,11
0,H1,Thomas Robinson,360,2,2,1.0,0,0,,0,0,,1,1,2,1,1,0,0,1,4,11
0,Q3,Thomas Robinson,523,1,3,0.333,0,0,,0,0,,2,1,3,1,1,0,0,1,2,-5
0,Q4,Thomas Robinson,6,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
0,H2,Thomas Robinson,529,1,3,0.333,0,0,,0,0,,2,1,3,1,1,0,0,1,2,-6
0,Q1,Tarik Black,264,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,0
0,Q2,Tarik Black,260,1,1,1.0,0,0,,0,0,,0,1,1,0,0,1,1,2,2,11
0,H1,Tarik Black,524,1,1,1.0,0,0,,0,0,,0,2,2,0,0,1,1,3,2,11
0,Q3,Tarik Black,365,0,1,0.0,0,0,,0,0,,1,2,3,0,0,1,1,1,0,-2
0,Q4,Tarik Black,
0,H2,Tarik Black,365,0,1,0.0,0,0,,0,0,,1,2,3,0,0,1,1,1,0,-2
0,Q1,Metta World Peace,
0,Q2,Metta World Peace,
0,H1,Metta World Peace,
0,Q3,Metta World Peace,
0,Q4,Metta World Peace,
0,H2,Metta World Peace,
0,Q1,José Calderón,
0,Q2,José Calderón,
0,H1,José Calderón,
0,Q3,José Calderón,
0,Q4,José Calderón,
0,H2,José Calderón,
0,Q1,Luol Deng,
0,Q2,Luol Deng,
0,H1,Luol Deng,
0,Q3,Luol Deng,
0,Q4,Luol Deng,
0,H2,Luol Deng,
0,Q1,Marcelo Huertas,
0,Q2,Marcelo Huertas,
0,H1,Marcelo Huertas,
0,Q3,Marcelo Huertas,
0,Q4,Marcelo Huertas,
0,H2,Marcelo Huertas,
1,Q1,Damian Lillard,513,4,4,1.0,2,2,1.0,0,0,,0,1,1,1,0,0,0,2,10,5
1,Q2,Damian Lillard,503,2,3,0.667,1,2,0.5,0,0,,0,1,1,3,0,0,2,0,5,1
1,H1,Damian Lillard,1016,6,7,0.857,3,4,0.75,0,0,,0,2,2,4,0,0,2,2,15,6
1,Q3,Damian Lillard,659,0,3,0.0,0,2,0.0,2,2,1.0,0,3,3,5,0,0,0,0,2,12
1,Q4,Damian Lillard,481,1,4,0.25,1,4,0.25,1,2,0.5,0,0,0,1,0,0,0,1,4,10
