Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Anthony Davis,720,1,6,0.167,0,0,,2,2,1.0,0,5,5,0,0,1,0,0,4,2
0,Q2,Anthony Davis,410,0,1,0.0,0,0,,4,4,1.0,1,3,4,3,0,0,0,0,4,9
0,H1,Anthony Davis,1130,1,7,0.143,0,0,,6,6,1.0,1,8,9,3,0,1,0,0,8,11
0,Q3,Anthony Davis,608,0,6,0.0,0,0,,2,2,1.0,2,1,3,0,0,1,0,1,2,-16
0,Q4,Anthony Davis,444,1,2,0.5,0,0,,0,0,,0,4,4,0,1,1,0,0,2,-2
0,H2,Anthony Davis,1052,1,8,0.125,0,0,,2,2,1.0,2,5,7,0,1,2,0,1,4,-18
0,Q1,Jrue Holiday,528,3,4,0.75,2,2,1.0,0,0,,0,0,0,1,0,1,2,1,8,-3
0,Q2,Jrue Holiday,485,5,6,0.833,1,2,0.5,0,0,,0,0,0,0,0,0,0,1,11,13
0,H1,Jrue Holiday,1013,8,10,0.8,3,4,0.75,0,0,,0,0,0,1,0,1,2,2,19,10
0,Q3,Jrue Holiday,720,2,4,0.5,0,0,,0,0,,1,1,2,2,1,1,1,0,4,-16
0,Q4,Jrue Holiday,444,2,5,0.4,0,0,,1,2,0.5,0,0,0,0,1,0,0,1,5,-2
0,H2,Jrue Holiday,1164,4,9,0.444,0,0,,1,2,0.5,1,1,2,2,2,1,1,1,9,-18
0,Q1,Buddy Hield,622,3,6,0.5,2,4,0.5,0,0,,0,4,4,0,0,1,0,0,8,-3
0,Q2,Buddy Hield,410,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,0,0,0,0,3,9
0,H1,Buddy Hield,1032,4,7,0.571,3,5,0.6,0,0,,0,5,5,0,0,1,0,0,11,6
0,Q3,Buddy Hield,420,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,1,0,2,-16
0,Q4,Buddy Hield,236,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
0,H2,Buddy Hield,656,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,1,0,2,-18
0,Q1,Solomon Hill,528,0,0,,0,0,,0,0,,0,1,1,1,1,0,2,2,0,-3
0,Q2,Solomon Hill,284,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,1,0,0,0,3,7
0,H1,Solomon Hill,812,1,2,0.5,1,2,0.5,0,0,,0,1,1,1,2,0,2,2,3,4
0,Q3,Solomon Hill,527,0,1,0.0,0,1,0.0,1,2,0.5,0,1,1,0,0,0,2,0,1,-17
0,Q4,Solomon Hill,
0,H2,Solomon Hill,527,0,1,0.0,0,1,0.0,1,2,0.5,0,1,1,0,0,0,2,0,1,-17
0,Q1,Dante Cunningham,360,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,5
0,Q2,Dante Cunningham,
0,H1,Dante Cunningham,360,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,5
0,Q3,Dante Cunningham,
0,Q4,Dante Cunningham,
0,H2,Dante Cunningham,
