Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Klay Thompson,518,5,8,0.625,4,6,0.667,0,0,,0,0,0,0,0,0,0,1,14,6
0,Q2,Klay Thompson,589,1,3,0.333,0,1,0.0,2,2,1.0,0,0,0,1,0,0,1,0,4,7
0,H1,Klay Thompson,1107,6,11,0.545,4,7,0.571,2,2,1.0,0,0,0,1,0,0,1,1,18,13
0,Q3,Klay Thompson,620,4,6,0.667,2,4,0.5,0,0,,0,0,0,1,0,0,0,1,10,7
0,Q4,Klay Thompson,554,3,6,0.5,2,4,0.5,0,0,,0,1,1,1,0,0,0,3,8,-2
0,H2,Klay Thompson,1174,7,12,0.583,4,8,0.5,0,0,,0,1,1,2,0,0,0,4,18,5
0,Q1,Draymond Green,527,0,1,0.0,0,1,0.0,0,0,,0,6,6,3,4,1,0,0,0,12
0,Q2,Draymond Green,569,2,2,1.0,0,0,,0,0,,0,1,1,1,3,1,1,1,4,8
0,H1,Draymond Green,1096,2,3,0.667,0,1,0.0,0,0,,0,7,7,4,7,2,1,1,4,20
0,Q3,Draymond Green,620,0,1,0.0,0,1,0.0,0,0,,0,3,3,3,1,2,0,0,0,7
0,Q4,Draymond Green,548,0,2,0.0,0,1,0.0,0,0,,0,2,2,3,2,1,1,2,0,-1
0,H2,Draymond Green,1168,0,3,0.0,0,2,0.0,0,0,,0,5,5,6,3,3,1,2,0,6
0,Q1,Stephen Curry,720,3,7,0.429,1,3,0.333,1,1,1.0,0,1,1,2,0,0,2,0,8,7
0,Q2,Stephen Curry,341,1,2,0.5,1,2,0.5,0,0,,0,1,1,1,0,0,1,2,3,4
0,H1,Stephen Curry,1061,4,9,0.444,2,5,0.4,1,1,1.0,0,2,2,3,0,0,3,2,11,11
0,Q3,Stephen Curry,699,2,2,1.0,0,0,,3,4,0.75,0,1,1,2,0,0,0,1,7,10
0,Q4,Stephen Curry,331,0,2,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,-6
0,H2,Stephen Curry,1030,2,4,0.5,0,1,0.0,3,4,0.75,0,2,2,2,0,0,0,1,7,4
0,Q1,Kevin Durant,595,1,5,0.2,1,2,0.5,3,4,0.75,0,1,1,1,0,0,1,1,6,4
0,Q2,Kevin Durant,343,0,1,0.0,0,1,0.0,2,2,1.0,0,1,1,0,0,1,0,1,2,-2
0,H1,Kevin Durant,938,1,6,0.167,1,3,0.333,5,6,0.833,0,2,2,1,0,1,1,2,8,2
0,Q3,Kevin Durant,549,3,6,0.5,2,2,1.0,4,5,0.8,0,1,1,0,1,0,0,0,12,7
0,Q4,Kevin Durant,453,1,2,0.5,0,1,0.0,2,3,0.667,0,2,2,3,0,1,2,0,4,-7
0,H2,Kevin Durant,1002,4,8,0.5,2,3,0.667,6,8,0.75,0,3,3,3,1,1,2,0,16,0
0,Q1,JaVale McGee,484,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,4
0,Q2,JaVale McGee,193,0,1,0.0,0,0,,0,0,,2,0,2,0,0,0,0,1,0,4
