Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Courtney Lee,650,4,5,0.8,1,2,0.5,0,0,,0,1,1,0,0,0,1,0,9,16
0,Q2,Courtney Lee,507,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-17
0,H1,Courtney Lee,1157,4,6,0.667,1,2,0.5,0,0,,0,1,1,0,0,0,1,1,9,-1
0,Q3,Courtney Lee,476,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,1,0,-8
0,Q4,Courtney Lee,720,3,6,0.5,1,2,0.5,0,0,,0,2,2,1,0,0,0,0,7,-3
0,H2,Courtney Lee,1196,3,7,0.429,1,3,0.333,0,0,,0,3,3,1,0,0,0,1,7,-11
0,Q1,Carmelo Anthony,720,7,8,0.875,4,4,1.0,1,1,1.0,0,3,3,2,0,1,1,0,19,12
0,Q2,Carmelo Anthony,409,0,3,0.0,0,0,,1,1,1.0,0,0,0,1,0,0,2,1,1,-13
0,H1,Carmelo Anthony,1129,7,11,0.636,4,4,1.0,2,2,1.0,0,3,3,3,0,1,3,1,20,-1
0,Q3,Carmelo Anthony,714,2,6,0.333,1,2,0.5,0,0,,0,1,1,0,1,1,1,1,5,-3
0,Q4,Carmelo Anthony,471,2,3,0.667,1,1,1.0,0,0,,0,0,0,1,0,0,0,2,5,-4
0,H2,Carmelo Anthony,1185,4,9,0.444,2,3,0.667,0,0,,0,1,1,1,1,1,1,3,10,-7
0,Q1,Derrick Rose,338,1,2,0.5,0,0,,0,0,,0,2,2,4,0,0,1,2,2,9
0,Q2,Derrick Rose,701,5,8,0.625,0,0,,1,1,1.0,0,0,0,1,1,0,0,0,11,-12
0,H1,Derrick Rose,1039,6,10,0.6,0,0,,1,1,1.0,0,2,2,5,1,0,1,2,13,-3
0,Q3,Derrick Rose,673,3,5,0.6,0,0,,0,0,,1,1,2,0,1,0,2,0,6,-6
0,Q4,Derrick Rose,579,2,6,0.333,0,0,,2,2,1.0,0,0,0,2,0,0,0,0,6,-1
0,H2,Derrick Rose,1252,5,11,0.455,0,0,,2,2,1.0,1,1,2,2,1,0,2,0,12,-7
0,Q1,Kristaps Porziņģis,486,3,5,0.6,1,2,0.5,0,0,,0,2,2,1,1,1,0,1,7,12
0,Q2,Kristaps Porziņģis,600,0,4,0.0,0,1,0.0,2,2,1.0,0,2,2,0,0,0,2,1,2,-7
0,H1,Kristaps Porziņģis,1086,3,9,0.333,1,3,0.333,2,2,1.0,0,4,4,1,1,1,2,2,9,5
0,Q3,Kristaps Porziņģis,306,0,2,0.0,0,1,0.0,0,0,,0,1,1,0,0,1,1,0,0,-4
0,Q4,Kristaps Porziņģis,568,1,2,0.5,0,0,,0,0,,0,2,2,0,0,0,1,2,2,-2
0,H2,Kristaps Porziņģis,874,1,4,0.25,0,1,0.0,0,0,,0,3,3,0,0,1,2,2,2,-6
0,Q1,Willy Hernangómez,519,0,0,,0,0,,0,0,,1,2,3,0,0,1,1,1,0,12
0,Q2,Willy Hernangómez,488,2,3,0.667,0,0,,0,0,,1,2,3,0,0,0,0,1,4,-15
0,H1,Willy Hernangómez,1007,2,3,0.667,0,0,,0,0,,2,4,6,0,0,1,1,2,4,-3
0,Q3,Willy Hernangómez,457,0,1,0.0,0,0,,2,2,1.0,0,1,1,1,1,1,0,0,2,-5
0,Q4,Willy Hernangómez,471,1,2,0.5,0,0,,0,0,,1,2,3,0,1,1,0,1,2,-4
0,H2,Willy Hernangómez,928,1,3,0.333,0,0,,2,2,1.0,1,3,4,1,2,2,0,1,4,-9
0,Q1,Ron Baker,382,1,1,1.0,0,0,,0,0,,0,0,0,1,0,0,0,1,2,3
0,Q2,Ron Baker,19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
0,H1,Ron Baker,401,1,1,1.0,0,0,,0,0,,0,0,0,1,0,0,0,1,2,1
0,Q3,Ron Baker,250,0,1,0.0,0,1,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,-1
0,Q4,Ron Baker,401,1,2,0.5,1,1,1.0,0,0,,0,0,0,1,0,0,0,1,3,0
0,H2,Ron Baker,651,1,3,0.333,1,2,0.5,1,2,0.5,0,1,1,1,0,0,0,1,4,-1
0,Q1,Justin Holiday,70,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-4
0,Q2,Justin Holiday,311,0,0,,0,0,,1,2,0.5,0,0,0,0,0,1,0,0,1,-1
0,H1,Justin Holiday,381,0,0,,0,0,,1,2,0.5,0,0,0,0,0,1,0,1,1,-5
0,Q3,Justin Holiday,414,1,3,0.333,1,2,0.5,0,0,,0,1,1,1,0,0,0,1,3,-2
0,Q4,Justin Holiday,141,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,1,0,0,0,0,-2
