Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Gary Harris,605,3,5,0.6,1,3,0.333,0,0,,0,1,1,1,0,0,0,1,7,4
0,Q2,Gary Harris,515,1,4,0.25,0,1,0.0,1,1,1.0,0,1,1,1,0,0,0,1,3,-6
0,H1,Gary Harris,1120,4,9,0.444,1,4,0.25,1,1,1.0,0,2,2,2,0,0,0,2,10,-2
0,Q3,Gary Harris,609,2,2,1.0,1,1,1.0,0,0,,0,2,2,0,0,0,0,1,5,4
0,Q4,Gary Harris,720,2,3,0.667,1,2,0.5,0,0,,0,1,1,1,0,0,1,1,5,-16
0,H2,Gary Harris,1329,4,5,0.8,2,3,0.667,0,0,,0,3,3,1,0,0,1,2,10,-12
0,Q1,Nikola Jokić,511,2,5,0.4,0,1,0.0,0,0,,1,4,5,2,0,0,0,1,4,2
0,Q2,Nikola Jokić,451,2,3,0.667,1,1,1.0,1,2,0.5,1,1,2,2,0,0,1,1,6,-3
0,H1,Nikola Jokić,962,4,8,0.5,1,2,0.5,1,2,0.5,2,5,7,4,0,0,1,2,10,-1
0,Q3,Nikola Jokić,720,4,4,1.0,0,0,,1,1,1.0,1,3,4,5,0,0,0,0,9,8
0,Q4,Nikola Jokić,516,3,4,0.75,1,1,1.0,0,0,,0,2,2,1,0,0,1,2,7,-4
0,H2,Nikola Jokić,1236,7,8,0.875,1,1,1.0,1,1,1.0,1,5,6,6,0,0,1,2,16,4
0,Q1,Danilo Gallinari,588,2,4,0.5,2,3,0.667,3,3,1.0,0,2,2,2,0,0,0,1,9,2
0,Q2,Danilo Gallinari,451,0,2,0.0,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-3
0,H1,Danilo Gallinari,1039,2,6,0.333,2,3,0.667,3,3,1.0,0,3,3,2,0,0,1,1,9,-1
0,Q3,Danilo Gallinari,513,2,2,1.0,1,1,1.0,0,0,,0,1,1,1,0,0,0,0,5,8
0,Q4,Danilo Gallinari,516,1,3,0.333,1,2,0.5,2,2,1.0,1,0,1,1,0,0,1,0,5,-4
0,H2,Danilo Gallinari,1029,3,5,0.6,2,3,0.667,2,2,1.0,1,1,2,2,0,0,1,0,10,4
0,Q1,Kenneth Faried,418,2,2,1.0,0,0,,0,0,,1,3,4,0,0,0,2,0,4,-1
0,Q2,Kenneth Faried,314,1,1,1.0,0,0,,0,0,,0,3,3,0,0,0,0,1,2,-3
0,H1,Kenneth Faried,732,3,3,1.0,0,0,,0,0,,1,6,7,0,0,0,2,1,6,-4
0,Q3,Kenneth Faried,661,6,11,0.545,0,0,,0,1,0.0,1,3,4,1,1,0,0,0,12,9
0,Q4,Kenneth Faried,516,0,3,0.0,0,0,,0,0,,1,1,2,1,0,1,0,1,0,-4
0,H2,Kenneth Faried,1177,6,14,0.429,0,0,,0,1,0.0,2,4,6,2,1,1,0,1,12,5
0,Q1,Jameer Nelson,588,1,2,0.5,1,2,0.5,0,0,,0,1,1,2,0,0,0,1,3,2
0,Q2,Jameer Nelson,479,2,3,0.667,2,2,1.0,0,0,,0,0,0,2,1,0,1,1,6,-3
0,H1,Jameer Nelson,1067,3,5,0.6,3,4,0.75,0,0,,0,1,1,4,1,0,1,2,9,-1
0,Q3,Jameer Nelson,513,1,3,0.333,1,2,0.5,0,0,,0,0,0,5,0,0,1,1,3,8
0,Q4,Jameer Nelson,
0,H2,Jameer Nelson,513,1,3,0.333,1,2,0.5,0,0,,0,0,0,5,0,0,1,1,3,8
0,Q1,Jamal Murray,247,1,1,1.0,1,1,1.0,0,0,,0,1,1,1,1,0,1,0,3,10
0,Q2,Jamal Murray,446,0,2,0.0,0,2,0.0,0,0,,0,1,1,0,0,0,0,0,0,-7
0,H1,Jamal Murray,693,1,3,0.333,1,3,0.333,0,0,,0,2,2,1,1,0,1,0,3,3
0,Q3,Jamal Murray,318,1,2,0.5,0,1,0.0,0,0,,0,0,0,1,0,0,0,1,2,4
0,Q4,Jamal Murray,720,1,4,0.25,1,3,0.333,0,0,,0,2,2,1,0,0,0,0,3,-16
0,H2,Jamal Murray,1038,2,6,0.333,1,4,0.25,0,0,,0,2,2,2,0,0,0,1,5,-12
0,Q1,Wilson Chandler,302,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,9
0,Q2,Wilson Chandler,469,1,3,0.333,1,2,0.5,0,0,,0,0,0,0,0,0,0,0,3,-5
0,H1,Wilson Chandler,771,1,5,0.2,1,3,0.333,0,0,,0,0,0,0,0,0,0,0,3,4
0,Q3,Wilson Chandler,207,1,1,1.0,0,0,,0,1,0.0,0,1,1,1,0,0,0,0,2,0
0,Q4,Wilson Chandler,204,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,1,1,0,-12
0,H2,Wilson Chandler,411,1,3,0.333,0,1,0.0,0,1,0.0,0,1,1,1,0,0,1,1,2,-12
0,Q1,Mason Plumlee,209,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,6
0,Q2,Mason Plumlee,269,1,2,0.5,0,0,,0,0,,1,2,3,0,0,0,1,3,2,-5
0,H1,Mason Plumlee,478,2,3,0.667,0,0,,0,0,,1,2,3,0,0,0,1,3,4,1
0,Q3,Mason Plumlee,59,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
0,Q4,Mason Plumlee,204,0,1,0.0,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-12
0,H2,Mason Plumlee,263,0,1,0.0,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-13
0,Q1,Juancho Hernangómez,132,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,6
0,Q2,Juancho Hernangómez,206,1,2,0.5,0,0,,0,0,,0,0,0,0,1,0,0,0,2,-5
0,H1,Juancho Hernangómez,338,1,2,0.5,0,0,,0,0,,0,1,1,0,1,0,0,0,2,1
0,Q3,Juancho Hernangómez,
0,Q4,Juancho Hernangómez,204,0,1,0.0,0,0,,0,0,,1,1,2,0,0,0,0,0,0,-12
0,H2,Juancho Hernangómez,204,0,1,0.0,0,0,,0,0,,1,1,2,0,0,0,0,0,0,-12
0,Q1,Darrell Arthur,
0,Q2,Darrell Arthur,
0,H1,Darrell Arthur,
0,Q3,Darrell Arthur,
0,Q4,Darrell Arthur,
0,H2,Darrell Arthur,
0,Q1,Roy Hibbert,
0,Q2,Roy Hibbert,
0,H1,Roy Hibbert,
0,Q3,Roy Hibbert,
0,Q4,Roy Hibbert,
0,H2,Roy Hibbert,
0,Q1,Mike Miller,
0,Q2,Mike Miller,
0,H1,Mike Miller,
0,Q3,Mike Miller,
0,Q4,Mike Miller,
0,H2,Mike Miller,
0,Q1,Emmanuel Mudiay,
0,Q2,Emmanuel Mudiay,
0,H1,Emmanuel Mudiay,
0,Q3,Emmanuel Mudiay,
0,Q4,Emmanuel Mudiay,
0,H2,Emmanuel Mudiay,
1,Q1,Kemba Walker,538,2,4,0.5,1,2,0.5,0,0,,0,0,0,1,0,0,0,0,5,-4
1,Q2,Kemba Walker,479,2,6,0.333,1,2,0.5,0,1,0.0,1,0,1,2,0,0,0,0,5,3
1,H1,Kemba Walker,1017,4,10,0.4,2,4,0.5,0,1,0.0,1,0,1,3,0,0,0,0,10,-1
1,Q3,Kemba Walker,720,3,5,0.6,1,2,0.5,5,5,1.0,0,0,0,3,0,0,1,0,12,-8
1,Q4,Kemba Walker,720,2,8,0.25,1,4,0.25,4,5,0.8,0,2,2,2,1,0,0,0,9,16
1,H2,Kemba Walker,1440,5,13,0.385,2,6,0.333,9,10,0.9,0,2,2,5,1,0,1,0,21,8
1,Q1,Nicolas Batum,614,1,3,0.333,0,1,0.0,3,4,0.75,0,2,2,4,1,0,1,1,5,-2
1,Q2,Nicolas Batum,438,1,3,0.333,0,1,0.0,1,1,1.0,0,0,0,2,0,1,1,0,3,3
1,H1,Nicolas Batum,1052,2,6,0.333,0,2,0.0,4,5,0.8,0,2,2,6,1,1,2,1,8,1
1,Q3,Nicolas Batum,661,1,5,0.2,1,3,0.333,0,0,,0,3,3,2,0,0,1,2,3,-9
1,Q4,Nicolas Batum,352,1,2,0.5,0,0,,0,0,,0,0,0,1,0,0,0,0,2,4
1,H2,Nicolas Batum,1013,2,7,0.286,1,3,0.333,0,0,,0,3,3,3,0,0,1,2,5,-5
1,Q1,Cody Zeller,538,1,4,0.25,0,0,,0,0,,0,2,2,0,0,1,0,1,2,-4
1,Q2,Cody Zeller,326,0,0,,0,0,,1,2,0.5,1,2,3,3,1,0,0,0,1,6
1,H1,Cody Zeller,864,1,4,0.25,0,0,,1,2,0.5,1,4,5,3,1,1,0,1,3,2
1,Q3,Cody Zeller,689,2,3,0.667,0,0,,1,1,1.0,1,1,2,0,0,1,0,1,5,-9
1,Q4,Cody Zeller,296,0,0,,0,0,,0,0,,2,0,2,0,0,1,1,1,0,13
1,H2,Cody Zeller,985,2,3,0.667,0,0,,1,1,1.0,3,1,4,0,0,2,1,2,5,4
1,Q1,Marvin Williams,419,1,2,0.5,1,2,0.5,0,0,,0,2,2,0,1,0,0,0,3,1
1,Q2,Marvin Williams,437,1,3,0.333,1,2,0.5,0,0,,0,2,2,0,1,0,0,2,3,8
1,H1,Marvin Williams,856,2,5,0.4,2,4,0.5,0,0,,0,4,4,0,2,0,0,2,6,9
1,Q3,Marvin Williams,402,1,2,0.5,1,1,1.0,0,0,,0,1,1,0,1,0,0,0,3,-4
1,Q4,Marvin Williams,516,0,0,,0,0,,0,0,,1,2,3,1,1,3,0,0,0,4
1,H2,Marvin Williams,918,1,2,0.5,1,1,1.0,0,0,,1,3,4,1,2,3,0,0,3,0
1,Q1,Michael Kidd-Gilchrist,511,1,2,0.5,0,0,,3,4,0.75,1,1,2,1,1,1,0,0,5,-2
1,Q2,Michael Kidd-Gilchrist,360,2,2,1.0,0,0,,0,0,,1,2,3,0,0,0,0,1,4,8
1,H1,Michael Kidd-Gilchrist,871,3,4,0.75,0,0,,3,4,0.75,2,3,5,1,1,1,0,1,9,6
1,Q3,Michael Kidd-Gilchrist,513,1,2,0.5,0,0,,0,0,,0,1,1,1,0,1,0,0,2,-8
1,Q4,Michael Kidd-Gilchrist,352,0,0,,0,0,,0,0,,0,1,1,1,1,0,0,1,0,4
1,H2,Michael Kidd-Gilchrist,865,1,2,0.5,0,0,,0,0,,0,2,2,2,1,1,0,1,2,-4
1,Q1,Frank Kaminsky,301,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-9
1,Q2,Frank Kaminsky,394,1,4,0.25,1,2,0.5,2,2,1.0,0,1,1,0,0,0,0,2,5,2
1,H1,Frank Kaminsky,695,1,5,0.2,1,3,0.333,2,2,1.0,0,1,1,0,0,0,0,3,5,-7
1,Q3,Frank Kaminsky,318,2,4,0.5,1,2,0.5,0,0,,0,1,1,0,0,0,0,1,5,-4
